SongNumber,AlbumName,ArtistName,Danceability,Duration,KeySignature,Tempo,TimeSignature,Title,Year
83,"b'Purity Dilution'","b'Defecation'",0.0,216.78975,8,192.99,1,"b'Granted Wish'",1989
84,"b'Sim E N\xc3\xa3o'","b'Nando Reis'",0.0,259.16036,9,120.072,4,"b'Mon\xc3\xb3ico'",0
85,"b'Te Dejas Ver'","b'Mikel Erentxun'",0.0,210.33751,0,123.982,4,"b'En Que Mujer'",2000
86,"b'Panjtan Ka Ghulam'","b'Faiz Ali Faiz'",0.0,599.24853,6,99.273,4,"b'Sohna Nee Sohna Data'",0
87,"b'More - EP'","b'Junkie XL'",0.0,224.02567,8,82.755,1,"b'More (Radio Edit)'",2007
88,"b'Christmas'","b'Plus One'",0.0,308.87138,11,130.021,4,"b'What Child Is This? (Album Version)'",2002
89,"b'Percep\xc3\xa7\xc3\xa3o'","b'Eumir Deodato'",0.0,111.28118,5,135.413,4,"b'A Grande Cacada'",0
90,"b'The Photos'","b'The Photos'",0.0,139.49342,1,108.652,1,"b'Do You Wanna Dance'",0
91,"b"Life on life's terms"","b'Bedlight For Blue Eyes'",0.0,165.38077,6,182.917,4,"b'Without You'",0
92,"b'High Flying Bird'","b'Judy Henske'",0.0,139.78077,8,99.608,4,"b'Good Old Wagon (LP Version)'",1964
93,"b'Nomads 5'","b'Susana Baca'",0.0,312.39791,7,113.664,1,"b"Golpe E'Tierra"",0
94,"b'Gold'","b'Tesla'",0.0,290.29832,7,150.062,4,"b'Caught In A Dream'",2004
95,"b'Black and Blue America'","b'Chip Taylor'",0.0,253.12608,9,101.57,4,"b'Fort Worth Thursday Night'",0
96,"b'Acid Flux & Friends - Audio Punishers'","b'Acid Flux'",0.0,385.25342,6,160.22,1,"b'They Are...'",0
97,"b'Comme Un Manouche Sans Guitare'","b'Thomas Dutronc'",0.0,171.15383,7,118.067,4,"b'China Boy'",2007
98,"b'Pansoul'","b'Motorbass'",0.0,433.24036,0,120.849,4,"b'Home'",1993
99,"b'City Boom Boom'","b'Julien Lourau'",0.0,372.27057,10,191.892,1,"b'Priority'",0
100,"b'Rolled Gold'","b'The Action'",0.0,180.32281,4,83.479,1,"b'Brain'",0
101,"b"Midnight At Mabel Mercer's"","b'Mabel Mercer'",0.0,149.65506,5,68.55,4,"b'Mandy_ Make Up Your Mind'",0
102,"b'Whatever Happened To Boredom?'","b'lextrical'",0.0,165.69424,7,138.331,4,"b'Synthetic Dream'",0
103,"b'The Flash'","b'Lukas Greenberg'",0.0,513.67138,7,126.019,5,"b'The Flash'",0
104,"b'Imagination'","b'Brian Wilson'",0.0,168.64608,0,100.494,3,"b'Keep An Eye On Summer (Album Version)'",1998
105,"b"Stompin' At The Savoy"","b'Rufus And Chaka Khan'",0.0,350.06649,7,186.829,3,"b'Stay (Live Version)'",0
106,"b'1942-1952 Jimmy Wakely'","b'Jimmy Wakely'",0.0,151.84934,1,86.186,3,"b'Broken-Down Merry-Go-Round'",0
107,"b'All The Good Times'","b'Alice Stuart'",0.0,220.78649,11,110.382,1,"b'Kassie Jones'",0
108,"b'Moisture RMXs'","b'Headman'",0.0,287.92118,7,114.988,4,"b'Moisture (Mustapha 3000 RMX)'",0
109,"b'Copyright Laws'","b'MRK 1'",0.0,266.55302,9,140.023,4,"b'Dr. Rudeboy'",0
110,"b"I Don't Need A Cure For This"","b'Radio Slave'",0.0,630.80444,1,123.981,5,"b"I Don't Need A Cure For This"",2009
111,"b'Soca Gold 1997'","b'Iwer George'",0.0,276.63628,6,100.671,3,"b'Jump & Dunk'",0
112,"b'Supreme Rarities: Motown Lost & Found'","b'Diana Ross & The Supremes'",0.0,163.18649,10,131.285,1,"b'Believe In Me'",0
113,"b'Sliver of a Sun'","b'IZZ'",0.0,256.39138,7,88.991,4,"b'Just A Girl'",1999
114,"b'Un cafe_ setanta matins'","b'Elena'",0.0,269.58322,2,111.874,4,"b'Setanta matins'",0
115,"b'The Best Of&And More'","b'Millenium'",0.0,281.7824,1,129.585,4,"b'Anybody'",0
116,"b'Infierno'","b'Rocola Bacalao'",0.0,206.31465,1,99.022,4,"b'Jose Garbanzo'",0
117,"b'Waiting on Judgment Day'","b'Lost Immigrants'",0.0,222.82404,11,144.094,4,"b'Memories & Rust'",0
118,"b'Miss Machine'","b'The Dillinger Escape Plan'",0.0,207.77751,7,166.862,4,"b'Setting Fire to Sleeping Giants'",2004
119,"b'Favors'","b'Hank Jones'",0.0,376.47628,3,61.055,4,"b'A Child Is Born'",1992
120,"b'Sue Thompson - Her Very Best'","b'SUE THOMPSON'",0.0,124.86485,10,137.522,4,"b'James (Hold The Ladder Steady)'",1985
121,"b'Six Shooter'","b'The Tyrant Lizard Kings'",0.0,33.74975,9,68.007,1,"b'Delete All Alarms'",2009
122,"b'Eem Ele Hachayim (If This Is Life)'","b'Keren Peles'",0.0,212.92363,4,152.013,5,"b'Simon Hashachen'",0
123,"b"Milkin' It For All It's Worth - The Best Of Kill Switch& Klick"","b'Kill Switch& Klick'",0.0,340.11383,6,119.985,4,"b'Celebrate The Misery'",0
124,"b"...I'm a Son of a Gun"","b'Filthy Thieving Bastards'",0.0,135.8624,9,123.079,4,"b'Dusty Roads'",2007
125,"b'Live'","b'Five Bolt Main'",0.0,225.09669,7,164.672,1,"b'Made Like This (Live)'",0
126,"b'Freedom'","b'Sanne Salomonsen'",0.0,195.02975,7,164.001,4,"b'Drama'",2003
127,"b'rearviewmirror (greatest hits 1991-2003)'","b'Pearl Jam'",0.0,352.88771,9,119.468,4,"b'Not For You'",1994
128,"b'Evil Empire Presents Fucxxx Smitty'","b'Smitty'",0.0,248.0322,11,82.561,4,"b'Success'",0
129,"b'Mongrel'","b'Number Twelve Looks Like You'",0.0,258.29832,11,71.828,4,"b'Cradle the Crater'",2007
130,"b'Strictly Confidential'","b'Clp'",0.0,338.31138,6,125.006,4,"b'Superconfidential'",0
131,"b'Indulgence and Abstract Reality'","b'Nasty Savage'",0.0,280.37179,7,91.277,4,"b'Hypnotic Trance'",1987
132,"b'Into Submission'","b'Astroqueen'",0.0,307.56526,5,138.181,4,"b'Brain Phase Voyage'",0
133,"b'Ready For Love'","b'Melody'",0.0,244.34893,0,160.049,4,"b"I'm On My Way"",0
134,"b'Burning Brain'","b'Golden Boots'",0.0,218.90567,0,133.301,3,"b'Buildings'",0
135,"b'Ministry of Sound Presents Garage Classics'","b'Sunship Feat. Anita Kelsey'",0.0,366.602,11,131.626,4,"b' Try Me Out (Let Me Lick It)'",0
136,"b'The Astral Files'","b'Astral Projection'",0.0,444.83873,0,138.874,4,"b'Ionized'",1996
137,"b'The Ultimate Peter And Gordon'","b'Peter And Gordon'",0.0,127.97342,9,153.341,4,"b'Lucille (1999 Digital Remaster) (Stereo)'",0
138,"b'The French Machine'","b'Minitel Rose'",0.0,248.31955,11,123.919,4,"b'Elevator'",2008
139,"b'Live At The Olympia'","b'Damien Dempsey'",0.0,334.15791,7,127.117,4,"b'Industrial School'",2003
140,"b'The Real Twang Thang'","b'Tim Wilson'",0.0,186.48771,5,90.022,1,"b'I Think My Wife Is Running Around On Me (Taco Hell)'",2005
141,"b'Who Killed Puck?'","b'Cloud Cult'",0.0,105.87383,2,128.896,4,"b'Sane As Can Be'",2000
142,"b"Willie Bobo's Finest Hour"","b'Willie Bobo'",0.0,168.25424,8,127.025,4,"b'Spanish Grease'",1997
143,"b'Highway Trance'","b'Jimmy LaFave'",0.0,200.82893,11,99.583,4,"b'Route 66 Revisited'",1994
144,"b'Shake A Hand'","b'Faye Adams'",0.0,156.39465,8,95.957,3,"b'Crazy Mixed Up World'",1961
145,"b'Evolution'","b'Kitty Margolis'",0.0,310.7522,5,127.556,5,"b'Midnight Sun'",1993
146,"b'Occasional Rain'","b'Terry Callier'",0.0,342.56934,6,110.189,3,"b'Do You Finally Need A Friend'",1972
147,"b'Biggest Bluest Hi-Fi'","b'Camera Obscura'",0.0,350.32771,9,113.978,4,"b'Double Feature'",0
148,"b'Tanssisuosikit 6'","b'Paula Koivuniemi'",0.0,208.24771,0,138.019,4,"b'Mustalaisnainen'",2008
149,"b'Good Morning'","b'Old Man River'",0.0,165.40689,7,118.43,4,"b'Summer'",2007
150,"b'The Emperor Falls'","b'John Wesley'",0.0,484.62322,4,138.007,4,"b'The Emperor Falls'",0
151,"b'Love In Veins'","b'Ian McCulloch'",0.0,183.37914,9,47.271,4,"b'Prettiest Star'",0
152,"b'Maniobras de escapismo'","b'Love Of Lesbian'",0.0,264.69832,9,110.023,4,"b'Domingo astron\xc3\xb3mico'",2005
153,"b'Best of The Shangri-Las'","b'The Shangri-Las'",0.0,164.80608,10,130.1,1,"b'Twist and Shout'",1964
154,"b'20 Of Her Best'","b'Billie Jo Spears'",0.0,133.32853,4,160.839,1,"b'It Makes No Difference Now'",1992
155,"b'Colour Series: Yellow 01'","b'Hanna'",0.0,359.18322,0,120.056,1,"b'The Race'",0
156,"b'For Those Who Know'","b'Payola'",0.0,161.95873,9,110.697,4,"b"The Shepherd's Dead"",2000
157,"b"The Very Best Of Herman's Hermits"","b"Herman's Hermits"",0.0,162.40281,1,117.042,3,"b'My Lady (2003 Digital Remaster)'",1997
158,"b'Who Is Mike Jones?'","b"Mike Jones (Featuring CJ_ Mello & Lil' Bran)"",0.0,173.66159,7,41.993,1,"b'Laws Patrolling (Album Version)'",0
159,"b"Goin' Mad Blues Vol. 4"","b'Big Joe Williams'",0.0,160.62649,1,100.505,1,"b'I Won?t Be In Hard Luck No More'",0
160,"b'Vol. 3: Operation Shut Em Down'","b'Rod Lee'",0.0,155.71546,11,129.431,4,"b"Callin' Everybody"",0
161,"b'Based On A True Story'","b"Lil' Mo"",0.0,254.79791,5,113.83,4,"b'My Story (LP Version)'",0
162,"b'Tibiri Tabara'","b'Sierra Maestra'",0.0,313.12934,9,189.646,3,"b'\xc2\xbfD\xc3\xb3nde va Chichi?'",1997
163,"b'Saul Williams'","b'Saul Williams'",0.0,218.95791,6,162.67,3,"b'Seaweed'",2004
164,"b'Top Forty Hits'","b'Anal Cunt'",0.0,94.22322,1,107.552,4,"b'Brain Dead'",1995
165,"b'Princess'","b'Jam Hsiao'",0.0,198.19057,6,106.934,4,"b'Green Door'",2009
166,"b'Jolin Favorite Live Concert Music Collection'","b'Jolin Tsai'",0.0,199.96689,1,86.68,5,"b'Le Yuan (OT:They)'",0
167,"b'Bluesman'","b'John Hammond'",0.0,195.3171,7,123.142,4,"b"I Can't Be Satisfied"",2002
168,"b'Kilas O Mau Da Fita'","b'S\xc3\xa9rgio Godinho'",0.0,64.13016,5,140.957,1,"b'Valsa Da Ana'",0
169,"b'Talk Bout Friend'","b'Leroy Smart'",0.0,217.23383,10,85.004,4,"b'100% Of Love'",1997
170,"b'Buena Vista Social Club Presents Ibrahim Ferrer'","b'Ibrahim Ferrer'",0.0,279.32689,0,87.016,4,"b'Qu\xc3\xa9 Bueno Baila Usted'",1999
171,"b'Ottavio'","b'Bandabard\xc3\xb2'",0.0,138.57914,2,137.922,4,"b'La mauvaise r\xc3\xa9putation'",2008
172,"b'Bomb In A Birdcage'","b'A Fine Frenzy'",0.0,201.87383,2,65.104,4,"b'The Beacon'",2009
173,"b'El Regreso Del Condor'","b'Diomedes Diaz'",0.0,364.12036,11,75.893,4,"b'El Verdadero Culpable'",0
174,"b"Put The Music In It's Coffin"","b'The Shadow Ring'",0.0,308.24444,7,102.417,4,"b'Crystal Tears'",0
175,"b'Piouhgd + Widowermaker!'","b'Butthole Surfers'",0.0,450.84689,4,130.586,4,"b'Barking Dogs (From "Piouhgd")'",0
176,"b'The Day After Forever'","b'Crown City Rockers'",0.0,180.89751,5,114.124,4,"b'Kiss feat. Silya'",2009
177,"b'A Little Revolution'","b'The Smittens'",0.0,186.48771,7,150.007,4,"b'Twitterpated! (MFDOD Remix)'",0
178,"b'Profities'","b'Despina Vandi'",0.0,303.09832,8,128.292,4,"b'OUTE ENA EFHARISTO'",0
179,"b'Prestige Profiles'","b'Sonny Rollins Quartet'",0.0,311.11791,4,153.574,4,"b"Paul's Pal"",1985
180,"b'Cracks'","b'Javier Navarrete'",0.0,128.83546,3,90.932,3,"b'Midnight Swim'",0
181,"b"Still Kickin'"","b'Asher D'",0.0,332.5122,8,154.678,5,"b'In The House'",0
182,"b'10 Deadly Kisses'","b'The Weathermen'",0.0,246.17751,7,125.933,4,"b'Let Them Come To Berlin'",0
183,"b'3 Years Stil Vor Talent Part One'","b'H.O.S.H.'",0.0,431.96036,4,0.0,3,"b'Ben Johnson'",0
184,"b'Pieces Of Time'","b'Jacob Young'",0.0,456.30649,1,89.667,4,"b'In A Subtle Way'",0
185,"b'Reggae Xplosion The Remix'","b'Luciano'",0.0,173.97506,9,147.763,4,"b'You Bring Me Joy'",0
186,"b'Arrival'","b'Keri Leigh'",0.0,321.14893,1,92.177,1,"b'Florida Sunset'",0
187,"b'Invisible Architecture #8'","b'taylor deupree + christopher willits'",0.0,571.8722,0,119.921,4,"b'Willits Live @ Tonic 11.26.02'",2003
188,"b'Rabbit Habits'","b'Man Man'",0.0,268.87791,0,158.424,1,"b'The Ballad Of Butter Beans'",2008
189,"b'Campus Encore'","b'The Four Preps'",0.0,387.02975,2,132.266,4,"b'The Big Draft Medley'",0
190,"b'Headclouds'","b'Xymox'",0.0,230.5824,2,125.97,4,"b'Prophecy'",1993
191,"b'Etiquette'","b'Casiotone For The Painfully Alone'",0.0,175.72526,0,141.919,4,"b'Nashville Parthenon'",2006
192,"b'Ec8or'","b'Ec8or'",0.0,217.23383,10,95.596,4,"b'Cocain Ducks'",1995
193,"b'Pum Pum Short'","b'Red Dragon'",0.0,221.09995,7,96.471,4,"b'Hard And Stif'",0
194,"b'On The Rocks'","b'Marco Bailey & Tom Hades'",0.0,386.82077,10,173.977,3,"b'On The Rocks'",0
195,"b'Sanremo \xc3\xa8 sempre Sanremo'","b'Riccardo Fogli'",0.0,145.81506,2,131.96,4,"b'Sulla buona strada'",1976
196,"b'Happy Birthday Marie-Rose & Mes plus belles chansons'","b'Chantal Goya'",0.0,243.25179,5,80.808,4,"b'Prot\xc3\xa9gez-les'",0
197,"b'Cycles'","b'Rotten Sound'",0.0,235.10159,4,115.001,4,"b'Trust'",2008
198,"b'The Best of Aldo Nova'","b'Aldo Nova'",0.0,251.24526,0,118.633,4,"b'Always Be Mine'",1983
199,"b"Double Gold - Le Double Album d'Or"","b'Gloria Gaynor'",0.0,304.37832,9,85.326,3,"b'Perfect World'",1998
200,"b'Sandy'","b'Sandy Denny'",0.0,231.6273,2,131.854,1,"b'Bushes And Briars'",1972
201,"b'Dois Momentos'","b'Tom Z\xc3\xa9'",0.0,187.61098,11,54.563,4,"b'O Sandalo'",0
202,"b'Too Much Too Soon'","b'The New York Dolls'",0.0,344.05832,11,154.953,1,"b'Human Being'",1974
203,"b'Catching Tales'","b'Jamie Cullum'",0.0,218.30485,4,143.578,5,"b'Oh God'",0
204,"b'Headed for the hills'","b'Jim Lauderdale'",0.0,205.63546,2,117.135,4,"b'Trashcan tomcat'",2004
205,"b'Cultura Jonda XV. Un compromiso'","b'Manuel De Paula'",0.0,292.362,2,145.076,3,"b'Monta guardia labriego. Cante de trilla'",0
206,"b'Get Down'","b'Antoine Clamaran'",0.0,441.88689,6,128.004,4,"b'Get Down'",2008
207,"b"La Bottega Dell'Arte"","b"La Bottega Dell'Arte"",0.0,223.242,10,130.945,4,"b'Noi Nel Bene_ Noi Nel Male'",0
208,"b'Bossa Nova Stories'","b'Eliane Elias'",0.0,251.42812,7,86.091,5,"b'The More I See You'",2009
209,"b'Love_ Peace & Nappiness'","b'Lost Boyz'",0.0,269.7922,7,90.218,4,"b'Certain Things We Do'",1997
210,"b'Dutch Nu Jazz Movement'","b'Flowriders'",0.0,428.09424,3,170.084,4,"b'Rika'",0
211,"b'Country Clubland - The Dance Anthems'","b'Micky Modelle'",0.0,280.94649,2,140.022,4,"b'Always On My Mind'",0
212,"b'The Palest Grey'","b"Scarlet's Remains"",0.0,198.73914,7,115.061,4,"b'Spin'",2007
213,"b'Distant Birds? Thought they were leaves...'","b'Zegunder'",0.0,538.64444,2,117.172,3,"b'On The Top Of Mt. Fujuyama'",2004
214,"b'May Inspire Revolutionary Acts'","b'The Mob'",0.0,294.76526,1,139.554,1,"b"I Hear You Laughing ('Ching' 1981 Cassette)"",0
215,"b'Mbugout City'","b'BLESTeNATION'",0.0,193.07057,10,90.11,4,"b"They're Coming For You"",0
216,"b'Tracy Chapman'","b'Tracy Chapman'",0.0,296.07138,2,103.905,4,"b'Fast Car (LP Version)'",1988
217,"b'Games Rednecks Play'","b'Jeff Foxworthy'",0.0,240.77016,1,77.931,5,"b'Seek And Destroy   (Album Version)'",1995
218,"b'A Match & Some Gasoline'","b'The Suicide Machines'",0.0,95.68608,2,115.887,4,"b'Burning In The Aftermath'",2003
219,"b"Jump Back - The Best Of The Rolling Stones_ '71-'93"","b'The Rolling Stones'",0.0,271.49016,9,139.333,1,"b'Angie (1993 Digital Remaster)'",0
220,"b'Lo Mejor con La Orq. Broadway'","b'Roberto Torres'",0.0,226.66404,0,117.271,4,"b'Sabor Guajiro'",0
221,"b'Grown Man'","b'Loudon Wainwright III'",0.0,190.48444,3,102.428,4,"b'Human Cannonball'",1995
222,"b'A Bothered Mind'","b'R.L. Burnside'",0.0,277.78567,2,89.984,4,"b'Glory Be'",2004
223,"b'The Valley Of The Shadow Of Death'","b'The Tossers'",0.0,361.50812,2,133.435,1,"b'The Crock Of Gold (Album Version)'",2005
