_id,l_ID,r_ID,l_title,r_title,_sim_score
70,b207803,a68,Hold On,Hold On,1.0
71,b216381,a68,Hold On,Hold On,1.0
72,b138612,a68,Hold On,Hold On,1.0
73,b120190,a68,Hold On,Hold On,1.0
74,b172435,a68,Hold On,Hold On,1.0
75,b147283,a68,Hold On,Hold On,1.0
76,b179960,a68,Hold On,Hold On,1.0
77,b8672,a68,Hold On,Hold On,1.0
78,b47589,a68,Hold On,Hold On,1.0
79,b114155,a68,Hold On,Hold On,1.0
80,b341075,a68,Hold On,Hold On,1.0
81,b87538,a68,Hold On,Hold On,1.0
82,b165364,a68,Hold On,Hold On,1.0
83,b296444,a68,Hold On,Hold On,1.0
84,b69118,a68,Hold On,Hold On,1.0
85,b118283,a68,Hold On,Hold On,1.0
86,b17840,a68,Hold On,Hold On,1.0
87,b193056,a68,Hold On,Hold On,1.0
88,b78395,a68,Hold On,Hold On,1.0
89,b312288,a68,Hold On,Hold On,1.0
90,b268891,a68,Hold On,Hold On,1.0
91,b290421,a68,Hold On,Hold On,1.0
92,b163450,a68,Hold On,Hold On,1.0
93,b216702,a68,Hold On,Hold On,1.0
94,b319861,a68,Hold On,Hold On,1.0
95,b260745,a68,Hold On,Hold On,1.0
96,b199324,a68,Hold On,Hold On,1.0
97,b70362,a68,Hold On,Hold On,1.0
98,b68323,a68,Hold On,Hold On,1.0
99,b268011,a68,Hold On,Hold On,1.0
100,b27437,a68,Hold On,Hold On,1.0
101,b211730,a68,Hold On,Hold On,1.0
102,b150345,a68,Hold On,Hold On,1.0
103,b128578,a68,Hold On,Hold On,1.0
104,b150360,a68,Hold On,Hold On,1.0
105,b190298,a68,Hold On,Hold On,1.0
106,b278383,a68,Hold On,Hold On,1.0
107,b146581,a68,Hold On,Hold On,1.0
108,b81830,a68,Hold On,Hold On,1.0
109,b116648,a68,Hold On,Hold On,1.0
110,b3007,a68,Hold On,Hold On,1.0
111,b184674,a68,Hold On,Hold On,1.0
112,b229365,a68,Hold On,Hold On,1.0
113,b219126,a68,Hold On,Hold On,1.0
114,b148473,a68,Hold On,Hold On,1.0
115,b233304,a73,All Around,All Around,1.0
116,b139800,a74,Lately,Lately,1.0
117,b335912,a74,Lately,Lately,1.0
118,b72762,a74,Lately,Lately,1.0
119,b24661,a74,Lately,Lately,1.0
120,b4207,a74,Lately,Lately,1.0
121,b33949,a74,Lately,Lately,1.0
122,b200867,a74,Lately,Lately,1.0
123,b119466,a74,Lately,Lately,1.0
124,b186911,a74,Lately,Lately,1.0
125,b207035,a74,Lately,Lately,1.0
126,b117999,a74,Lately,Lately,1.0
127,b324381,a74,Lately,Lately,1.0
128,b330545,a74,Lately,Lately,1.0
129,b266133,a74,Lately,Lately,1.0
130,b224174,a74,Lately,Lately,1.0
131,b329631,a74,Lately,Lately,1.0
132,b256459,a74,Lately,Lately,1.0
133,b309182,a74,Lately,Lately,1.0
134,b326652,a74,Lately,Lately,1.0
135,b133699,a79,Candyman,Candyman,1.0
136,b99352,a79,Candyman,Candyman,1.0
137,b186591,a79,Candyman,Candyman,1.0
138,b219464,a79,Candyman,Candyman,1.0
139,b123300,a79,Candyman,Candyman,1.0
140,b60953,a82,Someday,Someday,1.0
141,b137245,a82,Someday,Someday,1.0
142,b277039,a82,Someday,Someday,1.0
143,b335920,a82,Someday,Someday,1.0
144,b344113,a82,Someday,Someday,1.0
145,b242751,a82,Someday,Someday,1.0
146,b60487,a82,Someday,Someday,1.0
147,b7244,a82,Someday,Someday,1.0
148,b126050,a82,Someday,Someday,1.0
149,b327267,a82,Someday,Someday,1.0
150,b118376,a82,Someday,Someday,1.0
151,b32363,a82,Someday,Someday,1.0
152,b329329,a82,Someday,Someday,1.0
153,b205802,a82,Someday,Someday,1.0
154,b90047,a82,Someday,Someday,1.0
155,b184957,a82,Someday,Someday,1.0
156,b152194,a82,Someday,Someday,1.0
157,b310917,a82,Someday,Someday,1.0
158,b268939,a82,Someday,Someday,1.0
159,b94861,a82,Someday,Someday,1.0
160,b39574,a82,Someday,Someday,1.0
161,b309405,a82,Someday,Someday,1.0
162,b220856,a82,Someday,Someday,1.0
163,b258761,a82,Someday,Someday,1.0
164,b77516,a82,Someday,Someday,1.0
165,b29391,a82,Someday,Someday,1.0
166,b244951,a82,Someday,Someday,1.0
167,b280289,a82,Someday,Someday,1.0
168,b286249,a82,Someday,Someday,1.0
169,b158467,a82,Someday,Someday,1.0
170,b176901,a82,Someday,Someday,1.0
171,b17171,a82,Someday,Someday,1.0
172,b198426,a82,Someday,Someday,1.0
173,b341803,a82,Someday,Someday,1.0
174,b186157,a82,Someday,Someday,1.0
175,b224395,a82,Someday,Someday,1.0
176,b105313,a82,Someday,Someday,1.0
177,b46956,a82,Someday,Someday,1.0
178,b224062,a82,Someday,Someday,1.0
179,b57209,a82,Someday,Someday,1.0
180,b282386,a82,Someday,Someday,1.0
181,b31623,a82,Someday,Someday,1.0
182,b73609,a82,Someday,Someday,1.0
183,b253834,a82,Someday,Someday,1.0
184,b213486,a82,Someday,Someday,1.0
185,b178078,a82,Someday,Someday,1.0
186,b288672,a82,Someday,Someday,1.0
187,b173996,a82,Someday,Someday,1.0
188,b226169,a82,Someday,Someday,1.0
189,b64466,a82,Someday,Someday,1.0
190,b61417,a82,Someday,Someday,1.0
191,b177645,a82,Someday,Someday,1.0
192,b20976,a82,Someday,Someday,1.0
193,b312822,a82,Someday,Someday,1.0
194,b297046,a82,Someday,Someday,1.0
195,b263154,a88,Alone Again Or,Alone Again Or,1.0
196,b132553,a88,Alone Again Or,Alone Again Or,1.0
197,b319965,a90,Black Heart,Black Heart,1.0
198,b14829,a90,Black Black Heart,Black Heart,0.8666666666666667
199,b183305,a96,In the Morning,In the Morning,1.0
200,b139151,a96,In the Morning,In the Morning,1.0
201,b265707,a127,Excuses,Excuses,1.0
202,b221830,a127,Excuses,Excuses,1.0
203,b40082,a127,Excuses,Excuses,1.0
204,b158368,a127,Excuses,Excuses,1.0
205,b97208,a127,Excuses,Excuses,1.0
206,b235695,a132,Aint No Mountain High Enough,Ain't No Mountain High Enough,0.8484848484848485
207,b88250,a132,Aint No Mountain High Enough,Ain't No Mountain High Enough,0.8484848484848485
208,b248590,a132,Aint No Mountain High Enough,Ain't No Mountain High Enough,0.8484848484848485
209,b169572,a132,Aint No Mountain High Enough,Ain't No Mountain High Enough,0.8484848484848485
210,b53996,a138,Ripple,Ripple,1.0
211,b96101,a138,Ripple,Ripple,1.0
212,b45277,a139,Forced To Love,Forced To Love,1.0
213,b123715,a159,You Are My Everything,You Are Everything,0.7916666666666666
214,b277999,a159,You Are My Everything,You Are Everything,0.7916666666666666
215,b91227,a159,You Are Everything,You Are Everything,1.0
216,b345331,a159,You Are Everything,You Are Everything,1.0
217,b206179,a159,You Are Everything,You Are Everything,1.0
218,b263779,a159,You Are Everything,You Are Everything,1.0
219,b63201,a159,Youre Everything,You Are Everything,0.7272727272727273
220,b47232,a159,You Are Everything,You Are Everything,1.0
221,b1051,a159,You Are Everything,You Are Everything,1.0
222,b1279,a161,The Boss,The Boss,1.0
223,b239486,a161,The Big Boss,The Boss,0.7142857142857143
224,b150076,a161,The Boss,The Boss,1.0
225,b308895,a161,The Boss,The Boss,1.0
226,b276286,a161,The Boss,The Boss,1.0
227,b242495,a161,The Boss,The Boss,1.0
228,b72672,a161,The Boss,The Boss,1.0
229,b98426,a162,Upside Down,Upside Down,1.0
230,b302264,a162,Upside Down,Upside Down,1.0
231,b25810,a162,Upside Down,Upside Down,1.0
232,b155911,a162,Upside Down,Upside Down,1.0
233,b58758,a162,Upside Down,Upside Down,1.0
234,b168841,a162,Upside Down,Upside Down,1.0
235,b269647,a162,Upside Down,Upside Down,1.0
236,b282969,a162,Upside Down,Upside Down,1.0
237,b113052,a162,Upside Down,Upside Down,1.0
238,b326064,a162,Upside Down,Upside Down,1.0
239,b22118,a162,Upside Down,Upside Down,1.0
240,b247130,a162,Upside Down,Upside Down,1.0
241,b154519,a162,Upside Down,Upside Down,1.0
242,b70630,a162,Upside Down,Upside Down,1.0
243,b129005,a162,Upside Down Frown,Upside Down,0.7222222222222222
244,b37873,a162,Upside Down,Upside Down,1.0
245,b271849,a163,Im Coming Out,I'm Coming Out,0.7222222222222222
246,b192339,a169,Holding On,Holding On,1.0
247,b344479,a169,Holding On,Holding On,1.0
248,b80583,a169,Holding On,Holding On,1.0
249,b17158,a169,Holding On,Holding On,1.0
250,b123683,a169,Holding On,Holding On,1.0
251,b156487,a169,Holding On,Holding On,1.0
252,b60578,a169,Holding On,Holding On,1.0
253,b62663,a169,Holding On,Holding On,1.0
254,b296542,a169,Holding On,Holding On,1.0
255,b55936,a169,Holding On,Holding On,1.0
256,b79705,a169,Holding On,Holding On,1.0
257,b232499,a170,Boogie Down,Boogie Down,1.0
258,b54734,a170,Boogie Down,Boogie Down,1.0
259,b139978,a170,Boogie Down,Boogie Down,1.0
260,b304969,a171,Native Son,Native Son,1.0
261,b329656,a171,Native Son,Native Son,1.0
262,b61674,a175,Christmastime Is Here,Christmas Time Is Here,0.7407407407407407
263,b139555,a175,Christmas Time Is Here,Christmas Time Is Here,1.0
264,b160098,a175,Christmas Time Is Here,Christmas Time Is Here,1.0
265,b181098,a175,Christmas Time Is Here,Christmas Time Is Here,1.0
266,b44583,a175,Christmas Time Is Here,Christmas Time Is Here,1.0
267,b71108,a175,Christmas Time Is Here,Christmas Time Is Here,1.0
268,b333453,a175,Christmas Time Is Here,Christmas Time Is Here,1.0
269,b30533,a175,Christmas Time Is Here,Christmas Time Is Here,1.0
270,b284638,a175,Christmas Time Is Here,Christmas Time Is Here,1.0
271,b100854,a175,Christmas Time Is Here,Christmas Time Is Here,1.0
272,b305736,a175,Christmas Time is Here,Christmas Time Is Here,0.7777777777777778
273,b252975,a175,Christmas Time Is Here,Christmas Time Is Here,1.0
274,b105514,a177,Cars,Cars,1.0
275,b201573,a177,Cars,Cars,1.0
276,b91965,a177,Cars,Cars,1.0
277,b296120,a177,Cars,Cars,1.0
278,b3144,a242,Warriors,Warriors,1.0
279,b150844,a242,Warriors,Warriors,1.0
280,b184641,a242,Warriors,Warriors,1.0
281,b270692,a242,Warriors,Warriors,1.0
282,b156315,a242,Warriors,Warriors,1.0
283,b259772,a242,Warriors,Warriors,1.0
284,b69384,a242,Warriors,Warriors,1.0
285,b154103,a242,Warriors,Warriors,1.0
286,b164377,a262,Already There,Already There,1.0
287,b290532,a262,Already There,Already There,1.0
288,b176826,a273,In The Air Tonight,In the Air Tonight,0.7391304347826086
289,b126068,a273,In The Air Tonight,In the Air Tonight,0.7391304347826086
290,b124117,a281,Ai No Corrida,Ai No Corrida,1.0
291,b66202,a291,If Leaving Me Is Easy,If Leaving Me Is Easy,1.0
292,b140163,a293,You Cant Hurry Love,You Can't Hurry Love,0.7916666666666666
293,b33805,a293,You Cant Hurry Love,You Can't Hurry Love,0.7916666666666666
294,b337011,a293,You Cant Hurry Love,You Can't Hurry Love,0.7916666666666666
295,b224640,a293,You Cant Hurry Love,You Can't Hurry Love,0.7916666666666666
296,b177032,a298,Dont Let the Stars Get in Your Eyes,Don't Let the Stars Get in Your Eyes / Lies,0.7391304347826086
297,b54071,a298,Dont Let the Stars Get in Your Eyes,Don't Let the Stars Get in Your Eyes / Lies,0.7391304347826086
298,b110134,a302,Silent All These Years,Silent All These Years,1.0
299,b295012,a303,The Game Of Love,The Game of Love,0.7142857142857143
300,b270532,a303,The Game Of Love,The Game of Love,0.7142857142857143
301,b307824,a303,The Game of Love,The Game of Love,1.0
302,b164806,a303,The Game Of Love,The Game of Love,0.7142857142857143
303,b241554,a303,The Game Of Love,The Game of Love,0.7142857142857143
304,b51294,a304,Feel You,Feel You,1.0
305,b218205,a307,Somewhere,Somewhere,1.0
306,b34859,a307,Somewhere,Somewhere,1.0
307,b8755,a307,Somewhere,Somewhere,1.0
308,b217152,a307,Somewhere,Somewhere,1.0
309,b106679,a307,Somewhere,Somewhere,1.0
310,b314954,a307,Somewhere,Somewhere,1.0
311,b280712,a307,Somewhere,Somewhere,1.0
312,b287377,a307,Somewhere,Somewhere,1.0
313,b333772,a307,Somewhere,Somewhere,1.0
314,b178376,a307,Somewhere,Somewhere,1.0
315,b193773,a307,Somewhere,Somewhere,1.0
316,b44272,a307,Somewhere,Somewhere,1.0
317,b139511,a307,Somewhere,Somewhere,1.0
318,b55041,a307,Somewhere,Somewhere,1.0
319,b69907,a307,Somewhere,Somewhere,1.0
320,b227113,a307,Somewhere,Somewhere,1.0
321,b117048,a307,Somewhere,Somewhere,1.0
322,b327540,a307,Somewhere,Somewhere,1.0
323,b238972,a307,Somewhere,Somewhere,1.0
324,b195969,a307,Somewhere,Somewhere,1.0
325,b344301,a307,Somewhere,Somewhere,1.0
326,b79795,a307,Somewhere,Somewhere,1.0
327,b109516,a307,Somewhere,Somewhere,1.0
328,b236011,a307,Somewhere,Somewhere,1.0
329,b156658,a307,Somewhere,Somewhere,1.0
330,b71952,a311,Against All Odds (Take A Look At Me Now),Against All Odds (Take a Look at Me Now),0.75
331,b246266,a313,One More Night,One More Night,1.0
332,b283580,a313,One More Night,One More Night,1.0
333,b222378,a313,One More Night Out,One More Night,0.7142857142857143
334,b157079,a313,One More Night Out,One More Night,0.7142857142857143
335,b210808,a313,One More Night,One More Night,1.0
336,b100396,a313,One More Night,One More Night,1.0
337,b293030,a313,One More Night Out,One More Night,0.7142857142857143
338,b296216,a313,One More Night,One More Night,1.0
339,b44305,a313,One More Night,One More Night,1.0
340,b28361,a313,One More Night,One More Night,1.0
341,b38525,a315,Separate Lives,Separate Lives,1.0
342,b307993,a319,Walk Right Back,Walk Right Back,1.0
343,b267335,a326,China,China,1.0
344,b18586,a326,China,China,1.0
345,b255179,a326,China,China,1.0
346,b41290,a326,China,China,1.0
347,b118162,a326,China,China,1.0
348,b329536,a326,China,China,1.0
349,b187844,a326,China,China,1.0
350,b282560,a326,China,China,1.0
351,b250940,a327,Winter,Winter,1.0
352,b137824,a327,Winter Winter,Winter,0.7272727272727273
353,b274564,a327,Winter,Winter,1.0
354,b255636,a327,Winter,Winter,1.0
355,b233623,a327,Winter,Winter,1.0
356,b206529,a327,Winter,Winter,1.0
357,b178708,a327,Winter,Winter,1.0
358,b114451,a327,Winter,Winter,1.0
359,b259864,a327,Winter,Winter,1.0
360,b14131,a327,Winter,Winter,1.0
361,b306493,a327,Winter,Winter,1.0
362,b345930,a327,Winter,Winter,1.0
363,b142769,a327,Winter,Winter,1.0
364,b345593,a327,Winter,Winter,1.0
365,b145880,a327,Winter,Winter,1.0
366,b91818,a327,Winter,Winter,1.0
367,b95227,a327,Winter,Winter,1.0
368,b55982,a328,Crucify,Crucify,1.0
369,b322041,a328,Crucify,Crucify,1.0
370,b317379,a330,God,God,1.0
371,b97935,a330,God,God,1.0
372,b169167,a330,God,God,1.0
373,b265249,a330,God,God,1.0
374,b43831,a330,God,God,1.0
375,b166778,a330,God,God,1.0
376,b184489,a332,Downtown Train,Downtown Train,1.0
377,b210234,a332,Downtown Train,Downtown Train,1.0
378,b307886,a335,Goin Out West,Goin' Out West,0.7222222222222222
379,b11269,a337,Hold On,Hold On,1.0
380,b245079,a337,Hold On,Hold On,1.0
381,b44888,a337,Hold On,Hold On,1.0
382,b27665,a337,Hold On,Hold On,1.0
383,b264224,a337,Hold On,Hold On,1.0
384,b163888,a337,Hold On,Hold On,1.0
385,b273127,a337,Hold On,Hold On,1.0
386,b282708,a337,Hold On,Hold On,1.0
387,b266333,a337,Hold On,Hold On,1.0
388,b140990,a337,Hold On,Hold On,1.0
389,b204928,a337,Hold On,Hold On,1.0
390,b153745,a337,Hold On,Hold On,1.0
391,b15509,a337,Hold On,Hold On,1.0
392,b178330,a337,Hold On,Hold On,1.0
393,b49325,a337,Hold On,Hold On,1.0
394,b100530,a337,Hold On,Hold On,1.0
395,b296309,a337,Hold On,Hold On,1.0
396,b237761,a337,Hold On,Hold On,1.0
397,b326256,a337,Hold On,Hold On,1.0
398,b142565,a337,Hold On,Hold On,1.0
399,b290033,a337,Hold On,Hold On,1.0
400,b305536,a337,Hold On,Hold On,1.0
401,b323845,a337,Hold On,Hold On,1.0
402,b82209,a337,Hold On,Hold On,1.0
403,b16674,a337,Hold On,Hold On,1.0
404,b207803,a337,Hold On,Hold On,1.0
405,b216381,a337,Hold On,Hold On,1.0
406,b138612,a337,Hold On,Hold On,1.0
407,b120190,a337,Hold On,Hold On,1.0
408,b172435,a337,Hold On,Hold On,1.0
409,b147283,a337,Hold On,Hold On,1.0
410,b179960,a337,Hold On,Hold On,1.0
411,b8672,a337,Hold On,Hold On,1.0
412,b47589,a337,Hold On,Hold On,1.0
413,b114155,a337,Hold On,Hold On,1.0
414,b341075,a337,Hold On,Hold On,1.0
415,b87538,a337,Hold On,Hold On,1.0
416,b165364,a337,Hold On,Hold On,1.0
417,b296444,a337,Hold On,Hold On,1.0
418,b69118,a337,Hold On,Hold On,1.0
419,b118283,a337,Hold On,Hold On,1.0
420,b17840,a337,Hold On,Hold On,1.0
421,b193056,a337,Hold On,Hold On,1.0
422,b78395,a337,Hold On,Hold On,1.0
423,b312288,a337,Hold On,Hold On,1.0
424,b268891,a337,Hold On,Hold On,1.0
425,b290421,a337,Hold On,Hold On,1.0
426,b163450,a337,Hold On,Hold On,1.0
427,b216702,a337,Hold On,Hold On,1.0
428,b319861,a337,Hold On,Hold On,1.0
429,b260745,a337,Hold On,Hold On,1.0
430,b199324,a337,Hold On,Hold On,1.0
431,b70362,a337,Hold On,Hold On,1.0
432,b68323,a337,Hold On,Hold On,1.0
433,b268011,a337,Hold On,Hold On,1.0
434,b27437,a337,Hold On,Hold On,1.0
435,b211730,a337,Hold On,Hold On,1.0
436,b150345,a337,Hold On,Hold On,1.0
437,b128578,a337,Hold On,Hold On,1.0
438,b150360,a337,Hold On,Hold On,1.0
439,b190298,a337,Hold On,Hold On,1.0
440,b278383,a337,Hold On,Hold On,1.0
441,b146581,a337,Hold On,Hold On,1.0
442,b81830,a337,Hold On,Hold On,1.0
443,b116648,a337,Hold On,Hold On,1.0
444,b3007,a337,Hold On,Hold On,1.0
445,b184674,a337,Hold On,Hold On,1.0
446,b229365,a337,Hold On,Hold On,1.0
447,b219126,a337,Hold On,Hold On,1.0
448,b148473,a337,Hold On,Hold On,1.0
449,b345100,a346,Back Together Again,Back Together Again,1.0
450,b174289,a355,Je te veux,Je veux,0.75
451,b188430,a358,Another Day In Paradise,Another Day in Paradise,0.7857142857142857
452,b185049,a358,Another Day In Paradise,Another Day in Paradise,0.7857142857142857
453,b201365,a358,Another Day In Paradise,Another Day in Paradise,0.7857142857142857
454,b327997,a359,I Wish It Would Rain,I Wish It Would Rain Down,0.75
455,b79275,a359,I Wish It Would Rain Down,I Wish It Would Rain Down,1.0
456,b142176,a359,I Wish It Would Rain,I Wish It Would Rain Down,0.75
457,b212198,a359,I Wish It Would Rain,I Wish It Would Rain Down,0.75
458,b32502,a359,I Wish It Would Rain,I Wish It Would Rain Down,0.75
459,b42180,a361,Hang In Long Enough,Hang in Long Enough,0.7391304347826086
460,b6716,a363,Signals Over The Air,Signals Over the Air,0.76
461,b29268,a365,Swing Low Sweet Chariot,Swing Low Sweet Chariot,1.0
462,b17331,a365,Swing Low_ Sweet Chariot,Swing Low Sweet Chariot,0.8214285714285714
463,b248696,a365,Swing Low_ Sweet Chariot,Swing Low Sweet Chariot,0.8214285714285714
464,b333036,a365,Swing Low_ Sweet Chariot,Swing Low Sweet Chariot,0.8214285714285714
465,b284229,a365,Swing Low Sweet Chariot,Swing Low Sweet Chariot,1.0
466,b215595,a365,Swing Low Sweet Chariot,Swing Low Sweet Chariot,1.0
467,b326605,a365,Swing Low Sweet Chariot,Swing Low Sweet Chariot,1.0
468,b306556,a365,Swing Low_ Sweet Chariot,Swing Low Sweet Chariot,0.8214285714285714
469,b298757,a365,Swing Low_ Sweet Chariot,Swing Low Sweet Chariot,0.8214285714285714
470,b107828,a365,Swing Low Sweet Chariot,Swing Low Sweet Chariot,1.0
471,b326950,a373,Wana Get Back With You,I Wanna Get Back With You,0.7
472,b150856,a385,Snow,Snow,1.0
473,b83081,a385,Snow,Snow,1.0
474,b111313,a385,Snow,Snow,1.0
475,b323926,a385,Snow,Snow,1.0
476,b87129,a385,Snow,Snow,1.0
477,b28823,a385,Snow,Snow,1.0
478,b226604,a385,Snow,Snow,1.0
479,b328672,a385,Snow,Snow,1.0
480,b57894,a392,Chasing Pavements,Chasing Pavements,1.0
481,b64410,a393,Cold Shoulder,Cold Shoulder,1.0
482,b190633,a394,Make You Feel My Love,Make You Feel My Love,1.0
483,b232391,a394,Make You Feel My Love,Make You Feel My Love,1.0
484,b224487,a394,Make You Feel My Love,Make You Feel My Love,1.0
485,b139328,a397,Someone Like You,Someone Like You,1.0
486,b197473,a397,Someone Like You,Someone Like You,1.0
487,b62365,a397,Someone Like You,Someone Like You,1.0
488,b140683,a397,Someone Like You,Someone Like You,1.0
489,b182779,a397,Someone Like You,Someone Like You,1.0
490,b23000,a397,Someone Like You,Someone Like You,1.0
491,b280044,a399,Have I Told You Lately,Have I Told You Lately,1.0
492,b242664,a399,Have I Told You Lately,Have I Told You Lately,1.0
493,b151588,a402,Real Gone,Real Real Gone,0.8461538461538461
494,b166760,a402,Real Gone,Real Real Gone,0.8461538461538461
495,b300497,a402,Real Gone,Real Real Gone,0.8461538461538461
496,b286857,a403,I Cant Stop Loving You,I Can't Stop Loving You,0.8148148148148148
497,b478,a403,I Cant Stop Loving You,I Can't Stop Loving You,0.8148148148148148
498,b197165,a403,I Cant Stop Loving You,I Can't Stop Loving You,0.8148148148148148
499,b9766,a403,I Cant Stop Loving You,I Can't Stop Loving You,0.8148148148148148
500,b207863,a403,I Cant Stop Loving You,I Can't Stop Loving You,0.8148148148148148
501,b341966,a403,I Cant Stop Loving You,I Can't Stop Loving You,0.8148148148148148
502,b170112,a403,I Can\x19t Stop Loving You,I Can't Stop Loving You,0.7096774193548387
503,b293729,a403,I Cant Stop Loving You,I Can't Stop Loving You,0.8148148148148148
504,b249061,a403,I Cant Stop Loving You,I Can't Stop Loving You,0.8148148148148148
505,b192307,a403,I Cant Stop Loving You,I Can't Stop Loving You,0.8148148148148148
506,b230723,a403,I Cant Stop Loving You,I Can't Stop Loving You,0.8148148148148148
507,b256666,a403,I Cant Stop Loving You,I Can't Stop Loving You,0.8148148148148148
508,b227799,a404,Dont Make Me Wait Too Long,Don't Make Me Wait Too Long,0.8387096774193549
509,b171278,a404,Dont Make Me Wait Too Long,Don't Make Me Wait Too Long,0.8387096774193549
510,b115413,a405,Killing Me Softly With His Song,Killing Me Softly With His Song,1.0
511,b26348,a405,Killing Me Softly With His Song,Killing Me Softly With His Song,1.0
512,b11382,a405,Killing Me Softly With His Song,Killing Me Softly With His Song,1.0
513,b261275,a405,Killing Me Softly With His Song,Killing Me Softly With His Song,1.0
514,b2219,a425,Hero,Hero,1.0
515,b94464,a425,Hero,Hero,1.0
516,b211248,a425,Hero,Hero,1.0
517,b299336,a425,Hero,Hero,1.0
518,b53774,a425,Hero,Hero,1.0
519,b213614,a425,Hero,Hero,1.0
520,b115649,a425,Hero,Hero,1.0
521,b220366,a425,Hero,Hero,1.0
522,b187692,a425,Hero,Hero,1.0
523,b204092,a425,Hero,Hero,1.0
524,b337256,a425,Hero,Hero,1.0
525,b341467,a425,Hero,Hero,1.0
526,b59213,a425,Hero,Hero,1.0
527,b186294,a425,Hero,Hero,1.0
528,b313675,a425,Hero,Hero,1.0
529,b248835,a427,Everyday,Everyday,1.0
530,b18455,a427,Everyday,Everyday,1.0
531,b2396,a427,Everyday,Everyday,1.0
532,b256356,a427,Everyday,Everyday,1.0
533,b77676,a427,Everyday,Everyday,1.0
534,b217252,a427,Everyday,Everyday,1.0
535,b82131,a427,Everyday,Everyday,1.0
536,b9455,a427,Everyday,Everyday,1.0
537,b308474,a427,Everyday,Everyday,1.0
538,b60675,a427,Everyday,Everyday,1.0
539,b297300,a427,Everyday,Everyday,1.0
540,b129379,a427,Everyday,Everyday,1.0
541,b240363,a427,Everyday,Everyday,1.0
542,b3461,a427,Everyday,Everyday,1.0
543,b231863,a427,Everyday,Everyday,1.0
544,b79330,a427,Everyday,Everyday,1.0
545,b282208,a427,Everyday,Everyday,1.0
