,id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year,match
13389,13389,b658232,a17035,I Think We're Alone Now,Girls Aloud,2006,I Think We're Alone Now,Girls Aloud,2006,1
19374,19374,b231193,a23445,Red,The Locust,2003,Red,The 69 Eyes,2012,0
5642,5642,b245320,a7450,Heartbeat,Scouting for Girls,2007,Heat,Soft Cell,1983,0
23197,23197,b138662,a28158,Amazing G.,Drag The River,0,Amazing,David Banner-Chris Brown,2012,0
22105,22105,b637986,a26950,Get It Out,Marc Vedo,0,Get It,Mizz Nina-Theo Martins-DJ Fuzz,2011,0
17640,17640,b643443,a21214,Hold On,Ferrick_ Melissa,2000,Holding On,Ferry Corsten,2005,0
11510,11510,b99594,a14860,Winter Wonderland,The Strings Of Paris,0,Winter Wonderland,Tony Bennett-Lady Gaga,2014,0
18334,18334,b722711,a21940,The Man With The Child In His Eyes,Kate Bush,1978,The Man With the Child in His Eyes,Kate Bush,1978,1
9796,9796,b491391,a13563,No Regrets,Robbie Williams,1998,No Regrets,Robbie Williams,1998,1
3967,3967,b27080,a5060,Home,Stephanie Mills,0,Hotel Home,Spender-Gotye,2013,0
24048,24048,b82731,a29248,Just Good Friends,Fish,0,Just Good Friends,Fish-Sam Brown,1995,1
22907,22907,b137947,a27833,Party People,Nelly / Fergie,2008,Party People,Nelly-Fergie,2008,1
7829,7829,b7154,a10239,Irresistable,For Against,0,Irresistible,Fall Out Boy,2015,0
10080,10080,b362102,a13961,Round & Round,Shadiya,0,Round Round,Sugababes,2002,0
15379,15379,b617735,a19078,Fire,Aceyalone,2006,Fire,Aceyalone-RJD2,2005,1
17682,17682,b97674,a21248,Know What You Want,Boyz II Men,2000,What You Want,Boys Noize,2012,0
10354,10354,b796074,a14150,You've Changed,Larry Vuckovich,0,You’ve Changed,Lauren Flax-Sia,2009,0
11668,11668,b520876,a15018,I Belong To You (Il Ritmo Della Passione),Eros Ramazzotti & Anastacia,2006,I Belong to You (Il ritmo della passione),Eros Ramazzotti-Anastacia,2005,1
3884,3884,b551860,a4997,Possibly Maybe,Bj\xc3\xb6rk,1995,Possibly Maybe,Björk,1996,1
9642,9642,b518575,a13396,Everyday,Phil Collins,1993,Everyday,Phil Collins,1994,1
23370,23370,b533608,a28359,American Man,Velvet Revolver,2007,American Music,Violent Femmes,1991,0
8274,8274,b153871,a10729,Where Did Our Love Go  [Live],The J. Geils Band,2006,Where Did Our Love Go,The Supremes,1964,0
22381,22381,b19587,a27309,Music Machine,Philippe Rochard,2004,My Machine,Princess Superstar,2005,0
532,532,b211941,a712,California Rain,Silvertide,2004,California,Something for Kate,2007,0
20572,20572,b109247,a25418,Silent Night,Simon Wynberg,0,Silent Night,Sinéad O’Connor,1991,0
18582,18582,b205463,a22286,Fallen Angels,EDGUY,2001,Fallen Angel,Elbow,2003,0
7274,7274,b279193,a9304,Alive Again,Champion,0,Alive Again,Cher,2001,0
2066,2066,b464435,a3111,She Wants To Move,N.E.R.D.,2004,She Wants to Move,N*E*R*D,2003,1
9716,9716,b398300,a13518,Shake Me Up,Sorcery,0,Shake It Up,Selena Gomez,2011,0
12055,12055,b265730,a15491,Freestyle 49,Busta Flex,0,Freestyler,Bomfunk MC’s,2000,0
301,301,b252082,a427,Real Good Thing,Timebox,1998,The Good Thing,Talking Heads,1978,0
8270,8270,b740826,a10727,When The Lovelight Starts Shining Through His Eyes,The Supremes,1963,When the Lovelight Starts Shining Through His Eyes,The Supremes,1963,1
13078,13078,b490657,a16783,Trains And Winter Rains,Enya,2008,Trains and Winter Rains,Enya,2008,1
7468,7468,b364649,a9576,In Life,D.A. Jay,0,In This Life,Delta Goodrem,2007,0
12043,12043,b105724,a15477,Everything,Bitter Sweet,2008,Everything I Own,Boy George,1987,0
9835,9835,b738224,a13644,Love,Sloppy Meateaters,0,Lovedrive,Scorpions,1979,0
8482,8482,b569991,a11095,Halt mich,Herbstrock,0,Halt mich,Herbert Grönemeyer,1988,0
11794,11794,b352808,a15150,Everything,Anouk,0,Everything,Alanis Morissette,2004,0
12005,12005,b100171,a15443,Heat,DMX,1998,Heartbeat,Daniel Küblböck,2003,0
17257,17257,b792659,a20906,Waisted Love,Audience,0,Twisted Love,ATB,2011,0
21672,21672,b507770,a26522,Crazy,Aerosmith,1993,Crazy,Alanis Morissette,2005,0
8892,8892,b268047,a12058,Plaster Casts Of Everything,Liars,2007,Plaster Casts of Everything,Liars,2007,1
10243,10243,b823544,a14086,Home,Smash Mouth,1999,Home,Sheryl Crow,-,0
9142,9142,b320222,a12446,Your Life,Maria Lawson,2006,Your Life Is a Lie,MGMT,2013,0
6755,6755,b95455,a8564,Let's Go,Capitol Eye,0,Let’s Go,Calvin Harris-Ne‐Yo,2012,0
23989,23989,b312989,a29195,Window,The Mercury Project,0,Windows.,Titus G. Productions,2014,0
18625,18625,b54828,a22388,If You Say You Love Me,El Presidente,0,Don't Say You Love Me,Erasure,2005,0
9554,9554,b383844,a13235,Beautiful,Matt Darey Feat. Marcella Woods,2001,Beautiful,Moby,2005,0
7145,7145,b379008,a9096,I Miss You,Conya Doss,2008,Miss You,Clinic,2012,0
19555,19555,b683404,a23728,The Way of Love,Brave Combo,1993,The Price of Love,Bryan Ferry,1989,0
9269,9269,b90367,a12797,Getting Closer (Live),Nitzer Ebb,1991,Getting Closer,Nitzer Ebb,1990,1
4926,4926,b115229,a6548,Happiness,Noe Venable,2002,Happiness!,Nightmares on Wax,1992,0
3572,3572,b570163,a4642,Fool Again,Westlife,1999,Fool Again,Westlife,-,1
23338,23338,b807557,a28307,Let It Snow,The Royal Philharmonic Orchestra,0,Let It Snow! Let It Snow! Let It Snow!,Tyrone Wells,2006,0
6401,6401,b101862,a8137,Cornflake Girl,Tori Amos,1994,Cornflake Girl,Tori Amos,1994,1
16275,16275,b618402,a19980,Calling,Bettie Serveert,2010,Falling,Ben Westbeech,2011,0
8266,8266,b560656,a10709,Never Ending Story,Giorgio Moroder,2000,Never Ending Story,Giorgio Moroder,2000,1
21885,21885,b635526,a26713,Mint Car,The Cure,1996,Mint Car,The Cure,1996,1
17548,17548,b715246,a21138,Bullets,Creed,0,Bullet,Covenant,2002,0
19,19,b415646,a8,Believe,Chalee Tennison,2003,Believe Me,Chelsea Watts-Sam Watts,2014,0
3495,3495,b100717,a4546,Rehab,Amy Winehouse,2006,Rehab,Amy Winehouse,2006,1
10879,10879,b582153,a14496,Shine,Twisted Method,2003,Shine,Take That,2007,0
1543,1543,b605583,a2101,Little Darling,The Rubettes,1975,Little Darling,Thin Lizzy,1974,0
12485,12485,b617633,a15955,You & Me,Delays,2006,You & Me,Disclosure-Eliza Doolittle,2013,0
25083,25083,b157944,a31625,Breathe,Smartbomb,2001,Breathe,Schiller-September,2008,0
25826,25826,b227081,a33018,Downtown,Nancy LaMott,0,Downtown,Neil Young,1995,0
6981,6981,b66939,a8890,Blue light,DJ Myde,0,Blue Light,David Gilmour,1984,0
12890,12890,b553419,a16489,Escape,Electro Hippies,1987,Escape,Enrique Iglesias,2002,0
5935,5935,b244154,a7709,Breathe...,Trouble,1992,Breathe,Télépopmusik,2001,0
795,795,b760470,a1271,We Sure Can Love Each Other,Tammy Wynette,1998,We Are Each Other,The Beautiful South,1992,0
10663,10663,b704490,a14373,Love Light In Flight,Stevie Wonder,1984,Love Light In Flight,Stevie Wonder,1984,1
14914,14914,b162480,a18701,"Speedin""",Rick Ross / R. Kelly,0,Speeding,Rudimental,2011,0
12487,12487,b2956,a15958,Mercy_ Mercy,Don Covay,0,Mercy,Duffy,2007,0
23793,23793,b780107,a28953,Mr. Jelly Lord,Jelly Roll Morton's Incomparables,0,Mr. Jelly Lord,Jelly Roll Morton,1924,1
18823,18823,b593667,a22592,I Will Follow You Into The Dark,Death Cab for Cutie,2005,I Will Follow You Into the Dark,Death Cab for Cutie,2006,1
19397,19397,b815063,a23447,Tonight,The Rubettes,1974,Tonight,The 69 Eyes,2013,0
17518,17518,b99853,a21119,Love Is Gone,Doctor (Peter) Clayton,0,Love Is Gone,David Guetta-Chris Willis,2007,0
15851,15851,b275912,a19498,Haunted,Stream of Passion feat. Ayreon,2005,Haunted,Shane MacGowan-Sinéad O’Connor,1995,0
16267,16267,b518587,a19976,Keep Hope Alive,The Crystal Method,1995,Keep Hope Alive,The Crystal Method,1996,1
20793,20793,b82061,a25653,Tristessa,The Smashing Pumpkins,1990,Tristessa,The Smashing Pumpkins,1990,1
3045,3045,b475415,a3907,Only You,The Watson Twins,2008,Only You,Train,2010,0
25355,25355,b373847,a31880,You Don't Know Me,Carole Bayer Sager,1981,You Don't Know,Cyndi Lauper,1997,0
23978,23978,b769555,a29191,Smile,Joyce Sims,0,Smile,Jamiroquai,2011,0
7561,7561,b372565,a9740,Dose,Filter,1994,Dose,Filter,1995,1
16102,16102,b255068,a19751,Circle of Light,Tony Levin_ Paul Dunmall,0,Circle of Life,Taylor Davis,2014,0
5325,5325,b612216,a7241,Cry,System F,2000,Cry,System F,2000,1
25029,25029,b387243,a31547,My Funny Valentine,Paul Brown,2004,My Valentine,Paul McCartney,2012,0
9143,9143,b590505,a12447,Goodbye_ My Little Darling,Mike Seeger,0,Goodbye Darling,MGMT,2016,0
21023,21023,b113406,a25892,You And Me,The Sutherland Brothers,0,You and Me,The Cranberries,2000,0
7290,7290,b806234,a9313,Rain,Mindi Abair,2006,Rain,Madonna,1992,0
5690,5690,b63257,a7477,Positive Education,Slam,1993,Positive Education,Slam,1993,1
25356,25356,b47079,a31880,I Don't Know,Chelonis R. Jones,2005,You Don't Know,Cyndi Lauper,1997,0
2153,2153,b349952,a3183,Dreaming,Monsieur Dubois,0,Daydreaming,Massive Attack,1990,0
12009,12009,b608441,a15443,Heat,DJ Cata featuring Angie,0,Heartbeat,Daniel Küblböck,2003,0
20829,20829,b792605,a25694,Sunday,Serpentine,0,Sunday,Sonic Youth,1998,0
3347,3347,b783541,a4309,Temptation,Walter Trout,1997,Temptation,Wet Wet Wet,1988,0
5936,5936,b277290,a7709,Breathe,The Cinematic Orchestra,2007,Breathe,Télépopmusik,2001,0
1886,1886,b462651,a2756,Wrecking Ball,Mother Mother,2008,Wrecking Ball,Miley Cyrus,2013,0
14781,14781,b459802,a18506,California,Pat Green,2003,California,Phantom Planet,2002,0
6337,6337,b418218,a8093,Happy,The Bamboos,0,Happy,Towa Tei,1997,0
19987,19987,b394308,a24201,Nag_ Nag_ Nag,Cabaret Voltaire,0,Nag Nag Nag,Cabaret Voltaire,1979,1
11519,11519,b542981,a14860,Winter Wonderland,The Honorary Title,0,Winter Wonderland,Tony Bennett-Lady Gaga,2014,0
10778,10778,b686937,a14414,Angel,Saybia,2007,Angel,Sarah McLachlan,1999,0
22711,22711,b150652,a27641,Trouble,Bitter Sweet,2008,Trouble,Bei Maejor-J. Cole,2011,0
16902,16902,b393713,a20569,Last Call,Brazilian Girls,2006,Last Call,Brazilian Girls,2006,1
14583,14583,b604785,a18316,Other Side,D:Fuse,2004,The Other Side,David Gray,2002,0
11961,11961,b19931,a15402,Dream,Con Dolore,2001,Dream A Dream,Captain Jack,1999,0
8291,8291,b586483,a10781,Who We Are,Hope Partlow,2005,We Are,Hollywood Undead,2012,0
18532,18532,b436128,a22160,There's The Girl,Heart,0,There's the Girl,Heart,1987,1
9481,9481,b534688,a13162,More News From Nowhere (Radio Version),Nick Cave & The Bad Seeds,2008,More News From Nowhere,Nick Cave & The Bad Seeds,2008,1
25109,25109,b483610,a31634,The Way You Are,Bryn Christopher,2008,Just the Way You Are,Billy Joel,1977,0
3442,3442,b246425,a4465,Hey Whatever,Westlife,2003,Hey Whatever,Westlife,2003,1
7134,7134,b708934,a9087,I Am,Lustral,0,I Am,Leona Lewis,-,0
13542,13542,b403667,a17226,Change,Kelli Sae,0,Changes,Kelly Osbourne,2003,0
24931,24931,b506911,a31372,Sunrise,Norah Jones,2004,Sunrise,Norah Jones,2004,1
11120,11120,b230987,a14582,Light My Fire,Al Green,1971,Light My Fire,Amii Stewart,-,0
17995,17995,b611759,a21546,Underclass Hero,Sum 41,2007,Underclass Hero,Sum 41,2007,1
11345,11345,b670246,a14741,LoveStoned/I Think She Knows,Justin Timberlake,2007,LoveStoned/I Think She Knows (remixes),Justin Timberlake,2007,1
24959,24959,b261412,a31413,You're the one,Scums,0,You're the One,Shane MacGowan-Moya Brennan,1995,0
8945,8945,b187476,a12156,Georgia On My Mind,MARTIN TAYLOR,1992,Georgia On My Mind,Michael Bolton,1989,0
19139,19139,b352538,a23194,Aftermath,Ronny Jordan,2000,Aftermath,R.E.M.,2004,0
4211,4211,b672365,a5423,Man of the World,The London Rock Orchestra,1997,The End of the World,The Cure,2004,0
25041,25041,b80431,a31549,One,Keziah Jones,2008,Only One,Kanye West-Paul McCartney,2014,0
22558,22558,b642547,a27515,Do It Again,Sandra Nasic,2007,Say It Again,Scribe-Tyra Hammond,2008,0
115,115,b721573,a157,What You Want,The Roots feat. Jaguar,0,What You Want,The John Butler Trio,2004,0
9793,9793,b245383,a13559,Angels,Robin Thicke,2006,Angels,Robbie Williams,1997,0
14355,14355,b616183,a18033,Sometime,Norris Man,0,Sometimes,Nina Persson,2014,0
1884,1884,b740206,a2735,Headfirst For Halos,My Chemical Romance,2002,Headfirst for Halos,My Chemical Romance,2004,1
12341,12341,b416832,a15777,Higher,The Game,0,Higher,Taio Cruz-Kylie Minogue,2010,0
15729,15729,b339218,a19402,One Time We Lived,Moby,2009,One Time We Lived,Moby,2009,1
18683,18683,b141989,a22433,Deep Inside,Ion,0,Devil Inside,INXS,1988,0
3745,3745,b825305,a4832,On the Run (The Battle Is Over) [Version],Billy Ocean,0,On The Run (The Battle Is Over),Billy Ocean,1985,1
12352,12352,b323122,a15802,Evil Woman,Electric Light Orchestra,1975,Evil Woman,Electric Light Orchestra,1976,1
6771,6771,b760198,a8631,Runnin' Riot (Live),Cock Sparrer,1984,Runnin' Riot,Cock Sparrer,1977,1
12941,12941,b493855,a16567,Illumination,Fertile Ground,2002,Love Illumination,Franz Ferdinand,2013,0
16084,16084,b209358,a19733,Home,Scott McKeon,0,Home,Sheryl Crow,-,0
811,811,b143084,a1283,Don't Bring Me Down,The Animals,1966,Don't Bring Me Down / Cheating,The Animals,1966,1
12406,12406,b447668,a15851,The Prayer,Carl Doy,0,The Prayer,Christina Aguilera-Chris Mann,2012,1
18430,18430,b200434,a22024,Just One More Time,Derek Martin,0,Just One Last Time,David Guetta,2012,0
5710,5710,b265665,a7509,Catch,Sunscreem,1997,Catch,Sunscreem,1997,1
19804,19804,b192121,a24017,Take Me Back,Tinchy Stryder / Taio Cruz,0,Take Me Back,Tinchy Stryder-Taio Cruz,2008,1
16073,16073,b139542,a19733,Home,Solveig Slettahjell,0,Home,Sheryl Crow,-,0
13757,13757,b393840,a17402,Little Life,Josephine Foster,0,Little L,Jamiroquai,2001,0
20836,20836,b728705,a25704,Everybody's Somebody's Fool,The Bluebells,1984,Everybody's Fool,Teenage Fanclub,1990,0
3561,3561,b271717,a4638,Surrender,Way Out West,0,Sweet Surrender,Wet Wet Wet,-,0
8672,8672,b589818,a11672,I Wish It Was Christmas Today,Julian Casablancas,2009,I Wish It Was Christmas Today,Julian Casablancas,2009,1
15672,15672,b300191,a19324,I Thought About You,The Allies,0,I Thought About You,The Beautiful Girls,2007,0
24191,24191,b280300,a29480,Black Heart,Chimaira,2007,Black Heart,Calexico,2004,0
15688,15688,b366042,a19326,Blackbird Song,Maple Bee,0,Blackbird,Mat McHugh-The Beautiful Girls,2014,0
20018,20018,b723966,a24290,Shine,Diana Ross,1987,Shine,David Gray,1993,0
11037,11037,b814432,a14551,Telephone,Lady Gaga / Beyonc\xc3\xa9,2010,Telephone,Lady Gaga-Beyoncé,2010,1
13362,13362,b340317,a17009,I Want You,Janet Jackson,2004,I Want Your Love,Jody Watley,2008,0
5977,5977,b736121,a7753,Wasting Away,The Northern Pikes,1999,Walking Away,The Egg,2005,0
23060,23060,b641448,a28030,Mrs. Robinson,Simon & Garfunkel,1968,Mrs. Robinson,Simon & Garfunkel,1968,1
18136,18136,b762835,a21683,Closer,Nine Inch Nails,1994,Closer,Nine Inch Nails,1994,1
4048,4048,b711186,a5195,Tragic Hero,Funker Vogt,1998,Tragic Hero,Funker Vogt,1998,1
19866,19866,b517108,a24066,Hello Hello,Abrar - Ul - Haq,0,Hello,Adele,2015,0
1873,1873,b392859,a2670,William Tell Overture,Mike Oldfield,1977,William Tell Overture,Mike Oldfield,1977,1
20607,20607,b717704,a25480,Bones_ Bones_ Bones,The Golden Gate Quartet,0,Bones,The Killers,2006,0
16083,16083,b823544,a19733,Home,Smash Mouth,1999,Home,Sheryl Crow,-,0
16941,16941,b113613,a20604,Monster,Klone,0,Monster,Kanye West-Rick Ross-Bon Iver-Nicki Minaj,2010,0
13853,13853,b484841,a17526,Love Foolosophy,Jamiroquai,2001,Love Foolosophy,Jamiroquai,2001,1
7039,7039,b457286,a8985,Vertigo,U2,2004,Vertigo,U2,2004,1
21424,21424,b711601,a26259,Beautiful Lies,B-Complex,2009,Beautiful Liar,Beyoncé-Shakira,2007,0
5708,5708,b415950,a7509,Catch,Sunscreem,1997,Catch,Sunscreem,1997,1
825,825,b626075,a1297,Movin,Skylark,0,Moving,Supergrass,1999,0
14893,14893,b775383,a18653,Love Of The Common People,Paul Young,1983,Love of the Common People,Paul Young,1983,1
2710,2710,b183830,a3694,Interlude,MFSB,0,Interlude,Morrissey,1994,0
17489,17489,b485241,a21092,Know-How,Kings Of Convenience Featuring Feist,2004,Know-How,Kings of Convenience-Feist,2005,1
15527,15527,b805959,a19186,Black Bird,Triinu Kivilaan,2008,Black Bird,The Beautiful Girls,2003,0
22282,22282,b479651,a27207,My Life,Kutt Calhoun,2004,My Life,Kool G Rap,2001,0
25097,25097,b820558,a31626,You,Simon Dupree & The Big Sound,0,You,Schiller-Colbie Caillat,2008,0
3351,3351,b749484,a4311,Love Is All Around,Wet Wet Wet,1994,Love Is All Around,Wet Wet Wet,1994,1
4205,4205,b531595,a5423,The Story of the World,The Jet Set,0,The End of the World,The Cure,2004,0
17574,17574,b551533,a21149,After Hours,The Bluetones,2002,Afterhours,TroyBoi-Diplo-Nina Sky,2015,0
630,630,b177037,a853,Silent Night,SWV,1997,Silent Night,Sinéad O’Connor,1991,0
11245,11245,b79248,a14662,Love Me,Thirsty Moon,0,Love Love,Take That,2011,0
22660,22660,b655519,a27618,Dilemma,Nelly featuring Kelly Rowland,2005,Dilemma,Nelly,2002,1
21721,21721,b251515,a26537,Everything,Stereo Fuse,2002,Try Everything,Shakira,2016,0
14139,14139,b415426,a17863,Anytime You Need A Friend,Mariah Carey,1993,Anytime You Need a Friend,Mariah Carey,1993,1
16027,16027,b397961,a19642,Jealousy,Steven Seagal,2004,Jealous,Sinéad O’Connor,2000,0
7395,7395,b304253,a9467,Let It Go!,Deitra Farr,0,Let It Go,Def Leppard,1981,0
15855,15855,b401107,a19510,Wait For Me,Moby,2009,Wait for Me,Moby,2010,1
18650,18650,b107149,a22410,Somewhere Else,The Old Dead Tree,2003,Somewhere,Tom Waits,1978,0
9238,9238,b521964,a12720,Honey,Mariah Carey,1997,Honey,Moby,1998,0
8338,8338,b368988,a10833,My Baby Love,Temprees,1972,Baby Love,The Supremes,1964,0
15563,15563,b36359,a19229,Oh Carolina,Shaggy,1993,Oh Carol,Smokie,1978,0
12976,12976,b789926,a16599,I Died For Love,Ballboy,2004,I Did It For Love,BoA-Sean Garrett,2009,0
23505,23505,b79864,a28500,Rain On The Roof,The Lovin' Spoonful,1966,Rain on the Roof,The Lovin’ Spoonful,1966,1
10485,10485,b776836,a14229,Wir werden singen,2raumwohnung,2001,Wir werden sehen,2raumwohnung,2009,1
22956,22956,b395873,a27902,The Way You Move,OutKast Featuring Sleepy Brown,2004,The Way You Move,OutKast-Sleepy Brown,2004,1
6600,6600,b294488,a8321,Stay,The Cat's Miaow,1997,Stay,Thirty Seconds to Mars,2014,0
15364,15364,b656598,a19066,Every Kinda People,Robert Palmer,1978,Every Kinda People,Robert Palmer,1991,1
17863,17863,b529984,a21414,Freak,Stephen Pearcy,2002,Freak,Silverchair,1997,0
3800,3800,b430856,a4889,Silent Night,The Brady Bunch,0,Silent Night,The Flaming Lips,2008,0
6931,6931,b475811,a8830,Without You,Chieli Minucci,2003,Without Your Love,Chris Norman,2006,0
14711,14711,b641057,a18429,The Man I Love,Dinah Washington,1987,The One I Love,David Gray,-,0
10192,10192,b502403,a14032,Missing You,Anthony Cruz,0,Miss You,Aaliyah,2003,0
13585,13585,b544974,a17242,Do You Wanna Go Party,KC & The Sunshine Band,1979,Do You Wanna Go Party,KC and The Sunshine Band,1979,1
5200,5200,b700775,a7103,Avenue,Saint Etienne,1992,Avenue,Saint Etienne,1992,1
8921,8921,b247614,a12108,True Love,Alain Morisod,0,True Love 1980,Ash,2009,0
19050,19050,b113495,a23014,Blackout,Adr Lavey,0,Blackout,Apollo 440,1991,0
14394,14394,b764786,a18086,Shake 'Em Down,Miles Hunt,0,Shake It Down,Mud,1976,0
2783,2783,b627013,a3765,It'll Be Alright,The Elders,0,We'll Be Alright,Travie McCoy,2010,0
22761,22761,b79882,a27696,Gangsta,Sefyu,0,Gangsta,Slim Thug-Z-Ro,2010,0
8917,8917,b657533,a12096,I'm Your Man,Leonard Cohen,1988,I'm Your Man,Leonard Cohen,1988,1
3473,3473,b190496,a4532,Greatest Hit,Annie,0,The Greatest Hit,Annie,2000,1
18871,18871,b469625,a22686,Do or Die,Tommy Wright III,0,Do Or Die,Thirty Seconds to Mars,2013,0
24131,24131,b231549,a29391,Coming Down,Future Loop Foundation,1999,Not Coming Down,Ferry Corsten-Betsie Larkin,2012,0
5287,5287,b24981,a7189,White Lies,Paul Van Dyk Featuring Jessica Sutta,0,White Lies,Paul van Dyk,2007,1
419,419,b404298,a572,Monsters,Switchblade Symphony,1999,Monsters,Something for Kate,2001,0
13672,13672,b6339,a17350,Hold On,The Rascals,0,Holding On,Tourist-Josef Salvat-Niia,2015,0
10029,10029,b57188,a13921,You Came Into My Life,Singing Melody,0,When You Came Into My Life,Scorpions,1996,0
15962,15962,b633313,a19613,Fade Away,Squealer,2002,Not Fade Away,Sheryl Crow,2007,0
2953,2953,b629597,a3856,Dizzy,Tommy Roe,1969,Dizzy,Tommy Roe,1969,1
14325,14325,b747628,a18012,Doctor Pressure,Mylo featuring Miami Sound Machine,2006,Doctor Pressure,Mylo-Miami Sound Machine,2005,1
14399,14399,b313414,a18101,Decision,Bill Conti,1982,Decisions,Borgore-Miley Cyrus,2013,0
11114,11114,b346268,a14571,Fool For Love,Stefy,2006,For Your Love,Stevie Wonder,1995,0
2468,2468,b121720,a3459,360 Degrees,Push Button Objects,2003,36 Degrees,Placebo,1996,0
24907,24907,b243953,a31325,You Don't Know,Lamont Cranston Blues Band,0,I Don't Know,Lisa Hannigan,2009,0
17645,17645,b13678,a21217,Watch Out,Fleetwood Mac,1969,Watch Out,Ferry Corsten,2006,0
14018,14018,b386320,a17755,Runaway Boy,James Taylor,0,Runaway,Janet Jackson,1995,0
9058,9058,b442533,a12295,Wake Up Call,Maroon 5 / David Banner,2007,Wake Up Call,Maroon 5,2007,1
20565,20565,b264856,a25416,Three Babies,Sin\xc3\xa9ad O'Connor,1990,Three Babies,Sinéad O’Connor,1990,1
18281,18281,b774405,a21832,You Come Through,PJ Harvey,2004,You Come Through,PJ Harvey,2004,1
6391,6391,b617818,a8135,Winter Winter,Tellison,0,Winter,Tori Amos,1992,0
21362,21362,b685854,a26233,Wrapped Around Your Finger,The Police,1983,Wrapped Around Your Finger,The Police,1983,0
18921,18921,b520115,a22734,Jam Tomorrow,Adrian Legg,0,Tomorrow,Amanda Lear,1977,0
4625,4625,b3651,a6053,Wide Road,Lexy & K-Paul Feat. Dorian E,2007,Wide Road,Lexy & K-Paul-Dorian E.,2007,1
3131,3131,b819892,a3948,Whenever You're Around,The Spongetones,0,Whenever You're Ready,The Zombies,1965,0
23548,23548,b480377,a28551,Happy Xmas (War Is Over),The Polyphonic Spree,2004,Happy Xmas (War Is Over),The Harlem Community Choir,1971,0
16975,16975,b122833,a20644,It Must Be Love,Alan Jackson,1999,Must Be the Love,Arty-Nadia Ali-BT,2012,0
14232,14232,b102842,a17961,So Beautiful,Manafest,2008,#Beautiful,Mariah Carey-Miguel,2013,0
2761,2761,b537107,a3727,I Saw The Light,Terry Hall,1997,I Saw the Light,Todd Rundgren,1972,0
8884,8884,b368478,a12048,You Send Me,Lulu,0,You And Me,Lifehouse,2005,0
11222,11222,b575993,a14660,The Flow,TALAMASCA,0,The Flood,Take That,2010,0
