ID, Artist, Song, Genre, Tempo, Duration
81,Sara Evans,Restless,alternative,147.614,254.87628
82,Hoods,Heartless,hip-hop,60.308,175.3073
83,Dado Moroni,Alone,rock,44.788,208.24771
84,Mark Stewart,Red Zone,electronic,165.71,489.19465
85,Shayne Ward,All My Life,classical,124.007,264.98567
86,Will Smith Featuring Dru Hill & Kool Mo Dee,Wild Wild West,hip-hop,107.033,268.45995
87,Arque,Broken,rock,129.988,424.22812
88,Suicide Booth,Rendezvous,electronic,116.013,285.17832
89,Tord Gustavsen_ Harald Johnson_ Jarle Vespestad,Cocoon,pop,106.054,347.97669
90,FFH,Here I Am,pop,138.504,263.83628
91,Monoox,Dust,electronic,20.368,43.98975
92,Godflesh,Frail,electronic,115.02,323.10812
93,Soulwax,Kill Your Darlings,alternative,111.223,201.24689
94,Jes,Imagination,electronic,127.866,300.01587
95,Phantom Planet,Here I Am,pop,105.902,120.65914
96,System F,Cry,electronic,127.976,498.75546
97,Disco Superstars feat. Inusa Dawuda,Sweet Love,hip-hop,134.101,224.31302
98,Rev Hammer,Exile,folk,149.505,99.60444
99,Jennings,The Chase,rock,145.99,249.83465
100,Keri Hilson ,Knock You Down,pop,130.073,268.09424
101,Mary J. Blige,Seven Days,classical,123.838,309.89016
102,Tori Amos,China,jazz,101.021,321.72363
103,Melody Clu,Electric,pop,137.959,238.88934
104,Julian Marley,Stay With Me,pop,139.962,263.75791
105,Orital,Forever,hip-hop,87.982,478.45832
106,Little Walter,Temperature,pop,104.451,133.22404
107,RUN-DMC,Ragtime,hip-hop,160.571,162.40281
108,Boxcutter,Chlorophyll,electronic,220.005,250.72281
109,Ted Poley,Let Go,electronic,125.629,266.65751
110,Usher Featuring The Nu Beginning,Only Human,rock,118.099,338.75546
111,Will Young,Changes,rock,169.926,197.01506
112,Nemesis And Arrogance,Let Go,electronic,98.08,257.35791
113,Bjorn B,Bounce,electronic,127.884,227.16036
114,The Shirrows,Leave Me Be,pop,123.491,130.76853
115,CiM,Close,pop,202.258,85.86404
116,Brian Bromerg,Tears,electronic,110.007,359.73179
117,LMFAO,La La La,pop,127.8,210.62485
118,Opals,Love,folk,155.611,136.77669
119,Blink-182,Carousel,rock,201.643,190.77179
120,Walt,So Gone,hip-hop,76.979,227.36934
121,Benga,The Future,rock,87.468,277.55057
122,Bluvertigo,Zero,alternative,126.866,312.0322
123,Tears For Fears,The Devil,alternative,88.048,211.06893
124,Boys Noize,Transmission,electronic,127.988,295.23546
125,Bloody Dead And Sexy,Slow,electronic,136.171,245.21098
126,Mental Care Foundation,Alone,rock,162.692,273.99791
127,The Force,What You Waiting For,hip-hop,87.942,411.16689
128,Warren Hill,Come Together,electronic,90.681,225.2273
129,Keith Martin,Thank You,rock,114.971,292.57098
130,Ritchie Family,Live It Up,pop,118.491,344.71138
131,Alex de Grassi,Clockwork,electronic,146.926,369.8673
132,Susannah McCorkle,Scars,electronic,83.307,189.57016
133,Gadget,I Am,pop,137.787,82.78159
134,Mannheim Steamroller,The Christmas Song,rock,96.002,199.83628
135,Mariah Carey,Honey, This Mirror Isn't Big Enough for the Two of Us,95.929,301.19138
136,Jim Reeves,Jingle Bells,electronic,95.264,108.19873
137,Raiders of the lost ARP,Untitled,alternative,131.982,597.36771
138,Vico-C,I Like It,electronic,118.034,227.16036
139,In-Flight Safety,Letting Go,folk,156.048,256.54812
140,Jeff Kashiwa,Stay With Me,pop,164.024,315.402
141,John Digweed,Warung Beach,electronic,127.995,405.10649
142,Experimental Aircraft,Walk Away,rock,126.117,225.25342
143,Gary Morris,That Girl,pop,130.72,305.10975
144,Atjazz,Interlude,rock,89.014,82.15465
145,Johnny Mathis,Winter Wonderland,electronic,131.15,198.00771
146,Sera,Wait,folk,65.561,266.03057
147,Evanescence,Good Enough,pop,91.371,331.36281
148,Billy Joel,Captain Jack,pop,149.011,418.0371
149,Casual,Bailando,pop,92.783,203.02322
150,Truckfighters,Traffic,rock,148.363,270.44526
151,Tara MacLean,Evidence,rock,122.605,296.01914
152,Liquid Zen,Lotus,rock,116.071,248.39791
153,Morningwood,Addicted,indie,131.04,203.7024
154,Nadia Ali,Fantasy,folk,0.0,498.12853
155,Hank Williams,I Saw the Light,rock,90.7,179.59138
156,Rachael Sage,Linger,folk,159.553,289.41016
157,Vinylase,Life,pop,142.972,361.79546
158,Doro,Ceremony,alternative,111.869,236.042
159,Bj\xc3\x8rn Berge,Louise,electronic,126.421,224.67873
160,The Silos,Innocent,classical,146.383,198.00771
161,Verdena,Spaceman,alternative,120.156,277.52444
162,Blackfield,Miss You,electronic,160.001,279.7971
163,Arque,Broken,rock,173.274,376.29342
164,Mario Ochoa,I Like It,electronic,127.956,434.6771
165,Stream of Passion feat. Ayreon,Day Eleven: Love,folk,99.118,377.96526
166,Van Der Graaf Generator,Killer,electronic,141.307,497.68444
167,Paul Stanley,Move On,electronic,140.172,191.55546
168,Richard Clayderman,How Deep Is Your Love,electronic,104.038,227.26485
169,Assemlage 23,Ghosts,folk,130.026,331.28444
170,Art Of Noise,Pause,hip-hop,75.077,150.04689
171,Young Buck,My City,hip-hop,93.939,187.58485
172,Mariah Carey Featuring Da Brat & JD,Honey, This Mirror Isn't Big Enough for the Two of Us,95.138,314.122
173,Christina Aguilera,Beautiful,hip-hop,139.99,236.95628
174,Lifesavas,Fever,electronic,92.852,323.7873
175,Grinda & ZigZag,Alien,pop,89.974,406.12526
176,The Supremes,Come Together,electronic,178.032,249.05098
177,Secondhand Jive,Lemonade,electronic,191.771,307.22567
178,Interference,Gold,rock,115.349,239.90812
179,Bunji Garlin (feat. Hunter),Bring It,hip-hop,136.716,268.66893
180,Living Joy,Dreamer,rock,84.907,220.83873
181,A Band Called Pain,Walk Away,rock,92.518,233.92608
182,Andy Blueman,Everlasting,pop,137.971,521.32526
183,The Cranerries,Electric Blue,pop,80.098,291.29098
184,Luke Slater,I Like It,electronic,125.016,396.22485
185,David Banner ,The Christmas Song,rock,87.033,253.67465
186,Kroke,Hope,electronic,114.029,196.54485
187,Ashury Heights,Spiders,rock,120.018,324.64934
188,Chris Cornell,Ghosts,folk,121.838,231.47057
189,Peter Hunningale,Too Late,rock,165.898,226.87302
190,Michael Jackson,Bad, Bad Leroy Brown,114.116,247.03955
191,Dave Grusin ,Pistolero,electronic,183.907,107.31057
192,JV,Into the Blue,rock,128.497,470.64771
193,THE THREE DEGREES,Last Christmas,pop,105.012,266.94485
194,Jean Leclerc,Ice Cream,electronic,189.962,150.30812
195,Sandy Rivera & Haze,Freak,hip-hop,85.333,516.49261
196,Gyroscope,Get Down,electronic,149.67,143.82975
197,Solis,Afterglow,rock,135.975,458.97098
198,Nelly,Say Now,hip-hop,154.101,346.64444
199,Eamon,By My Side,rock,151.331,218.90567
200,Molella,Change,alternative,140.808,216.73751
201,Marion Meadows,Thank You,rock,151.917,250.74893
202,Varios ,Beat It,hip-hop,90.0,242.1024
203,Brandy,Camouflage,electronic,88.876,239.46404
204,Bad Cash Quartet,Valentine,electronic,95.807,175.62077
205,Melanie Doane,You Are What You Love,rock,98.16,239.59465
206,Mikey Dread,Your Love,hip-hop,162.009,246.02077
207,Stu Allan,Far Away,indie,140.022,475.32363
208,Gotye,Learnalilgivinanlovin,alternative,129.029,238.44526
209,Manian feat. aila,Heaven,electronic,140.02,200.51546
210,Sozonov,Silence,electronic,124.988,368.32608
211,Keith Mansfield,Good Times,rock,91.459,159.18975
212,Roie Dupree,Evil Eye,rock,119.02,309.89016
213,Stoneface & Terminal,Pictures,electronic,138.019,391.91465
214,Dann Huff,Light,electronic,120.366,160.73098
215,Lights of Euphoria,Sundown,pop,129.936,248.5024
216,Jim Reeves,True,classical,91.632,151.58812
217,Danny Wright,Believe,folk,149.682,191.7122
218,Enrique Iglesias,Can You Hear Me,jazz,119.969,234.81424
219,Buddy Holly,Take Your Time,electronic,136.276,211.722
220,Ozzy Osourne,No More Tears,rock,103.09,443.01016
221,The Frank And Walters,Summertime,pop,89.825,274.52036
222,Lullatone,Yesterday,folk,132.058,89.46893
223,The Samples,Everytime,pop,121.875,258.7424
224,Surferosa,Open Your Eyes,rock,125.326,191.08526
225,Bass Trip,Take Me,electronic,87.366,251.8722
226,Estirpe,Vertigo,electronic,207.003,262.08608
227,Seventh Key,Sin City,jazz,131.927,330.13506
228,Zuma,Juno,rock,161.919,735.60771
229,The Honeycoms,Eyes,electronic,94.116,206.602
230,Peter Hadar,Sweat,hip-hop,217.81,301.73995
231,The Main Ingredient,Spoiled,pop,180.27,232.80281
232,Little Anthony & The Imperials,Take Me Back,hip-hop,92.102,159.89506
233,Jah Wole and Deep Space,Singing,electronic,145.682,412.83873
234,Squeeze,I Want You,jazz,164.091,244.68853
235,Rich Mullins,Be With You,electronic,123.166,179.59138
236,Ruin Steiner,Take Your Time,electronic,134.993,331.54567
237,Jazzanova ,Little Bird,rock,179.305,365.16526
238,Tindersticks,Dream,hip-hop,36.139,87.24853
239,Band Of Susans,Blind,electronic,115.619,233.27302
240,Kris Kross,Jump,folk,101.956,193.54077
241,Rev Run,God,jazz,68.564,50.31138
242,Pendulum,Slam,rock,86.978,301.11302
243,Demians,Shine,alternative,160.098,197.17179
244,Tavares,Free Ride,rock,123.162,177.52771
245,Baroness,Wanderlust,rock,162.019,269.71383
246,Emiliana Torrini,Heartstopper,pop,111.678,200.4371
247,Dottie West,Country Girl,rock,87.192,187.53261
248,MANDRAGORA SCREAM,Bang Bang,hip-hop,145.982,222.69342
249,Baak Shayan,Seasons,hip-hop,126.028,463.93424
250,Bumleeez,Rio,rock,83.962,309.34159
251,Dr. Felix,Wake Up,alternative,118.367,238.8371
252,John Legend,Heaven,electronic,118.206,212.6624
253,Carlton Livingston,Slow Down,rock,90.59,201.97832
254,EKA,Tell Me,hip-hop,130.008,398.52363
255,Iamia,Infinity,pop,150.013,245.44608
256,The Puppini Sisters,Sway,pop,104.09,187.48036
257,Emilie Simon,Closer,indie,108.331,237.50485
258,Journey,Escape,pop,136.759,325.74649
259,LL Cool J ,Hello,jazz,184.15,232.14975
260,Scandy,Split,electronic,130.088,310.83057
261,Louis Lingg And The Boms,Conspiracy,indie,93.332,171.04934
262,Agonised By Love,Shelter,electronic,181.99,332.14649
263,The Choiroys,Silent Night,alternative,100.587,139.75465
264,Will Smith ,Tell Me Why,pop,157.948,269.42649
265,Moqsha,Judas,electronic,115.243,251.45424
266,Phil Stacey,Glorious,electronic,143.879,233.58649
267,Since Octoer,Emily,rock,71.059,58.8273
268,Bryan Adams,Flying,electronic,127.004,244.06159
269,Huffamoose,Down,alternative,162.043,233.89995
270,This Mortal Coil,Alone,rock,71.594,246.20363
271,Gregg Allman,Stand Back,rock,162.162,214.62159
272,Simple,Somewhere,folk,94.971,209.3971
273,Whitney Houston,I Learned From The Best,pop,89.333,632.52853
274,Donna Fargo,Superman,rock,202.358,149.62893
275,Phil Collins,One More Night,jazz,136.32,285.98812
276,Beat Dominator,The Rhythm,electronic,121.827,259.13424
277,Stereo MCs,Paradise,electronic,121.999,235.36281
278,Black Lael Society,Like A Bird,electronic,142.208,276.45342
279,Keith Varon,After All,electronic,97.05,279.92771
280,Hinder,Far From Home,folk,140.01,243.09506
281,Djuma Soundsystem,Les Djinns,electronic,130.007,362.47465
282,Eddie Turner,Resurrection,alternative,89.984,146.1024
283,Suga Free,Gone, Gone,91.544,270.75873
284,Lisa Germano,The Day,rock,95.763,118.30812
285,Brian McKnight,Christmas Time Is Here,jazz,61.486,207.28118
286,Leslie West,Dream Lover,rock,89.867,123.402
287,Peter Gariel,The Drop,hip-hop,141.135,181.15873
288,Natural,Blue,blues,133.002,207.15057
289,Toni Braxton,Best Friend,hip-hop,123.755,267.2322
290,Michael Stanley Band,Lover, Please Stay (live),100.031,388.75383
291,Lisa Brokop,Say,jazz,178.402,241.21424
292,Shocking Pinks,Lucy,rock,150.677,176.43057
293,Paul Burch & The WPA Ballclu,Forever Yours,rock,224.32,186.3571
294,Wine,Flowers,pop,120.297,176.1171
295,Craig Chaquico,White Christmas,pop,88.499,145.97179
296,Pharoahe Monch,Free,alternative,85.541,214.46485
297,High Fashion,Hold On,folk,122.571,323.63057
298,Stephan Bodzin,Vendetta,electronic,126.971,396.90404
299,Dirty Sanchez,Drive,rock,122.954,222.27546
300,Median,Love Again,indie,110.935,184.00608
301,Tears For Fears,Shout,hip-hop,97.467,242.83383
302,The Grassy Knoll,Low,rock,158.03,245.86404
303,Ray_ Goodman & Brown,Stay,classical,85.49,216.13669
304,Squealer,Godlike,electronic,160.049,207.0722
305,Reha,Bump, Bump,179.051,196.49261
306,Fluf,Just Like You,hip-hop,129.595,191.65995
307,yoomiii,Superstar,hip-hop,137.003,209.68444
308,Girls Aloud,Wake Me Up,classical,125.048,207.09832
309,Duffy,Stepping Stone,pop,97.968,209.34485
310,Boys Noize,Nott,electronic,192.187,316.13342
311,Powderfinger,Sunsets,rock,167.524,229.3024
312,Yvonne Catterfeld,Zeit, dass sich was dreht,84.796,199.65342
313,Wash,The Future,rock,147.962,488.28036
314,Mae,Home,folk,125.99,217.02485
315,Wax,Hush,jazz,142.639,197.92934
316,Windsor For The Dery,The Cutter,alternative,120.442,154.48771
317,Grinderswitch,Higher Ground,alternative,97.92,223.32036
318,Spectacular,Underground,indie,86.501,249.44281
319,Barrett Strong,Misery,rock,116.156,148.00934
320,The Cadets,You Belong To Me,indie,79.584,159.52934
321,Rasmus Faer Feat. Linda Sundlad,Always,alternative,127.005,442.93179
322,Rick Astley,The Bottom Line,electronic,174.059,317.83138
323,Mariah Carey,Outside,rock,109.253,286.30159
324,ATB,Marrakech,electronic,132.998,262.21669
325,Saigon Kick,The Way,electronic,58.387,368.1171
326,F.R. David,Dream Away,pop,119.864,223.08526
327,Mariah Carey,Touch My Body,pop,129.991,273.52771
328,Broken Social Scene,Forced To Love,indie,148.044,214.90893
329,Al Campell,Last Dance,electronic,160.441,406.17751
330,Diams,Interlude,rock,61.769,50.05016
331,Fall Out Boy,Thriller,rock,178.518,203.54567
332,Tuesdays,Secret,alternative,93.486,147.19955
333,Joe Walsh,Here We Go,pop,87.571,298.10893
334,Claudia Acuna,Suddenly,pop,94.398,218.64444
335,Bill Parsons,All American Boy,rock,99.112,179.1473
336,Bonnie Tyler,Need Your Love So Bad,rock,73.224,315.8722
337,The Pretty Things,The Journey,folk,113.331,166.16444
338,Huffamoose,Sunshine,hip-hop,97.204,223.13751
339,The Small Knives,The Line,pop,167.935,208.16934
340,Sightings,Hush,jazz,196.154,263.75791
341,Swamp Dogg,Shut Your Mouth,electronic,104.781,340.34893
342,Lighthouse Family,Run,rock,153.474,241.24036
343,Cecil Taylor,After All,electronic,129.361,599.06567
344,Sha Na Na,Guilty,alternative,166.657,205.63546
345,The Transit War,Loud,pop,122.847,221.09995
346,Chris Spedding,The Crying Game,rock,93.325,160.60036
347,Keith Caputo,In This Life,electronic,70.02,250.87955
348,Ayo,Girls,rock,208.832,463.59465
349,Spencer Brewer,Always There,pop,91.044,247.06567
350,M.I.A.,Never Again,folk,129.596,163.29098
351,Dynas,Figure It Out,folk,105.179,259.63057
352,Roin Thicke,Magic,rock,108.014,233.19465
353,Endo,Burn,hip-hop,152.49,248.92036
354,Rodolphe Burger,Sing,pop,121.731,228.25751
355,For Squirrels,Superstar,hip-hop,162.909,200.07138
356,Steve Tyrell,Georgia On My Mind,rock,104.47,213.86404
357,Collin Raye,If I Were You,folk,116.745,244.79302
358,International Oserver,Dirty Harry,hip-hop,160.213,217.91302
359,Bill Withers,Use Me,pop,99.26,516.62322
360,Jessy Greene,Junkie,pop,144.085,206.602
361,Astral Projection,Chaos,rock,144.978,520.85506
362,Brazilian Tropical Orchestra,If You Leave Me Now,jazz,99.397,174.70649
363,Joe Bonamassa,So Many Roads,hip-hop,66.366,372.76689
364,Vexd,Oceans,rock,117.007,295.49669
365,Ceremonial Snips,Mistake,classical,202.087,91.14077
366,Miley Cyrus,Right Here, Right Now,141.132,163.3171
367,Joey Beltram,Pump It,pop,133.175,150.56934
368,Crash,Play It Back,indie,101.638,777.89995
369,Farm Fresh,Motivation,rock,170.673,235.91138
370,Fatturger,Work To Do,rock,100.016,256.83546
371,Sean Watkins,Carousel,rock,84.884,315.84608
372,Masters At Work,Work,pop,127.909,450.76853
373,Tony Tuff,Say Something,rock,149.844,229.58975
374,Eric Andersen,Louise,electronic,109.833,231.73179
375,The Von Bondies,Shut Your Mouth,electronic,146.023,142.54975
376,Spencer & Hill,Get It On,blues,85.321,218.8273
377,Oph\xc3\xa9lie Winter,Soon,electronic,154.055,258.42893
378,3rd Force,Sweet Surrender,pop,87.513,286.74567
379,Lil Suzy,Memories,electronic,128.006,213.68118
380,P.J. Proy,Hold Me,blues,132.096,160.02567
381,Dave Weckl Band,Wake Up,alternative,115.982,409.93914
382,Sonic Youth,Kool Thing,alternative,154.839,246.46485
383,Vietnom,Misery,rock,152.418,174.96771
384,Joana Zimmer,Lucky Star,electronic,111.917,230.42567
385,Sia,Where I Belong,pop,176.989,355.52608
386,DNA,Why,rock,88.998,224.05179
387,TPau,I Will Be With You,pop,89.636,244.50567
388,Amerie,All I Need,pop,96.107,189.59628
389,GROVER WASHINGTON_ JR.,The Christmas Song,rock,118.859,272.90077
390,Natasha Bedingfield,Love Like This,pop,162.329,341.41995
391,Chamillionaire,Interlude,rock,149.714,41.66485
392,Joe Higgs,Come on Home,blues,149.423,182.72608
393,Toni Braxton,Tell Me,hip-hop,84.797,249.18159
394,Heavy Blues Chevy,The Walk,alternative,197.039,473.86077
395,Julissa,Gloria,jazz,100.005,262.73914
396,Archer Prewitt,Work,pop,94.92,191.99955
397,The String Cheese Incident,Rain,electronic,84.465,639.65995
398,Dr. Hector & The Groove Injectors,The High Cost of Living,electronic,128.423,258.0371
399,Sheryl Crow,Leaving Las Vegas,folk,162.291,394.65751
400,Kelly Clarkson,Breakaway,hip-hop,160.085,236.77342
401,Afrilounge & Der Thal,Dice,electronic,124.992,460.90404
402,3 of Hearts,Is It Love,alternative,101.684,224.07791
403,SINNER,Destiny,rock,145.087,400.74404
404,Ja Rule ,Put It On Me,pop,93.175,261.25016
405,The Odds,Saturday Night,pop,150.348,162.53342
406,Iggy And The Stooges,Raw Power,rock,165.81,347.53261
407,Supreme Majesty,Save Me,alternative,98.613,250.61832
408,Westlife,Amazing,hip-hop,96.968,168.80281
409,Keith John Adams,Memory,folk,173.164,168.82893
410,Soul Avengerz Ft. Zena Chavez,Move,indie,84.635,494.57587
411,Boy Watson_ Open Form Trio,Sweet Dreams,folk,40.132,465.89342
412,SEAN TYAS,Tingle,indie,140.013,489.84771
413,Lisa Stansfield,Real Love,electronic,171.847,301.29587
414,Orange Golin,Shine,alternative,126.752,418.97751
415,Erasure,Rescue Me,hip-hop,114.076,370.18077
416,Ignition,Ignition,hip-hop,92.994,276.63628
417,Everclear,Slide,pop,108.908,228.17914
418,Ikon,Feel It,electronic,123.969,274.6771
419,Kirile Loo,Alone,rock,163.963,400.61342
420,Irish Tenors,My Love,classical,69.487,269.47873
421,Silverchair,Roses,hip-hop,153.785,209.00526
422,Heavy Pettin,Angel,electronic,132.705,247.58812
423,Gianfranco Gatto,Insomnia,pop,129.999,438.02077
424,OneRepulic,Apologize,rock,118.035,186.04363
425,Deadmau5,Alone With You,rock,127.952,179.82649
426,Eric Carmen,Run Away,electronic,124.696,481.90649
427,Okkervil River,A Forest,alternative,97.231,84.16608
428,Thomas Cunningham,Sayonara,folk,136.575,190.01424
429,Hercules And Love Affair,Shadows,electronic,236.057,255.37261
430,Wilert Harrison,Kansas City,electronic,116.94,149.10649
431,Susanna And The Magical Orchestra,Someday,indie,64.8,286.71955
432,Morthem Vlade Art,Ceremony,alternative,96.094,142.8371
433,The Big Pink,Sweet Dreams,folk,100.07,285.88363
434,Nicolay,Departure,alternative,168.029,141.29587
435,Ronan Hardiman,Never,electronic,95.006,287.21587
436,Balkan Beat Box,Why,rock,123.074,186.87955
437,Newham Generals,Pepper,electronic,140.205,256.93995
438,Seether,Tongue,rock,96.07,245.34159
439,Heavy D,Private Dancer,rock,153.058,212.24444
440,At Vance,Heaven,electronic,100.005,282.8273
441,Darwin Hos,Free,alternative,140.085,311.95383
442,Sophie B. Hawkins,I Want You,jazz,98.406,316.76036
443,Shooter Jennings,The Letter,alternative,135.904,212.27057
444,Stacy Sullivan,Silent Night,alternative,75.011,255.68608
445,Laura Branigan,Imagination,electronic,94.561,215.74485
446,Regina Belle,You Are Everything,jazz,135.985,225.33179
447,P!nk,Stupid Girls,pop,100.011,196.17914
448,Chris SU,Back & Forth,pop,86.989,359.57506
449,Left Side Brain,Gifted,hip-hop,157.947,247.32689
450,Ruff Ryders ,Holiday,hip-hop,109.522,232.33261
451,Donavon Frankenreiter,Butterfly,rock,127.871,180.47955
452,Deejay Goldfinger,Runaway,folk,139.993,226.01098
453,The Bears,Figure It Out,folk,126.7,221.20444
454,Paul Lomax & Ministers Of Music,Islands,classical,125.046,568.97261
455,CREMATORY,Infinity,pop,216.013,292.10077
456,K-Ci & JoJo,Love Ballad,pop,156.027,234.10893
457,Sunset Project,The Summer,electronic,140.009,321.88036
458,Mucky Pup,Summertime,pop,178.014,200.72444
459,Justin Sane & Taz Feat. Sally B,Insanity,electronic,145.011,477.1522
460,Piano Triute Players,Surrender,electronic,59.999,209.26649
461,Less Than Jake,Automatic,electronic,133.05,125.28281
462,GoodBooks,Walk With Me,country,120.964,232.69832
463,The Jason Bonham Band,Hold On,folk,142.26,260.51873
464,The Pure,Your Love,hip-hop,142.008,210.96444
465,VHS Or Beta,Forever,hip-hop,123.847,343.562
466,Charlotte Martin,Monster,alternative,145.985,228.98893
467,Kol Simcha,Why,rock,156.27,548.38812
468,The Jimi Hendrix Experience,The Wind Cries Mary,rock,157.231,200.72444
469,Aove & Beyond,Home,folk,137.932,503.66649
470,Joni James,I Believe,jazz,45.819,176.06485
471,Feeding Like Butterflies,Sunday,alternative,107.023,26.53995
472,Tom Ovans,Night Train,hip-hop,109.969,231.13098
473,Silje Nes,Escape,pop,173.811,187.89832
474,Echoelly,O, Evelyn...,103.382,251.03628
475,Charlie Dore,Alone,rock,108.496,190.37995
476,Jimmies Chicken Shack,High,alternative,128.299,232.85506
477,Journey,Lights, Please,113.118,193.56689
478,Stan Freerg,Try,folk,70.948,192.70485
479,Nelly ,Boy, Boy,110.509,239.98649
480,Cosmic Psychos,Sunrise,folk,152.387,221.64853
481,Ke$ha,Your Love Is My Drug,pop,119.971,187.14077
482,Juan Carmona; Ricardo Larroze,Marrakech,electronic,115.231,234.05669
483,Anastacia,Left Outside Alone,pop,102.769,257.43628
484,Warren Hill,Promises,alternative,132.247,329.58649
485,Al Bano & Romina Power,Fragile,classical,151.614,258.06322
486,Camel,Ice,pop,103.601,618.60526
487,The Black Noodle Project,Hope,electronic,143.862,296.93342
488,Floating Points,Truly,electronic,109.995,473.75628
489,Earl Scruggs,Jingle Bells,electronic,205.683,164.5971
490,David Rose & His Orchestra,One Love,rock,84.688,179.98322
491,YZ,One Thing,pop,89.995,267.59791
492,The Cr\xc3\xcxshadows,Purgatory,rock,120.308,111.75138
