ID, Artist, Song, Genre, Tempo, Duration
75,Emargo,Scream,hip-hop,135.869,435.93098
76,Oph\xc3\xa9lie Winter,Everlasting Love,rock,85.02,250.69669
77,Courn feat. Princess Superstar & Solid State,Sick, Sick,85.317,189.88363
78,Tupac,New York, New York,78.529,284.1073
79,Jaga Jazzist,Another Day,electronic,121.703,210.88608
80,Culture Kult\xc3\xcr,The Only One,alternative,132.985,413.54404
81,The Shirelles,Will You Love Me Tomorrow,rock,68.283,159.76444
82,The Jacksons,Rock With You,rock,121.211,237.76608
83,Tarkan,Bounce,electronic,99.982,224.23465
84,Ayla,Ayla,electronic,144.043,445.12608
85,DJ Peril,Sunday,alternative,159.949,299.54567
86,Akon ,Watch Out,electronic,121.976,224.67873
87,Sticky Fingaz,Oh My God,hip-hop,80.149,266.4224
88,Dame Joan Sutherland ,Joy To The World,pop,82.422,111.0722
89,P Money ft. Little Dee & Craig,Crazy,alternative,81.624,223.84281
90,A&M,Say What You Want,rock,127.991,324.44036
91,Cock Roin,Superhuman,hip-hop,85.006,290.79465
92,Cosmic Rough Riders,The Game,alternative,149.991,198.922
93,Dave Grusin,The Champ,hip-hop,198.34,208.19546
94,Vince Guaraldi Trio,The Christmas Song,rock,58.745,197.95546
95,The Red Clay Ramlers,Tarzan,jazz,99.506,184.42404
96,Candie Payne,One More Chance,rock,137.916,165.66812
97,Art Pepper,Imagination,electronic,85.037,356.46649
98,Nine Inch Nails,Capital G,rock,108.975,229.72036
99,Lakeside,Say Yes,pop,125.377,294.13832
100,Oasis,Morning Glory,rock,136.948,301.92281
101,Two Witches,Open Your Eyes,rock,120.072,212.45342
102,All Time Low,Shameless,folk,91.483,221.67465
103,Florian Meindl,Tears,electronic,126.983,433.44934
104,Violent Femmes,American Music,folk,140.998,239.93424
105,Deie Davies,Little Sister,rock,116.984,225.67138
106,Wire,Strange,country,103.101,237.21751
107,Duke Ellington,Caravan,indie,153.71,164.72771
108,Chris Rea,The Blue Cafe,rock,139.926,287.242
109,Kim Waters,Possession,pop,73.573,293.98159
110,Monk & Neagle,All I Need,pop,162.003,209.6322
111,Trim,Silent Night,alternative,92.017,205.03465
112,Amy Winehouse,Stronger Than Me,pop,91.198,256.10404
113,Annihilator,The Other Side,alternative,94.994,259.89179
114,Born To Lose,Salvation,alternative,151.423,212.92363
115,Saa,Melissa,blues,100.994,244.29669
116,Olivia Newton-John,When You Believe,pop,136.0,239.98649
117,Mooneam,Look Around,alternative,85.322,501.18485
118,The Mayflies USA,You And Me,rock,114.102,276.13995
119,Mustasch,Lonely,pop,152.005,200.41098
120,Gloria Gaynor,I Want To Know What Love Is,rock,178.012,241.97179
121,Kierra Sheard,Change,alternative,170.121,208.19546
122,B.A.D.,Interlude,rock,95.655,102.03383
123,Europe,Hero,jazz,78.669,266.65751
124,Circular,Mother,folk,75.127,59.89832
125,Gossip,Yr Mangled Heart,pop,118.36,251.01016
126,Bayface,Seven Seas,alternative,125.006,242.9122
127,The Wednesday Night Heroes,Self Destruct,electronic,147.251,97.2273
128,Paul Weller,Hung Up,indie,152.594,176.56118
129,Plain Jane Automoile,Blue Jeans,electronic,96.959,158.30159
130,Cosmic Psychos,Bad Day,rock,109.947,385.72363
131,Dancing Fantasy,Seasons,hip-hop,160.903,213.10649
132,Vickie Winans,Superman,rock,97.99,265.76934
133,Buddy Holly & The Crickets,Everyday,jazz,138.352,130.08934
134,Soul System,Heaven,electronic,89.239,257.51465
135,Danni Carlos,Losing My Religion,rock,126.053,261.35465
136,Crosy_ Stills & Nash,Long Time Gone,rock,106.212,257.01832
137,Sean Truy,Darkness,rock,93.329,431.98649
138,David Hudson,Arrival,classical,158.321,320.91383
139,Neil Norman,Twilight Zone,rock,110.398,124.44689
140,Findlay Brown,Come Home,rock,170.322,184.71138
141,Wilert Harrison,Kansas City,electronic,87.885,160.39138
142,Mint Royale,Show Me,hip-hop,107.982,244.11383
143,OutKast,Hey Ya!,hip-hop,105.964,238.49751
144,Chew Lips,Two Hands, One Mouth,108.02,153.70404
145,Ninos Con Bomas,Supernatural,electronic,162.118,262.21669
146,Yazz,The Only Way Is Up,electronic,124.617,267.2322
147,MSTRKRFT ,Breakaway,hip-hop,133.03,217.70404
148,Silent Knight,Shine,alternative,127.26,246.20363
149,Crash,Discipline,rock,195.069,176.69179
150,Whole Wheat Bread,Untitled,alternative,152.94,192.26077
151,Ayo,I Love You,electronic,128.022,229.25016
152,Leonard Cohen,Democracy,alternative,197.524,433.08363
153,Danny & The Juniors,At the Hop,folk,191.848,149.9424
154,Johnny Gill,I Got You,pop,94.532,258.7424
155,Bride,Crazy,alternative,150.52,224.15628
156,Lewis Taylor,Yeah, Yeah,163.929,284.73424
157,UKW,Allein,hip-hop,97.362,266.762
158,James LaBrie,Undecided,electronic,99.997,331.41506
159,The Kingees,Fast Girls,pop,201.974,119.66649
160,DJ Slugo,Whip It,electronic,150.056,199.20934
161,Hassaan Mackey,Feel It,electronic,120.617,266.00444
162,Hysterie,Imagination,electronic,130.032,389.642
163,Syna,Forever,hip-hop,135.019,483.70893
164,Michelle Weeks,The Light,alternative,124.21,43.83302
165,My Bloody Valentine,Sometimes,electronic,128.507,319.52934
166,Franz Ferdinand,Eleanor Put Your Boots On,rock,143.679,195.13424
167,Venke Knutson,Hold On,folk,115.031,229.0673
168,Dope,Stop,hip-hop,118.003,170.16118
169,Tanto Metro & Devonte,Sometimes,electronic,105.671,207.56853
170,Kelly Clarkson,My Life Would Suck Without You,rock,135.914,230.63465
171,Dave Eggar,Wave,folk,100.893,225.04444
172,Clyde McPhatter,Money Honey,pop,123.005,181.75955
173,The Nelons,Hallelujah,hip-hop,108.914,200.202
174,Rosey,Love,folk,108.771,232.51546
175,Joi Cardwell,Misunderstood,rock,163.947,262.26893
176,Ruin Steiner,Take Your Time,electronic,135.042,218.30485
177,Chris Murray,Warriors,jazz,147.704,142.13179
178,Silence 4,Alright,jazz,100.278,264.01914
179,Freestyle,Paper Doll,jazz,141.929,159.76444
180,Soledad Brothers,Stand Up,alternative,122.028,239.62077
181,Divoky Srdce,Untitled,alternative,104.692,144.74404
182,The Rippingtons,I Still Believe,pop,152.45,276.89751
183,Carcass,Cross My Heart,hip-hop,141.553,213.73342
184,Pretty Purdie,Caravan,indie,116.329,156.96934
185,Sied Van Riel,Rush,electronic,233.026,544.41751
186,Heidi Montag,Body Language,hip-hop,118.736,215.37914
187,Jugheads Revenge,Burn,hip-hop,189.896,125.09995
188,Dave Hollister,Tell Me Why,pop,118.052,305.34485
189,Sophie Milman,The Man I Love,folk,149.461,333.16526
190,Angelo Badalamenti,Love Me,pop,67.405,168.51546
191,Juniper,Run Away,electronic,180.073,183.97995
192,So Called Friend feat. Spoek,Fever,electronic,125.002,241.3971
193,George Baker Selection,My Love,classical,95.824,222.45832
194,Lady GaGa,Bad Romance,electronic,119.019,262.68689
195,Andy Pratt,Masterpiece,pop,64.927,218.09587
196,Tre-8,Everyday,jazz,164.003,245.02812
197,MN,The Truth,hip-hop,136.95,378.06975
198,Myron Butler & Levi,Set Me Free,hip-hop,167.523,292.10077
199,Howling Bells,Setting Sun,rock,114.985,230.05995
200,silent force,Tell Me Why,pop,224.854,284.62975
201,Doves,Jetstream,alternative,128.02,253.46567
202,Le Vita feat. Fa,Apologize,rock,210.083,228.38812
203,Groove Coverage,Moonlight Shadow,classical,140.037,396.77342
204,The Rasperries,Last Dance,electronic,129.528,218.22649
205,Christina Aguilera,Walk Away,rock,152.214,347.84608
206,Chris Botti,The Look,rock,134.95,261.53751
207,Cheryl Cole,Stand Up,alternative,124.045,203.7024
208,Simon McBride,Change,alternative,112.989,201.37751
209,Ang\xc3\xa9lla Christie,Walk With Me,country,111.465,348.36853
210,ABC,Blame,hip-hop,135.778,302.21016
211,Teitur,Hitchhiker,country,184.192,225.59302
212,Papa Wema,Maria,electronic,120.411,278.59546
213,Sound And Fury,Freedom,hip-hop,132.643,217.0771
214,West Indian Girl,Hollywood,alternative,137.235,296.17587
215,Jimmy Bowskill,Loser,folk,116.85,497.6322
216,Ensemle,Finale,electronic,95.734,55.17016
217,Lady GaGa,LoveGame,electronic,104.971,216.00608
218,The Almighty Trigger Happy,Sirens,hip-hop,207.809,196.23138
219,Deorah Allen,I Will Always Love You,pop,67.904,189.57016
220,Stephanie Mills,Free,alternative,126.991,492.66893
221,Yeah Yeah Yeahs,Zero,alternative,124.098,360.6722
222,Seven Places,Stay With Me,pop,85.044,260.30975
223,Snow Patrol,Chocolate,electronic,117.966,181.57669
224,Kids In The Way,Moving Mountains,rock,156.877,186.33098
225,Assemlage 23,Sorry,electronic,135.008,332.30322
226,Millie Jackson,Hard Times,electronic,121.599,263.41832
227,Gorgeous X feat. Julia Falke,Wonderful Life,electronic,144.994,313.57342
228,The Unlovales,Disaster,pop,180.844,214.80444
229,Tift Merritt,Last to Know,pop,91.595,261.32853
230,Souls Of Mischief,Spark,jazz,96.287,220.96934
231,Michel Camilo,Caravan,indie,166.924,339.06893
232,Lee Andrews_ The Hearts,Boom, Like That,127.352,147.22567
233,Agnetha F\xc3\xa4ltskog,The Queen Of Hearts,folk,83.729,201.19465
234,Tosch,Strange,country,135.308,429.47873
235,Alerto Iglesias,Procession,alternative,172.083,100.44036
236,W & D,One More Chance,rock,89.444,516.20526
237,Tenth Avenue North,Hallelujah,hip-hop,146.114,317.17832
238,Alice In Chains,Brother,electronic,92.012,267.36281
239,Angra Mainyu featuring Di,Dark Horse,folk,125.988,535.40526
240,Johnnie Taylor,Lately,jazz,63.962,270.10567
241,Sipping Soma,Curiosity,pop,107.0,218.38322
242,Sommerset,Coming Home,classical,116.741,159.92118
243,Roin Thicke,911,hip-hop,140.149,22.43873
244,Third Eye Blind,Anything,pop,165.777,120.08444
245,The Rurals,Blame,hip-hop,120.002,436.34893
246,Maetrik,Heat,electronic,126.018,439.69261
247,Darren Tate,Tokyo,indie,137.923,555.78077
248,The Creation,Hey Joe,rock,85.453,250.27873
249,Dracma,Sunday,alternative,140.063,235.72853
250,Sunset Project,The Summer,electronic,140.012,207.41179
251,Josh Martinez,Another Day,electronic,216.121,248.2673
252,The Legends,Touch,jazz,157.918,159.79057
253,Jerry Gaskill,Crazy,alternative,131.88,196.91057
254,Jane Russell,Do It Again,hip-hop,124.42,195.16036
255,Novaspace,Guardian Angel,electronic,185.97,231.54893
256,Six y Seven,Radio Silence,rock,35.09,340.89751
257,Channels 3x4,Jesus,pop,101.111,70.37342
258,LeonardoS Bride,Stay,classical,95.648,201.76934
259,CJ Stone,Shining Star,rock,130.011,501.96853
260,Steve Tyrell,Manhattan,electronic,101.504,202.31791
261,Girlschool,20th Century Boy,rock,136.563,208.03873
262,Symphorce,Slow Down,rock,118.017,247.64036
263,Preluders,Last Christmas,pop,108.466,262.86975
264,The Alarm Clocks,Yeah, Yeah,124.929,165.22404
265,Far Too Jones,Use Me,pop,127.267,249.02485
266,Melanie,Hallelujah,hip-hop,141.109,159.05914
267,Roie Dupree,Wings,folk,118.082,301.13914
268,Rock Hard Power Spray,Smile,jazz,145.02,168.88118
269,Ice Mc,Scream,hip-hop,98.056,244.61016
270,Lonnie Liston Smith,Nightlife,pop,120.296,289.33179
271,Artmade,Breathe,folk,120.071,182.04689
272,America,I Need You,rock,133.899,184.0322
273,Luka Bloom,Sound,electronic,125.843,279.2224
274,Madness,Cardiac Arrest,rock,123.101,172.43383
275,Mando Diao,Misty Mountains,classical,152.041,144.03873
276,7 Sharp 9,Blind,electronic,153.995,230.73914
277,Keaton Simons,Joseph, Better You Than Me,114.037,212.84526
278,Kendra Shank_ Larry Willis Quartet,Afterglow,rock,78.405,383.16363
279,Sandra,Free Love,jazz,102.999,256.28689
280,Bill Frisell,End Credits,hip-hop,93.535,207.46404
281,Cul De Sac,Song to the Siren,rock,95.755,219.37587
282,Blood_ Sweat & Tears,Alone,rock,127.58,329.35138
283,MNEMIC,Ghost,pop,111.027,335.62077
284,Chaotic Alliance,Victims,pop,192.675,162.21995
285,Bee Winans,Love Thing,rock,161.405,278.22975
286,The String Cheese Incident,Wake Up,alternative,112.721,425.482
287,Nero,Ice,pop,95.979,290.79465
288,Maria Solheim,Beauty Queen,electronic,107.912,216.0322
289,CamRon ,Shake,electronic,115.139,208.92689
290,Working For A Nuclear Free City,Home,folk,111.722,91.66322
291,Gruppo Sportivo,Something Else,rock,127.869,229.45914
292,Electrosoul System,Ghost,pop,164.991,493.73995
293,GBH,Go Home,pop,121.631,176.8224
294,Benjamin Bates,No Angel,electronic,130.013,192.1824
295,Papa Dee,Angel,electronic,88.075,233.16853
296,Bossa Nostra,Rain,electronic,120.047,429.06077
297,Dino,Untitled,alternative,103.807,406.38649
298,Kristin Hersh,Amazing Grace,folk,140.153,211.98322
299,Sleep For Sleepers,Twilight,rock,143.623,198.42567
300,Tunng,Bodies,rock,103.002,266.50077
301,Jamie Cullum,Everlasting Love,rock,84.002,199.96689
302,Bomay Bicycle Clu,Sixteen,folk,131.032,246.22975
303,The Watson Twins,Only You,alternative,129.344,252.86485
304,Alisa Fineman,Home,folk,140.828,201.06404
305,Pedro Aznar,Stand,rock,110.178,194.61179
306,Lenn Hammond,The Door,rock,154.356,216.47628
307,Falling Up,Cascades,electronic,101.98,206.41914
308,Don McGlashan,Blame,hip-hop,132.071,341.41995
309,Toxic Narcotic,Hollow,pop,222.307,61.04771
310,Audio Soul Project Feat. Lori,Satellite,indie,125.04,375.30077
311,55 Escape,Wake Up,alternative,120.101,187.53261
312,Palo Moses,Watch Out,electronic,136.343,256.62649
313,TV Soundtrack Orchestra,Mercy,hip-hop,86.679,219.97669
314,Russian Circles,Sirens,hip-hop,75.044,445.59628
315,Frankie Laine,High Noon,hip-hop,130.984,170.55302
316,D-12,Girls,rock,166.216,336.50893
317,Bow Wow feat. Swizz Beatz,Shake It,folk,91.42,210.70322
318,Les Cam\xc3\xa9l\xc3\xa9ons,Barcelona,classical,100.03,210.1024
319,Dekad,Emergency,electronic,130.009,276.13995
320,R. Kelly & Jay Z,Honey, This Mirror Isn't Big Enough for the Two of Us,95.464,242.15465
321,Cole Porter,Anything Goes,electronic,162.105,187.61098
322,Pete And The Pirates,Bright Lights,rock,164.796,191.4771
323,The Prime Movers,Revenge,alternative,161.082,142.07955
324,The Applejacks,Kansas City,electronic,127.959,189.49179
325,Mark Harris,Lose Control,indie,129.999,502.07302
326,U2,New York, New York,125.088,343.27465
327,Nitzer E,Boy, Boy,125.996,256.93995
328,Frank Gamale,Awakening,folk,109.004,390.16444
329,The Cardigans,Lovefool,rock,222.927,198.21669
330,Side Effect,King Kong,electronic,114.018,169.24689
331,Wax,Lonely Boy,rock,126.968,261.74649
332,Chieli Minucci,Without You,rock,135.033,426.21342
333,At All Cost,Drugs,alternative,100.331,443.68934
334,Will Smith Featuring Biz Markie & Slick Rick,So Fresh, So Clean,94.031,255.86893
335,The Samples,Misery,rock,104.797,251.27138
336,Anthony Evans,Letting Go,folk,99.976,211.01669
337,Circle II Circle,Forever,hip-hop,149.77,316.21179
338,Frankie Ford,White Christmas,pop,93.676,206.0273
339,2 Bit Pie,Colours,electronic,120.015,373.4722
340,Pelle Miljoona,Che,electronic,89.835,202.16118
341,Danzig,Anything,pop,128.403,289.35791
342,Frankie Randall,Winter Wonderland,electronic,100.0,215.77098
343,Concrete Blonde,Valentine,electronic,110.049,205.08689
344,Ringo Starr,Where Did Our Love Go,pop,132.985,197.58975
345,Sergio Mendes ,Mas Que Nada,pop,101.059,267.20608
346,Half Japanese,Temptation,alternative,152.38,138.29179
347,Sunscreem,Secrets,folk,172.172,241.89342
348,Barara Mandrell,Years,indie,82.26,235.72853
349,GP WU,Bring It,hip-hop,178.113,277.7073
350,Little Eva,The Loco-Motion,electronic,129.781,145.162
351,Twisted Sister,The Price,rock,155.771,243.25179
352,Queens Of The Stone Age,In My Head,rock,89.51,241.24036
353,Heart,Love Song,pop,79.145,221.51791
354,Favretto feat. Naan,Hello,jazz,127.003,197.01506
355,Elton John,Original Sin,rock,105.078,289.41016
356,Papa San,Strange,country,85.77,226.5073
357,Frittenude,Porzellan,rock,127.995,247.64036
358,Britney Spears,Everytime,pop,85.331,206.81098
359,Big Star,Try Again,rock,66.828,212.27057
360,Gideon,Sledgehammer,folk,130.03,369.94567
361,Boy Goldsoro,Honey, This Mirror Isn't Big Enough for the Two of Us,94.352,238.602
362,Bass Unlimited,Desire,electronic,107.058,279.24853
363,Tilly & The Wall,Shake It Out,rock,88.716,245.57669
364,Bruce Springsteen,Magic,rock,131.19,165.53751
365,The Alarm,Loaded,rock,137.953,168.12363
366,Sun Kil Moon,Lucky Man,rock,87.522,347.11465
367,Jeff Bennett,Dreams,alternative,71.999,451.29098
368,From The Inside,Stop,hip-hop,125.011,253.72689
369,The Get Up Kids,Never Be Alone,electronic,115.053,197.22404
370,Conflict,So What,pop,85.866,178.20689
371,The Sklar Bros.,Magic,rock,85.466,498.6771
372,DSL,Regret,alternative,86.974,229.04118
373,Michelle Williams,The Greatest,pop,99.966,211.53914
374,Decorate.Decorate,Departure,alternative,173.497,278.36036
375,Donny Osmond,How Deep Is Your Love,electronic,106.011,240.19546
376,Skip featuring Grand_ Lil Keke,Good Life,hip-hop,156.839,249.93914
377,Hiram Bullock,Voodoo Chile,rock,129.245,502.69995
378,Wu-Tang Clan,Careful,rock,90.533,296.48934
379,Markus Schulz,Without You Near,electronic,134.035,218.64444
380,Kaleidoscope,Give It Up,hip-hop,100.002,213.15873
381,Gemma Hayes,Home,folk,103.034,190.51057
382,Get Hustle,Untitled,alternative,163.175,876.93016
383,Wicked Allstars,Old Skool,hip-hop,137.36,217.99138
384,Hatcham Social,Crocodile,electronic,115.991,184.21506
385,Special EFX,Georgia On My Mind,rock,157.684,188.65587
386,Luka Bloom,Sunday,alternative,89.934,197.8771
387,David Mann,Is This Love,pop,132.0,337.99791
388,Aerosmith,Angel,electronic,76.096,335.33342
389,Jimmy Riley,Life,pop,85.746,232.25424
390,Manian feat. aila,Heaven,electronic,134.07,318.58893
391,House Of Lords,Rock Bottom,electronic,127.974,232.75057
392,Airscape,Faith,rock,129.996,382.95465
393,Andy Griggs,Freedom,hip-hop,115.808,222.06649
394,Gary Nichols,Paper Doll,jazz,73.979,162.19383
395,The Paradigm,The End of the World,alternative,125.211,201.89995
396,Adolescents,Self Destruct,electronic,102.841,47.882
397,Vyvienne Long,Hideaway,electronic,66.943,165.19791
398,War Tapes,Love Me,pop,105.987,233.97832
399,Donald McCollum,Waiting In Vain,rock,160.068,270.2624
400,Chocolate Overdose,Stuck,folk,162.966,200.14975
401,Seven,Warrior,hip-hop,146.623,256.49587
402,Frisco Kid,Revenge,alternative,116.79,207.90812
403,Timo Maas,Bad Days,rock,87.995,417.56689
404,A-Turner,Natural,pop,126.985,297.89995
405,Ladyhawke,Magic,rock,109.99,179.25179
406,Daniel Powter,Bad Day,rock,140.153,233.63873
407,Pillar,Rewind,rock,143.818,225.04444
408,Fanzine,Supernatural,electronic,122.963,261.56363
409,Butthole Surfers,All Day,folk,79.709,512.1824
410,Whitecross,Walk With Me,country,83.934,285.02159
411,Ames Brothers,Undecided,electronic,134.148,177.81506
412,Rikk Agnew,Everyday,jazz,154.286,269.40036
413,Paul DiAnno & Dennis Stratton,Body Rock,hip-hop,139.971,238.81098
414,Bic Runga,All Fall Down,rock,113.159,161.54077
415,Courn,Give Me Love,pop,126.97,270.88934
416,BEFORE THE DAWN,Saviour,blues,90.025,193.93261
417,The Methadones,Already Gone,rock,154.979,222.77179
418,Stiff Meat,Lonely,pop,166.124,240.29995
419,Max Melvin,Someday,indie,100.01,262.79138
420,Joseph Beckford,Mama, I'm Coming Home,90.666,281.46893
421,Jimi Hendrix,Fire,hip-hop,167.263,192.23465
422,Randy Santino,Scream,hip-hop,129.0,423.91465
423,Teena Marie,Light,electronic,59.253,78.96771
424,Slinkee Minx,Summer Rain,electronic,145.036,134.08608
425,Nicola Kramer,Last Time,electronic,42.957,279.48363
426,Lights of Euphoria,Born to Die,electronic,120.025,249.41669
427,U2,Vertigo,electronic,130.013,451.44771
428,Amanda Marshall,Cross My Heart,hip-hop,100.045,365.37424
429,D-Shot,Beep Beep, I Love You,102.559,242.18077
430,Another Electronic Musician,This Time,rock,113.295,362.21342
431,Xmilk,Why,rock,146.454,100.8322
432,Electronica,Just Dance,electronic,185.021,184.13669
433,Shanadoo,King Kong,electronic,142.946,225.20118
434,Oliver Koletzki feat. Fran,Hypnotized,electronic,122.996,481.67138
435,Snow Patrol,Chasing Cars,pop,106.002,268.95628
436,Cliff Eidelman,New York, New York,104.878,76.2771
437,Kingdom,Seasons,hip-hop,110.344,150.56934
438,The Minors,Simon Says,hip-hop,83.326,208.53506
439,Norken,Memories,electronic,124.896,377.3122
440,Kate Smith,Imagination,electronic,128.907,186.20036
441,Pastor Troy,Untitled,alternative,149.995,264.48934
442,Ben Kweller,Magic,rock,120.181,188.60363
443,Coleman Hawkins,Imagination,electronic,108.716,168.12363
444,Molella,Change,alternative,142.937,261.82485
445,Barez!,Heroes,pop,120.504,380.23791
446,Basia,Promises,alternative,112.811,245.26322
447,Uran Cookie Collective,Sail Away,alternative,131.991,203.54567
448,Dawn Landes,Scars,electronic,122.881,206.88934
449,Jon Lord,Sunrise,folk,78.86,347.95057
450,American Music Clu,The Right Thing,rock,139.888,203.17995
451,1001 Ways,Signs,hip-hop,74.984,175.69914
452,Anna Nalick,Satellite,indie,95.779,240.90077
453,Glen Washington,Your Love,hip-hop,102.605,234.68363
454,4Him,Wings,folk,171.329,241.97179
455,The Brecker Brothers,Inside Out,electronic,132.138,573.6224
456,Telepathe,Islands,classical,169.334,158.11873
457,KRS-One,Getaway,rock,109.072,187.24526
458,Garageland,Gone, Gone,136.973,190.74567
459,Sioen,Automatic,electronic,140.032,195.60444
460,Kid Loco,Love Is All Around,pop,120.005,248.842
461,Matt Nathanson,More Than This,folk,114.719,206.65424
462,The Maple State,Cemetery,rock,151.947,155.95057
463,Fatturger,Heaven,electronic,106.922,270.28853
464,Dickie Valentine,With These Hands,pop,89.573,201.79546
465,James Last,Summer Rain,electronic,84.001,227.94404
466,System F,Cry,electronic,137.973,515.02975
467,Lalah Hathaway,On Your Own,rock,107.313,399.67302
468,Skatterman & Snug Brim,Run,rock,92.458,339.43465
469,Torn Apart,Evil Eye,rock,114.57,147.33016
470,The Frozen Autumn,Evening Falls,folk,228.05,327.78404
471,Ghostface,The Letter,alternative,87.146,81.08363
472,Joel Grey ,Wonderful,hip-hop,91.166,297.09016
473,21 Hertz,Ocean,alternative,150.103,292.33587
474,Swinging Steaks,Downtown,alternative,182.112,230.3473
475,Virtuoso,Beautiful Maria of My Soul,folk,100.095,277.7073
476,Jamiroquai,Cosmic Girl,jazz,239.157,227.10812
477,Evil Nine,Restless,alternative,131.985,419.65669
478,Wu-Tang Clan,Rules,electronic,95.584,232.82893
479,galactic cowoys,Shine,alternative,121.936,247.48363
480,OneRepulic,Good Life,hip-hop,95.005,253.25669
481,Jon Auer,Tears,electronic,130.771,245.4722
482,Enrico Caruso,Carmen,electronic,136.87,210.65098
483,Go,No Regrets,alternative,133.986,153.33832
484,Eels,Flower,pop,132.749,206.07955
485,Nas,America,folk,133.066,231.83628
486,Ektomorf,Leave Me Alone,rock,112.94,163.7873
487,Mickey Gilley,World of Our Own,pop,251.195,151.97995
488,Wang Chung,Dance Hall Days,rock,205.245,234.762
489,James Hardway,Lament,alternative,94.996,274.9122
490,Hot Chip,Hold On,folk,134.5,381.17832
491,The Kissaway Trail,New Year,pop,119.961,333.94893
