atable_id,btable_id,sim_title,sim_artist,dif_year,match
3111,464435,0.7273,0.0556,1.0,1
13518,398300,0.5294,0.0455,-1,0
15491,265730,0.5294,0.0400,-1,0
427,252082,0.5000,0.0435,20.0,0
10727,740826,0.9074,1.0000,0.0,1
16783,490657,0.7692,1.0000,0.0,1
9576,364649,0.5333,0.0417,-1,0
15477,105724,0.5000,0.0400,21.0,0
13644,738224,0.5455,0.0769,-1,0
11095,569991,1.0000,0.1429,-1,0
15150,352808,1.0000,0.0400,-1,0
15443,100171,0.5455,0.0476,5.0,0
20906,792659,0.5556,0.0714,-1,0
26522,507770,1.0000,0.0345,12.0,0
12058,268047,0.8065,1.0000,0.0,1
14086,823544,1.0000,0.0400,-1,0
12446,320222,0.5000,0.0526,7.0,0
8564,95455,0.5385,0.0625,-1,0
29195,312989,0.5000,0.0750,-1,0
22388,54828,0.5714,0.0909,-1,0
13235,383844,1.0000,0.0263,4.0,0
9096,379008,0.5714,0.0526,4.0,0
23728,683404,0.5000,0.0833,4.0,0
12797,90367,0.5600,1.0000,1.0,1
6548,115229,0.6429,0.0323,10.0,0
4642,570163,1.0000,1.0000,-1,1
28307,807557,0.5789,0.0213,-1,0
8137,101862,1.0000,1.0000,0.0,1
19980,618402,0.5000,0.0667,1.0,0
10709,560656,1.0000,1.0000,0.0,1
26713,635526,1.0000,1.0000,0.0,1
21138,715246,0.5455,0.0625,-1,0
8,415646,0.6154,0.0556,11.0,0
4546,100717,1.0000,1.0000,0.0,1
14496,582153,1.0000,0.0385,4.0,0
2101,605583,1.0000,0.0833,1.0,0
15955,617633,1.0000,0.0286,7.0,0
31625,157944,1.0000,0.0333,7.0,0
33018,227081,1.0000,0.0400,-1,0
8890,66939,0.6000,0.0435,-1,0
16489,553419,1.0000,0.0606,15.0,0
7709,244154,0.5000,0.0455,9.0,0
1271,760470,0.5000,0.0286,6.0,0
14373,704490,1.0000,1.0000,0.0,1
18701,162480,0.2778,0.0303,-1,0
15958,2956,0.6364,0.1250,-1,0
28953,780107,1.0000,0.4595,-1,1
22592,593667,0.8333,1.0000,1.0,1
23447,815063,1.0000,0.2857,39.0,0
21119,99853,1.0000,0.0200,-1,0
19498,275912,1.0000,0.0159,10.0,0
19976,518587,1.0000,1.0000,1.0,1
25653,82061,1.0000,1.0000,0.0,1
3907,475415,1.0000,0.0417,2.0,0
31880,373847,0.6667,0.0968,16.0,0
29191,769555,1.0000,0.0435,-1,0
9740,372565,1.0000,1.0000,1.0,1
19751,255068,0.5714,0.0256,-1,0
7241,612216,1.0000,1.0000,0.0,1
31547,387243,0.7000,0.2174,8.0,0
12447,590505,0.5517,0.0556,-1,0
25892,113406,0.6000,0.1429,-1,0
9313,806234,1.0000,0.0476,14.0,0
7477,63257,1.0000,1.0000,0.0,1
31880,47079,0.5789,0.0312,8.0,0
3183,349952,0.5333,0.0312,-1,0
15443,608441,0.5455,0.0244,-1,0
25694,792605,1.0000,0.0417,-1,0
4309,783541,1.0000,0.1000,9.0,0
7709,277290,1.0000,0.0263,6.0,0
2756,462651,1.0000,0.0435,5.0,0
18506,459802,1.0000,0.0385,1.0,0
8093,418218,1.0000,0.0455,-1,0
24201,394308,0.5455,1.0000,-1,1
14860,542981,1.0000,0.0233,-1,0
14414,686937,1.0000,0.0870,8.0,0
27641,150652,1.0000,0.0303,3.0,0
20569,393713,1.0000,1.0000,0.0,1
18316,604785,0.5556,0.0526,2.0,0
15402,19931,0.5833,0.0400,2.0,0
10781,586483,0.5385,0.0667,7.0,0
22160,436128,0.7500,1.0000,-1,1
13162,534688,0.5366,1.0000,0.0,1
31634,483610,0.5600,0.0345,31.0,0
4465,246425,1.0000,1.0000,0.0,1
9087,708934,1.0000,0.0476,-1,0
17226,403667,0.5455,0.2273,-1,0
31372,506911,1.0000,1.0000,0.0,1
14582,230987,1.0000,0.0435,-1,0
21546,611759,1.0000,1.0000,0.0,1
14741,670246,0.6667,1.0000,0.0,1
31413,261412,0.6842,0.0286,-1,0
12156,187476,1.0000,0.0333,3.0,0
23194,352538,1.0000,0.0476,4.0,0
5423,672365,0.5000,0.1212,7.0,0
31549,80431,0.5000,0.0250,6.0,0
27515,642547,0.5000,0.0606,1.0,0
157,721573,1.0000,0.0952,-1,0
13559,245383,1.0000,0.1071,9.0,0
18033,616183,0.6154,0.0833,-1,0
2735,740206,0.7500,1.0000,2.0,1
15777,416832,1.0000,0.0606,-1,0
19402,339218,1.0000,1.0000,0.0,1
22433,141989,0.5000,0.1000,-1,0
4832,825305,0.5870,1.0000,-1,1
15802,323122,1.0000,1.0000,1.0,1
8631,760198,0.5217,1.0000,7.0,1
16567,493855,0.5714,0.1379,11.0,0
19733,209358,1.0000,0.0385,-1,0
1283,143084,0.5758,1.0000,0.0,1
15851,447668,1.0000,0.0270,-1,1
22024,200434,0.5600,0.0370,-1,0
7509,265665,1.0000,1.0000,0.0,1
24017,192121,1.0000,0.7419,-1,1
19733,139542,1.0000,0.0303,-1,0
17402,393840,0.5333,0.0345,-1,0
25704,728705,0.7500,0.0323,6.0,0
4638,271717,0.5556,0.2222,-1,0
11672,589818,1.0000,1.0000,0.0,1
19324,300191,1.0000,0.1786,-1,0
29480,280300,1.0000,0.0526,3.0,0
19326,366042,0.5000,0.1026,-1,0
24290,723966,1.0000,0.0435,6.0,0
14551,814432,1.0000,0.3824,0.0,1
17009,340317,0.5000,0.0370,4.0,0
7753,736121,0.5556,0.1600,6.0,0
28030,641448,1.0000,1.0000,0.0,1
21683,762835,1.0000,1.0000,0.0,1
5195,711186,1.0000,1.0000,0.0,1
24066,517108,0.7000,0.0435,-1,0
2670,392859,1.0000,1.0000,0.0,1
25480,717704,0.6364,0.1176,-1,0
19733,823544,1.0000,0.0400,-1,0
20604,113613,1.0000,0.0208,-1,0
17526,484841,1.0000,1.0000,0.0,1
8985,457286,1.0000,1.0000,0.0,1
26259,711601,0.6000,0.0370,2.0,0
7509,415950,1.0000,1.0000,0.0,1
1297,626075,0.5000,0.0500,-1,0
18653,775383,0.6364,1.0000,0.0,1
3694,183830,1.0000,0.0625,-1,0
21092,485241,1.0000,0.5238,1.0,1
19186,805959,1.0000,0.0270,5.0,0
27207,479651,1.0000,0.0400,3.0,0
31626,820558,1.0000,0.0189,-1,0
4311,749484,1.0000,1.0000,0.0,1
5423,531595,0.5714,0.2105,-1,0
21149,551533,0.5625,0.0263,13.0,0
853,177037,1.0000,0.0476,6.0,0
14662,79248,0.5000,0.0417,-1,0
27618,655519,1.0000,0.1667,3.0,1
26537,251515,0.5556,0.0476,14.0,0
17863,415426,0.8000,1.0000,0.0,1
19642,397961,0.5833,0.0323,4.0,0
9467,304253,0.6429,0.0833,-1,0
19510,401107,0.6250,1.0000,1.0,1
22410,107149,0.5882,0.0345,25.0,0
12720,521964,1.0000,0.1111,1.0,0
10833,368988,0.5625,0.2000,8.0,0
19229,36359,0.5333,0.0667,15.0,0
16599,789926,0.5652,0.0385,5.0,0
28500,79864,0.5000,0.7500,0.0,1
14229,776836,0.6087,1.0000,8.0,1
27902,395873,1.0000,0.5429,0.0,1
8321,294488,1.0000,0.0513,17.0,0
19066,656598,1.0000,1.0000,13.0,1
21414,529984,1.0000,0.0357,5.0,0
4889,430856,1.0000,0.1290,-1,0
8830,475811,0.5238,0.0714,3.0,0
18429,641057,0.5238,0.0345,-1,0
14032,502403,0.5333,0.0455,-1,0
17242,544974,1.0000,0.7500,0.0,1
7103,700775,1.0000,1.0000,0.0,1
12108,247614,0.5000,0.0526,-1,0
23014,113495,1.0000,0.0455,-1,0
18086,764786,0.5500,0.0625,-1,0
3765,627013,0.6364,0.0400,-1,0
27696,79882,1.0000,0.0455,-1,0
12096,657533,1.0000,1.0000,0.0,1
4532,190496,0.6000,1.0000,-1,1
22686,469625,0.5714,0.0244,-1,0
29391,231549,0.5789,0.0600,13.0,0
7189,24981,1.0000,0.2093,-1,1
572,404298,1.0000,0.0244,2.0,0
17350,6339,0.5000,0.0256,-1,0
13921,57188,0.7000,0.0400,-1,0
19613,633313,0.5294,0.0455,5.0,0
3856,629597,1.0000,1.0000,0.0,1
18012,747628,1.0000,0.5897,1.0,1
18101,313414,0.6154,0.0312,31.0,0
14571,346268,0.5000,0.1579,11.0,0
3459,121720,0.6667,0.0345,7.0,0
31325,243953,0.5789,0.0238,-1,0
21217,13678,1.0000,0.0345,37.0,0
17755,386320,0.5714,0.0741,-1,0
12295,442533,1.0000,0.2963,0.0,1
25416,264856,1.0000,0.3667,0.0,1
21832,774405,1.0000,1.0000,0.0,1
8135,617818,0.7273,0.0500,-1,0
26233,685854,1.0000,1.0000,0.0,0
22734,520115,0.5000,0.0833,-1,0
6053,3651,1.0000,0.5278,0.0,1
3948,819892,0.5161,0.2500,-1,0
28551,480377,1.0000,0.0870,33.0,0
20644,122833,0.5217,0.0312,13.0,0
17961,102842,0.5294,0.0690,5.0,0
3727,537107,0.7000,0.0385,25.0,0
12048,368478,0.5625,0.0625,-1,0
14660,575993,0.5000,0.0476,-1,0
22905,691131,1.0000,0.0250,-1,0
10500,822475,1.0000,1.0000,0.0,1
6022,340762,0.5294,0.0435,9.0,0
157,400070,0.6500,0.1143,4.0,0
32517,88865,1.0000,0.0339,-1,0
21241,395341,1.0000,0.0357,0.0,0
14583,373911,1.0000,0.4474,0.0,1
5351,376506,0.6842,0.0455,5.0,0
14391,245185,1.0000,0.0137,-1,0
16998,195362,1.0000,0.3958,0.0,1
8967,177763,1.0000,1.0000,0.0,1
5371,36156,0.5000,0.0385,-1,0
30705,560589,0.5909,0.0312,10.0,0
14492,250252,1.0000,0.0455,6.0,0
21418,539121,1.0000,0.1250,-1,0
3183,503207,0.5333,0.0435,-1,0
23404,122242,0.5417,0.0357,14.0,0
17996,427942,0.6667,0.0208,-1,0
5060,707292,0.5000,0.0400,-1,0
15140,676037,0.7391,1.0000,0.0,1
8834,532178,1.0000,0.0435,3.0,0
25132,774753,1.0000,0.0385,8.0,0
23135,329413,1.0000,0.0556,9.0,0
9761,658657,0.5789,0.0435,-1,0
18577,28223,1.0000,0.0294,27.0,0
8075,618586,0.7143,0.4783,0.0,1
18746,324560,1.0000,1.0000,0.0,1
27989,785174,0.5789,0.0417,-1,0
12719,281590,0.5254,1.0000,0.0,1
3592,255655,0.5263,0.0625,-1,0
25995,288407,0.5000,0.0323,10.0,0
20232,317888,1.0000,0.7273,0.0,1
15548,782828,1.0000,0.0500,-1,0
2257,754428,1.0000,0.7647,0.0,1
25418,682895,1.0000,0.0116,-1,0
8712,625214,1.0000,0.0357,-1,0
4922,515260,0.6452,1.0000,28.0,1
16991,516219,1.0000,0.0714,4.0,0
28223,583603,0.7368,0.1212,38.0,0
11504,404753,1.0000,0.0435,3.0,0
10225,539121,1.0000,0.1250,-1,0
9754,548190,0.5652,0.1053,55.0,0
3483,752780,0.4412,1.0000,0.0,1
7445,610639,1.0000,1.0000,0.0,1
17400,276845,1.0000,1.0000,1.0,1
25765,326966,0.5000,0.0667,20.0,0
11450,445288,0.5294,0.1515,14.0,0
12996,355844,0.6154,0.0851,36.0,0
24115,368955,0.5833,0.0256,-1,0
13931,367611,1.0000,0.1429,-1,0
26237,451554,0.5000,0.3125,24.0,0
12600,201832,1.0000,1.0000,1.0,1
21282,59096,1.0000,1.0000,6.0,1
25760,488956,1.0000,1.0000,1.0,1
32399,481618,0.5000,0.0833,2.0,0
17905,444109,0.6154,0.0833,-1,0
26912,161277,1.0000,0.0312,3.0,0
25001,648409,0.5000,0.1200,-1,0
19839,414314,0.6000,0.0370,10.0,0
19560,783885,1.0000,0.0312,2.0,0
23256,722078,0.5500,0.0323,40.0,0
3455,782554,0.5333,0.0588,12.0,0
14858,25560,1.0000,0.0250,9.0,0
30829,770287,1.0000,0.0588,17.0,0
22279,557015,0.5625,0.1333,-1,0
2282,141736,1.0000,0.0182,4.0,0
20181,430362,0.5882,0.0400,-1,0
3645,784068,0.7692,0.0800,16.0,0
15655,424241,1.0000,0.0286,-1,0
3851,354688,1.0000,1.0000,0.0,1
26234,106157,0.9474,0.0769,21.0,0
3547,664710,1.0000,0.1786,-1,0
4538,223587,0.5000,0.1000,-1,0
13461,23962,0.8000,0.5152,0.0,1
17350,10467,0.5000,0.0270,8.0,0
18356,196636,1.0000,0.0256,8.0,0
27433,120020,0.5263,0.0476,-1,0
29090,770523,1.0000,0.0169,6.0,0
27453,132893,1.0000,0.6522,-1,1
7303,414295,1.0000,1.0000,-1,1
21641,98698,0.6818,0.6129,2.0,1
8333,279596,0.5000,0.0196,12.0,0
19033,400996,1.0000,0.1053,-1,0
19342,489207,0.5000,0.0370,10.0,0
9831,578963,1.0000,0.0476,17.0,0
16750,449491,1.0000,1.0000,0.0,1
5589,270671,0.6111,0.1053,-1,0
24020,201733,0.5000,0.1034,1.0,0
30919,801466,0.5000,0.0476,3.0,0
27790,602816,1.0000,1.0000,-1,1
8280,604558,1.0000,1.0000,1.0,1
7387,620861,0.6842,1.0000,0.0,1
13922,704463,0.5333,0.0526,-1,0
1799,747852,1.0000,0.3684,16.0,0
6595,404595,1.0000,0.0323,-1,0
6366,207397,0.6333,1.0000,-1,1
21978,654808,1.0000,1.0000,-1,1
16133,803377,1.0000,0.6923,1.0,1
21439,675245,1.0000,0.0323,1.0,0
13395,518575,1.0000,1.0000,1.0,1
14114,19552,1.0000,1.0000,1.0,1
13126,69173,1.0000,1.0000,0.0,1
27821,6516,1.0000,0.0714,-1,0
28216,559914,1.0000,0.0323,8.0,0
7447,214048,0.5946,1.0000,15.0,1
8419,448256,0.5000,0.0385,2.0,0
17948,331796,0.5556,0.0417,4.0,0
1947,766176,1.0000,0.0263,-1,0
29714,692368,0.5789,0.0256,-1,0
18601,19730,1.0000,1.0000,0.0,1
10581,342736,1.0000,1.0000,-1,1
19151,491066,0.5000,0.0690,-1,0
20298,811138,0.5625,0.0500,14.0,0
20701,375524,1.0000,0.3750,0.0,1
4682,414176,1.0000,0.0217,30.0,0
30883,342256,0.5833,0.0526,11.0,0
10498,155272,1.0000,1.0000,0.0,1
6231,70577,0.6667,0.0588,9.0,0
6310,261214,1.0000,0.0476,-1,0
5,451100,0.5385,0.0417,-1,0
1376,745375,0.7600,1.0000,0.0,1
15894,339177,0.5455,0.0588,26.0,0
14116,109905,0.7000,1.0000,3.0,1
30579,436505,0.5000,0.0800,-1,0
14787,3691,1.0000,0.0385,-1,0
4812,494125,0.5833,1.0000,1.0,1
25704,440360,0.5000,0.0333,16.0,0
2372,574219,1.0000,0.0385,2.0,0
26939,240243,0.5333,0.1250,-1,0
23850,314656,0.5217,0.0417,17.0,0
25907,308654,0.5000,0.0426,19.0,0
25183,699473,1.0000,1.0000,0.0,1
31626,416529,1.0000,0.0263,16.0,0
21000,2642,0.5000,0.0645,-1,0
28095,536507,1.0000,0.3667,0.0,1
7549,685753,1.0000,1.0000,0.0,1
