,title,artist,genre,duration,tempo,timesignature,keysignature,year
25,Kool Thing,Sonic Youth,rock,245.62892999999997,102.709,3,7,1990
26,The Astronaut,Something for Kate,rock,273.03137999999996,85.036,4,2,2000
27,Illuminate,Orbital,electronic,327.8624,125.975,4,0,2001
28,Footloose,Kenny Loggins,rock,225.72362999999999,86.99700000000001,4,2,1984
29,Interlude,Morrissey,rock,227.26485,142.554,4,7,1994
30,Sick & Tired,The Cardigans,rock,208.01261,150.08,4,2,1994
31,Carnival,The Cardigans,rock,221.09995,110.604,4,2,1995
32,All I Really Want to Do,The Byrds,rock,123.76771000000001,122.65299999999999,4,9,1965
33,Mr. Tambourine Man,The Byrds,rock,130.71628,84.307,5,2,1965
34,Burning Down The House,Talking Heads,rock,241.91955,205.482,4,5,1983
35,And She Was,Talking Heads,rock,218.06975,126.414,4,2,1985
36,Youth Against Fascism,Sonic Youth,rock,302.73261,147.586,4,2,1992
37,Sugar Kane,Sonic Youth,rock,358.42567,134.80700000000002,4,7,1992
38,The Sound Of Silence,Simon & Garfunkel,rock,184.76363,106.711,1,6,1964
39,Danger Zone,Kenny Loggins,rock,209.50159,157.32399999999998,4,6,1986
40,Stand Back,Stevie Nicks,rock,297.09016,115.27799999999999,4,11,1983
41,Valerie,Steve Winwood,rock,247.06567,116.32,4,9,1982
42,Lovefool,The Cardigans,rock,198.21669,222.92700000000002,4,9,1996
43,Been It,The Cardigans,rock,244.84526,105.925,4,4,1996
44,Your New Cuckoo,The Cardigans,rock,210.46812000000003,126.31,4,2,1996
45,My Favourite Game,The Cardigans,rock,394.84036000000003,131.988,4,5,1998
46,Hanging Around,The Cardigans,rock,249.57342000000003,124.515,4,1,1998
47,The Diamond Sea,Sonic Youth,rock,1177.3383199999998,113.686,4,0,1995
48,Oh Kamikaze,Something For Kate,rock,235.80688999999998,123.014,4,4,2006
49,The Futurist,Something For Kate,rock,248.89424,122.5,4,11,2007
50,Mandinka,Sinéad O’Connor,rock,226.48118,130.111,4,9,1987
51,How Can I?,Steve Hackett,rock,281.49506,140.38,4,0,1978
52,Fakin' It,Simon & Garfunkel,rock,195.44771,102.173,4,9,1967
53,Mrs. Robinson,Simon & Garfunkel,rock,243.30404,183.55700000000002,1,6,1968
54,The Boxer,Simon & Garfunkel,rock,307.43465,171.937,4,0,1969
55,Bridge Over Troubled Water,Simon & Garfunkel,rock,293.04118,84.376,4,3,1970
56,The Boxer,Simon & Garfunkel,rock,307.43465,171.937,4,0,0
57,Hey Nineteen,Steely Dan,rock,305.65832,119.82799999999999,4,2,1980
58,We Built This City,Starship,rock,292.362,140.005,4,5,1985
59,For What It's Worth,The Cardigans,rock,258.69016,126.238,4,9,2003
60,The Big Heat,Stan Ridgway,rock,272.84853,177.642,4,6,1985
61,The Emperor's New Clothes,Sinéad O’Connor,rock,316.08117999999996,123.215,4,10,1990
62,Three Babies,Sinéad O’Connor,rock,286.48444,104.477,3,0,1990
63,Clocks - The Angel Of Mons,Steve Hackett,rock,256.88771,152.907,4,11,1979
64,Nothing's Gonna Stop Us Now,Starship,rock,266.89261,100.99799999999999,4,5,1987
65,Sometimes It's A Bitch,Stevie Nicks,rock,278.36036,120.08,4,9,1991
66,Whole Lotta Trouble,Stevie Nicks,rock,271.82975,95.665,4,2,1989
67,Camouflage,Stan Ridgway,rock,437.36771,100.53399999999999,4,9,1985
68,Walkin' Home Alone,Stan Ridgway,rock,271.3073,128.77100000000002,7,6,1985
69,Don't Cry For Me Argentina,Sinéad O’Connor,rock,339.59137999999996,77.842,1,10,1992
70,You Made Me The Thief Of Your Heart,Sinead O'Connor,rock,380.96934,106.23200000000001,4,10,1994
71,Fire On Babylon,Sinéad O’Connor,rock,311.19628,160.579,4,1,1994
72,Never Lose That Feeling,Swervedriver,rock,710.24281,161.132,3,2,1993
73,Duel,Swervedriver,rock,383.11138,133.279,1,5,1992
74,Song For Whoever,The Beautiful South,rock,386.71628,89.98100000000001,1,6,1989
75,Mansize Rooster,Supergrass,rock,154.40934,82.848,1,0,1995
76,Lose It,Supergrass,rock,157.51791,130.914,4,6,1995
77,Lenny,Supergrass,rock,162.63791,159.694,1,6,1995
78,Haunted,Shane MacGowan And The Popes,rock,251.8722,109.564,4,4,1995
79,The Hitcher,Swervedriver,rock,205.21751,140.882,4,11,0
80,Everyday Now,Texas,rock,275.09506,84.07799999999999,4,7,1989
81,What I Got,Sublime,rock,173.53098,191.25099999999998,4,7,1996
82,You Keep It All In,The Beautiful South,rock,184.73751000000001,149.378,4,5,1989
83,I'll Sail This Ship Alone,The Beautiful South,rock,246.25587000000002,112.462,4,7,1989
84,A Little Time,The Beautiful South,rock,178.80771000000001,108.58,4,5,1990
85,Let Love Speak Up Itself,The Beautiful South,rock,258.16771,112.1,4,1,1990
86,Alright,Supergrass,rock,179.85261,145.781,4,9,1995
87,Sun Hits The Sky,Supergrass,rock,294.66077,150.394,4,10,1997
88,Tears From The Moon,Conjure One,rock,488.72444,136.974,1,11,2002
89,I Don't Want A Lover,Texas,rock,303.64689,120.521,4,7,1989
90,What Evil Lurks,The Prodigy,rock,265.76934,0.0,3,10,1991
91,Jumping Someone Else's Train,The Cure,rock,177.71057,182.783,4,2,1979
92,A Forest,The Cure,rock,375.58812,160.096,4,7,1980
93,Primary,The Cure,rock,209.60608,165.303,1,2,1981
94,Charlotte Sometimes,The Cure,rock,238.10567000000003,137.02200000000002,4,9,1981
95,Old Red Eyes Is Back,The Beautiful South,rock,205.97506,154.32,4,0,1991
96,We Are Each Other,The Beautiful South,rock,219.34975,164.55900000000003,4,6,1992
97,36D,The Beautiful South,rock,314.09587,96.516,3,7,1992
98,"Everybody's Talkin""",The Beautiful South,rock,156.1073,111.675,3,4,1994
99,Gentlemen,The Afghan Whigs,rock,242.93832,105.11399999999999,4,0,1993
100,66,The Afghan Whigs,rock,203.10159,111.427,4,7,1998
101,Moving,Supergrass,rock,265.9522,74.013,1,4,1999
102,Grace,Supergrass,rock,151.19628,141.606,4,2,2002
103,Rush Hour Soul,Supergrass,rock,175.0722,139.377,4,9,2002
104,Tired Of Being Alone,Texas,rock,184.21506000000002,100.65299999999999,4,11,1992
105,You Owe It All To Me,Texas,rock,204.09423999999999,191.89,4,0,1993
106,So Lonely,The Police,rock,452.91057,188.84900000000002,4,9,1978
107,Can't Stand Losing You,The Police,rock,181.28933999999998,141.644,4,5,1978
108,Roxanne,The Police,rock,195.42158999999998,133.878,1,5,1978
109,The Walk,The Cure,rock,205.71383,130.064,4,2,1983
110,Prettiest Eyes,The Beautiful South,rock,227.10812,128.19,4,4,1994
111,One Last Love Song,The Beautiful South,rock,201.03791,92.23899999999999,3,5,1994
112,Dream A Little Dream,The Beautiful South,rock,213.86404,136.40200000000002,3,0,1995
113,St. Petersburg,Supergrass,rock,188.86485,125.226,4,6,2005
114,Diamond Hoo Ha Man,Supergrass,rock,205.40036,148.441,4,0,2008
115,Day 7,The Notwist,rock,355.082,132.776,4,11,1997
116,Chemicals,The Notwist,rock,314.90567000000004,112.02799999999999,4,2,1998
117,Where In This World,The Notwist,rock,278.67383,144.961,4,4,2008
118,Say What You Want,Texas,rock,231.23546000000002,64.001,5,4,1997
119,Put Your Arms Around Me,Texas,rock,273.24036,150.651,4,7,1997
120,Black Eyed Boy,Texas,rock,190.04036000000002,119.709,4,6,1997
121,No Good (Start The Dance),The Prodigy,rock,238.13179,96.736,3,1,1994
122,Poison,The Prodigy,rock,375.03955,104.05,4,4,1994
123,The Bed's Too Big Without You,The Police,rock,265.79546,181.68099999999998,4,6,1979
124,Don't Stand So Close To Me,The Police,rock,242.20689,140.322,4,10,1980
125,Every Little Thing She Does Is Magic,The Police,rock,280.92036,85.01700000000001,4,9,1981
126,Invisible Sun,The Police,rock,303.01995,113.031,4,0,1981
127,The Caterpillar,The Cure,rock,221.72689,124.007,4,11,1984
128,In Between Days,The Cure,rock,181.002,140.02200000000002,4,9,1985
129,Don't Marry Her,The Beautiful South,rock,202.34403999999998,99.931,1,0,1996
130,Perfect 10,The Beautiful South,rock,218.61832,101.947,4,9,1998
131,Dumb,The Beautiful South,rock,225.72363,113.731,3,7,1998
132,A Pillar of Salt,The Thermals,rock,197.43302,163.685,4,11,2006
133,Now We Can See,The Thermals,rock,208.22159,114.60700000000001,4,9,2009
134,The Modern Age,The Strokes,rock,208.06485,146.033,1,2,2001
135,Boneless,The Notwist,rock,175.38567,140.03,4,7,2008
136,Come In,The Notwist,rock,219.6371,85.988,4,7,2008
137,I Don't Want A Lover,Texas,rock,303.64689,120.521,4,7,0
138,Carnival Girl,Texas-Kardinal Offishall,rock,225.41016000000002,114.897,3,9,2003
139,Getaway,Texas,rock,395.75465,130.013,4,0,2005
140,Firestarter,The Prodigy,rock,225.09669,94.234,5,4,1996
141,Every Breath You Take,The Police,rock,253.96200000000002,117.35600000000001,4,1,1983
142,Wrapped Around Your Finger,The Police,rock,313.59955,85.149,5,9,1983
143,Synchronicity II,The Police,rock,300.59057,159.326,4,9,1983
144,Don't Stand So Close To Me '86,The Police,rock,291.49995,125.09899999999999,4,7,1986
145,Why Can't I Be You?,The Cure,rock,208.53506000000002,100.012,4,8,1987
146,Just Like Heaven,The Cure,rock,212.00933999999998,151.605,4,9,1987
147,Hard To Explain,The Strokes,rock,227.73506,165.02,4,7,2001
148,Last Nite,The Strokes,rock,197.53751,104.095,4,0,2001
149,Someday,The Strokes,rock,186.3571,106.00299999999999,4,9,2001
150,Is This It,The Strokes,rock,151.32689,96.042,4,0,2001
151,12:51,The Strokes,rock,149.81179,145.003,4,4,2003
152,The Life Of Riley,The Lightning Seeds,rock,243.3824,121.508,4,0,1992
153,In My Heart,Texas,rock,254.87627999999998,104.74600000000001,4,2,1991
154,Voodoo People (Pendulum Mix),The Prodigy,rock,304.71791,87.00399999999999,4,9,2005
155,Invaders Must Die,The Prodigy,rock,294.66077,140.065,4,6,2008
156,Warrior's Dance,The Prodigy,rock,312.52853,104.37700000000001,4,5,2009
157,Fascination Street,The Cure,rock,309.96853,109.916,4,8,1989
158,Lullaby,The Cure,rock,465.60607999999996,187.641,4,9,1989
159,Lovesong,The Cure,rock,203.96363,143.349,1,0,1989
160,Pictures Of You,The Cure,rock,458.57914000000005,169.549,4,9,1989
161,The Root Of All Evil,The Beautiful South,rock,159.34649,132.16899999999998,4,8,2001
162,Let Go With The Flow,The Beautiful South,rock,192.31302,129.964,4,6,2003
163,Tristessa,The Smashing Pumpkins,rock,213.65506000000002,102.167,1,9,1990
164,Reptilia,The Strokes,rock,219.81995,157.862,4,9,2003
165,The End Has No End,The Strokes,rock,187.53261,135.982,1,1,2003
166,Juicebox,The Strokes,rock,218.40934,154.954,4,2,2005
167,High,The Cure,rock,220.96934,110.06299999999999,4,4,1992
168,A Letter To Elise,The Cure,rock,312.21506,150.208,4,9,1992
169,Mint Car,The Cure,rock,205.60934,145.053,4,9,1996
170,This Old Skin,The Beautiful South,rock,232.64607999999998,129.08700000000002,4,2,2004
171,China,Tori Amos,rock,366.21016000000003,93.016,5,2,1992
172,Winter,Tori Amos,rock,516.51873,72.268,1,3,1992
173,Crucify,Tori Amos,rock,458.81424000000004,165.99200000000002,4,1,1992
174,Rocket,The Smashing Pumpkins,rock,246.93506000000002,115.93799999999999,3,0,1993
175,Bullet With Butterfly Wings,The Smashing Pumpkins,rock,260.15302,122.945,4,1,1994
176,1979,The Smashing Pumpkins,rock,267.31057000000004,127.01799999999999,4,8,1995
177,The Ballroom Blitz,The Sweet,rock,241.34485,109.023,4,4,1973
178,You Only Live Once,The Strokes,rock,191.26811999999998,120.46700000000001,4,11,2005
179,Wrong Number,The Cure,rock,492.5122,120.044,4,9,1997
180,Cut Here,The Cure,rock,250.61832,90.024,1,2,2001
181,Unbearable,The Wonder Stuff,rock,145.05751,141.49200000000002,4,0,1987
182,Die Welt kann mich nicht mehr verstehen,Tocotronic,rock,97.20118000000001,99.26799999999999,1,7,1996
183,Jackpot,Tocotronic,rock,192.26077,92.285,4,0,1999
184,Let's Shake Hands,The White Stripes,rock,121.41668999999999,90.334,4,4,1998
185,We Don't Need Another Hero (Thunderdome),Tina Turner,rock,254.71955,98.851,4,11,1985
186,Cornflake Girl,Tori Amos,rock,447.55546,133.013,4,7,1994
187,Analyse,Thom Yorke,rock,245.62892999999997,80.006,3,10,2006
188,You Keep Me Hangin' On,Vanilla Fudge,rock,224.26077,88.514,1,4,0
189,A Thousand Miles,Vanessa Carlton,rock,237.42649,95.054,4,11,2002
190,The Rocker,Thin Lizzy,rock,258.24608,146.882,4,1,1973
191,For Your Love,The Yardbirds,rock,268.85179,136.904,3,2,1965
192,Heart Full Of Soul,The Yardbirds,rock,159.34649,144.694,4,2,1965
193,It's Yer Money I'm After Baby,The Wonder Stuff,rock,168.33261000000002,147.701,4,7,1988
194,Lafayette Blues,The White Stripes,rock,135.8624,127.599,4,4,1998
195,What You Get Is What You See,Tina Turner,rock,266.60526,156.342,4,5,1986
196,Perfect,The Smashing Pumpkins,rock,207.51628,114.285,4,7,1998
197,Stand Inside Your Love,The Smashing Pumpkins,rock,253.64853,137.226,4,6,2000
198,Sleep When I'm Dead,The Cure,rock,241.55382999999998,140.02700000000002,4,9,2008
199,Just Like Heaven,The Cure,rock,212.00933999999998,151.605,4,9,0
200,It's Gonna Rain,Violent Femmes,rock,251.29751,143.647,4,2,1984
201,American Music,Violent Femmes,rock,239.93424,140.998,4,0,1991
202,Ghosts,Laura Marling,rock,181.99465,142.39700000000002,4,9,2008
203,Big Yellow Taxi,Counting Crows-Vanessa Carlton,rock,225.54077,88.044,4,1,2002
204,Shapes Of Things,The Yardbirds,rock,159.9473,71.233,1,0,1966
205,Caught In My Shadow,The Wonder Stuff,rock,235.44117999999997,123.26899999999999,4,9,1991
206,Dizzy,Vic Reeves-The Wonder Stuff,rock,196.98893,113.581,4,0,1991
207,Sleep Alone,The Wonder Stuff,rock,214.64771,101.281,4,0,1991
208,Unbearable,The Wonder Stuff,rock,145.05751,141.49200000000002,4,0,1988
209,Seven Nation Army,The White Stripes,rock,232.61995,123.38,4,4,2003
210,Untitled,The Smashing Pumpkins,rock,231.13098,196.46099999999998,4,8,2001
211,I Held Her In My Arms,Violent Femmes,rock,172.5122,106.136,4,4,0
212,Im Arsch,Jan Delay-Udo Lindenberg,rock,257.25342,115.09299999999999,4,1,2007
213,The River Of Water,Yo La Tengo,rock,152.16281,190.46,4,5,1985
214,Cross Your Fingers,Laura Marling,rock,222.6673,134.15200000000002,4,2,2008
215,The Hardest Button To Button,The White Stripes,rock,215.30077000000003,128.612,4,7,2003
216,Blue Orchid,The White Stripes,rock,160.31302,152.785,4,1,2005
217,I Wish It Could Be Christmas Everyday,Wizzard,rock,279.95383,140.141,1,9,0
218,Big Day Coming,Yo La Tengo,rock,255.76443999999998,130.48,1,4,1993
219,Tom Courtenay,Yo La Tengo,rock,212.74077000000003,124.73299999999999,4,9,1995
220,Sweet Dreams,Yes,rock,230.922,199.18599999999998,4,11,1970
221,Chariots Of Fire,Vangelis,rock,1241.3122,182.707,4,2,1981
222,Spiral,Vangelis,rock,417.93261,153.226,4,4,0
223,Don't Let's Start,They Might Be Giants,rock,153.62566999999999,87.802,3,0,1985
224,My Doorbell,The White Stripes,rock,239.64688999999998,96.359,4,5,2005
225,Icky Thump,The White Stripes,rock,226.14158999999998,96.949,1,9,2007
226,Shinobi Vs. Dragon Ninja,Lostprophets,rock,167.47057,122.848,7,5,2000
227,Are You Receiving Me?,XTC,rock,183.71873,170.94,4,9,1978
228,Blue-Green Arrow,Yo La Tengo,rock,341.91628,181.22299999999998,7,7,0
229,Let's Shake Hands,The White Stripes,rock,121.41668999999999,90.334,4,4,0
230,Open Arms,Tina Turner,rock,243.53914,97.973,4,1,2004
231,See You Again,Miley Cyrus,rock,238.10567000000003,127.98299999999999,4,11,2007
232,Burn Burn,Lostprophets,rock,216.24117999999999,163.79399999999998,4,2,2003
233,Last Train Home,Lostprophets,rock,280.78975,204.248,4,7,2003
234,Initials B.B.,Mick Harvey,rock,228.44036,103.976,4,5,1995
235,Wait Till Your Boat Goes Down,XTC,rock,274.99057,89.46600000000001,3,9,1980
236,Anthem: 2002 FIFA World Cup™ Official Anthem,Vangelis,rock,271.77751,99.99600000000001,4,4,2002
237,Vampires Will Never Hurt You,My Chemical Romance,rock,326.50404,197.321,4,11,2002
238,7 Things,Miley Cyrus,rock,217.25995,107.003,4,1,2008
239,The Climb,Miley Cyrus,rock,236.85179,159.266,4,4,2009
240,In Dulci Jubilo,Mike Oldfield,rock,170.16118,116.93799999999999,4,0,1975
241,Portsmouth,Mike Oldfield,rock,120.11057,97.6,1,0,1976
242,William Tell Overture,Mike Oldfield,rock,233.61261000000002,207.827,1,5,1977
243,Last Summer,Lostprophets,rock,237.26975,151.66299999999998,4,4,2004
244,Harley Davidson,Mick Harvey,rock,164.25751,125.705,4,9,1995
245,Rock With You,Michael Jackson,rock,220.02892999999997,114.512,4,11,1979
246,Billie Jean,Michael Jackson,rock,294.97424,116.913,4,0,1982
247,Headfirst For Halos,My Chemical Romance,rock,208.16933999999998,169.791,4,2,2002
248,Thriller,Michael Jackson,rock,311.06567,118.632,4,6,1982
249,Arrival,Mike Oldfield,rock,165.61587,117.65700000000001,4,1,1980
250,Dance Hall Days,Wang Chung,rock,234.762,205.245,4,0,1982
251,Diamante,Zucchero,rock,405.78567000000004,111.471,4,5,1989
252,"Wanna Be Startin' Somethin""",Michael Jackson,rock,343.27465,213.9,5,9,1982
253,Bad,Michael Jackson,rock,246.02077000000003,114.111,4,9,1987
254,Shadow on the Wall,Mike Oldfield,rock,187.81995,85.07700000000001,4,7,1983
255,I Saw The Light,Todd Rundgren,rock,180.03546,120.458,4,10,1972
256,Crazy Train,Ozzy Osbourne,rock,368.69178999999997,144.47,4,3,1980
257,Ceremony,New Order,rock,277.83791,134.119,4,0,1981
258,Miss Independent,Kelly Clarkson,rock,560.29995,86.68799999999999,3,9,2003
259,Low,Kelly Clarkson,rock,208.61342,142.826,4,8,2003
260,Miss Independent,Kelly Clarkson,rock,560.29995,86.68799999999999,3,9,2003
261,Breakaway,Kelly Clarkson,rock,253.25669,147.924,3,2,2004
262,Hypnotize Me,Wang Chung,rock,279.14404,228.507,7,7,1986
263,Blue,Zucchero,rock,348.42077,158.13,4,9,1998
264,Baila (Sexy Thing),Zucchero,rock,247.01342000000002,119.855,4,5,2001
265,The Way You Make Me Feel,Michael Jackson,rock,297.40362999999996,85.86200000000001,3,5,1987
266,Another Part Of Me,Michael Jackson,rock,233.22077000000002,106.04899999999999,4,9,1987
267,Dirty Diana,Michael Jackson,rock,281.73016,131.319,4,5,1987
268,The Loving,XTC,rock,234.29179,103.912,4,2,1989
269,Careless Whisper,George Michael,rock,393.97832,152.731,4,2,1984
270,Reggae Got Soul,Toots & The Maytals,rock,182.80444,167.99400000000003,4,4,1976
271,Underneath Your Clothes,Shakira,rock,224.70485,82.74700000000001,3,8,2001
272,Underneath Your Clothes,Shakira,rock,224.70485,82.74700000000001,3,8,2001
273,Objection (Tango),Shakira,rock,224.52200000000002,179.486,4,7,2001
274,Over The Mountain,Ozzy Osbourne,rock,272.32608,131.297,1,0,1981
275,Flying High Again,Ozzy Osbourne,rock,302.54975,131.53,4,6,1981
276,Blue Monday,New Order,rock,269.89669,127.994,4,0,1983
277,Since U Been Gone,Kelly Clarkson,rock,186.64444,130.955,4,7,2004
278,Behind These Hazel Eyes,Kelly Clarkson,rock,178.12853,99.675,4,6,2004
279,Walk Away,Kelly Clarkson,rock,226.37669,85.325,5,0,2004
280,Never Again,Kelly Clarkson,rock,368.92689,131.991,5,5,2007
281,Don't Waste Your Time,Kelly Clarkson,rock,215.30077,121.904,4,4,2007
282,Il Grande Baboomba,Zucchero-Mousse T.,rock,222.58892999999998,125.977,4,8,2004
283,Everyday Is Like Sunday,Morrissey,rock,212.97587000000001,117.098,4,0,1988
284,Everlasting Arm,Mercury Rev,rock,288.1824,151.10399999999998,4,5,1994
285,Daydreaming,Massive Attack,rock,253.98812,196.453,4,7,1990
286,Unfinished Sympathy,Massive Attack,rock,316.15955,114.37200000000001,4,7,1991
287,Safe From Harm,Massive Attack,rock,319.03302,164.548,4,4,1991
288,Sly,Massive Attack,rock,324.70159,90.006,4,11,1994
289,What You Waiting For?,Gwen Stefani,rock,499.06892999999997,128.996,4,7,2004
290,Rich Girl,Gwen Stefani-Eve,rock,236.48608,97.984,4,1,2005
291,Hollaback Girl,Gwen Stefani,rock,199.91465,110.03,4,6,2004
292,Cool,Gwen Stefani,rock,396.87791,125.988,7,7,2004
293,A Different Corner,George Michael,rock,243.53914,99.85600000000001,5,6,1986
294,I Knew You Were Waiting (For Me),Aretha Franklin-George Michael,rock,238.00117999999998,107.941,4,11,0
295,I Want Your Sex,George Michael,rock,553.76934,99.098,4,10,1987
296,Try Honesty,Billy Talent,rock,392.04526,151.308,4,11,2001
297,Tail,Powderfinger,rock,327.10485,146.843,3,0,1994
298,The One,Shakira,rock,224.52200000000002,143.976,4,8,2001
299,Don't Bother,Shakira,rock,264.09751,130.02,4,11,2005
300,No More Tears,Ozzy Osbourne,rock,469.05424000000005,107.515,4,6,1991
301,Perry Mason,Ozzy Osbourne,rock,355.49995,135.009,3,6,1995
302,Dreamer,Ozzy Osbourne,rock,285.09995,79.575,3,1,2001
303,The Perfect Kiss,New Order,rock,288.05179,130.41,4,7,1985
304,My Life Would Suck Without You,Kelly Clarkson,rock,211.56526000000002,144.99200000000002,4,9,2009
305,I Do Not Hook Up,Kelly Clarkson,rock,200.14975,143.97,4,9,2009
306,Rough God Goes Riding,Van Morrison,rock,374.77832,71.20100000000001,4,10,1997
307,The Healing Game,Van Morrison,rock,267.83302000000003,131.186,4,0,1997
308,Who Is It,Michael Jackson,rock,393.29913999999997,103.145,4,1,1991
309,Will You Be There,Michael Jackson,rock,460.042,66.33800000000001,3,8,1991
310,Gone Too Soon,Michael Jackson,rock,201.74322,73.399,3,11,1991
311,Innocent,Mike Oldfield,rock,210.85995,141.89700000000002,4,0,1989
312,November Spawned A Monster,Morrissey,rock,323.05587,113.416,4,10,1990
313,Piccadilly Palare,Morrissey,rock,206.36688999999998,132.24200000000002,4,9,1990
314,Sing Your Life,Morrissey,rock,208.84853,117.948,5,5,1991
315,Delta Sun Bottleneck Stomp,Mercury Rev,rock,377.18158999999997,113.949,4,1,1998
316,Opus 40,Mercury Rev,rock,310.96117999999996,132.937,5,8,1998
317,Nite and Fog,Mercury Rev,rock,237.16526000000002,94.939,4,9,2001
318,The Dark Is Rising,Mercury Rev,rock,292.20526,72.44,4,0,2001
319,Little Rhymes,Mercury Rev,rock,323.81342,121.75399999999999,4,9,2001
320,Karmacoma,Massive Attack,rock,316.49914,141.123,4,4,1994
321,Risingson,Massive Attack,rock,299.36281,109.329,3,10,1997
322,Luxurious,Gwen Stefani,rock,264.93342,131.001,4,9,2004
323,Wind It Up,Gwen Stefani,rock,191.11138,120.025,4,1,2006
324,Now That You Got It,Gwen Stefani,rock,179.90485,98.429,4,9,2006
325,One More Try,George Michael,rock,353.17506000000003,117.619,3,5,1987
326,Monkey,George Michael,rock,289.4624,98.444,4,1,1987
327,Waiting For That Day,George Michael,rock,289.95873,115.057,1,0,1990
328,Too Funky,George Michael,rock,226.24607999999998,196.562,4,8,1992
329,The Ex,Billy Talent,rock,160.05178999999998,168.428,3,6,2002
330,Grave Concern,Powderfinger,rock,286.77179,166.032,4,5,1994
331,Def.Con.One,Pop Will Eat Itself,rock,255.24200000000002,118.704,4,2,1988
332,Can U Dig It?,Pop Will Eat Itself,rock,192.28689,128.001,4,10,1989
333,Wise Up Sucker,Pop Will Eat Itself,rock,203.62403999999998,96.302,4,1,0
334,The Golden Path,The Chemical Brothers-The Flaming Lips,rock,287.242,135.95600000000002,4,11,2003
335,Beautiful Liar,Beyoncé-Shakira,rock,207.35955,126.00299999999999,4,1,2007
336,She Wolf,Shakira,rock,427.93751,127.968,4,7,2009
337,Bizarre Love Triangle,New Order,rock,234.37016,118.838,4,10,1986
338,Hibernaculum,Mike Oldfield,rock,213.21097999999998,166.019,4,5,1994
339,We Hate It When Our Friends Become Successful,Morrissey,rock,162.69016000000002,149.709,4,11,1992
340,Tomorrow,Morrissey,rock,244.55791000000002,140.616,4,11,1992
341,Bruise Pristine,Placebo,rock,215.7971,176.42700000000002,1,1,1996
342,Across Yer Ocean,Mercury Rev,rock,197.72036,173.692,4,2,2005
343,Butterfly's Wing,Mercury Rev,rock,243.87873,129.989,4,0,2008
344,Early Winter,Gwen Stefani,rock,287.03302,111.97200000000001,4,11,2006
345,Fastlove,George Michael,rock,327.23546,103.661,4,10,1996
346,Older,George Michael,rock,332.93016,140.165,4,5,1996
347,You Have Been Loved,George Michael,rock,328.4371,136.726,4,4,1996
348,Red Flag,Billy Talent,rock,289.17506000000003,91.84200000000001,4,0,2005
349,Fallen Leaves,Billy Talent,rock,208.03873000000002,123.551,4,7,2006
350,Turn Your Back,Billy Talent,rock,202.21341999999999,133.711,4,11,2008
351,Rusted From The Rain,Billy Talent,rock,253.30892999999998,87.463,4,2,2009
352,Devil On My Shoulder,Billy Talent,rock,229.53751,95.914,4,9,2009
353,The Day You Come,Powderfinger,rock,240.56117999999998,162.27100000000002,4,2,1998
354,Already Gone,Powderfinger,rock,208.43057,80.093,4,9,1998
355,Passenger,Powderfinger,rock,260.93669,98.86,4,11,1998
356,My Happiness,Powderfinger,rock,276.68852999999996,115.257,5,0,2000
357,Gypsy,Shakira,rock,208.03873000000002,93.001,4,1,2009
358,I Just Want You,Ozzy Osbourne,rock,295.49669,85.705,4,5,1995
359,Fine Time,New Order,rock,285.28281,83.53399999999999,5,0,1988
360,Run 2,New Order,rock,270.70649,117.07600000000001,4,0,1989
