SongNumber,AlbumName,ArtistName,Danceability,Duration,KeySignature,Tempo,TimeSignature,Title,Year
34,"b'Gone To Earth'","b'David Sylvian'",0.0,334.00118,11,122.311,4,"b'The Healing Place (2003 Digital Remaster)'",1986
35,"b'Long Lost Friend:  The Best of Dave Mason'","b'Dave Mason'",0.0,184.13669,5,148.243,4,"b'Every Woman'",1976
36,"b'LP ESB'","b'East Side Beat'",0.0,232.04526,11,120.0,4,"b'Everybody Wants To Rule The World'",0
37,"b'Magnya Carta'","b'An Cafe'",0.0,210.75546,1,150.03,4,"b'Pipopapo Telpathy'",0
38,"b'O Samba E Mais Samba Com Walter Wanderley'","b'Walter Wanderley'",0.0,176.92689,5,136.469,4,"b'Nossos Momentos (2006 Digital Remaster)'",0
39,"b'Halfway Down The Sky'","b'Splender'",0.0,239.35955,9,90.808,4,"b'Wallflower'",1999
40,"b'Soft Focus'","b'Duplex'",0.0,180.50567,4,141.239,4,"b'In Between Days'",0
41,"b'Relax. Tai Chi'","b'Relax'",0.0,259.63057,9,126.397,4,"b"Flower's Love"",0
42,"b'FanTastic'","b'Toy-Box'",0.0,184.2673,1,139.003,4,"b'The Sailor Song'",1999
43,"b'Dirk Wears White Sox (Remastered)'","b'Adam & The Ants'",0.0,159.03302,4,95.896,1,"b'Family Of Noise'",1979
44,"b'Metal Law'","b'Majesty'",0.0,664.0322,0,152.555,3,"b'Falcon In The Storm'",0
45,"b'Now'","b'Kyle Eastwood'",0.0,207.20281,4,100.175,4,"b"How Y' All Doin'"",2006
46,"b'Carmen Suite Nr.1 & 2 - Karneval der Tiere'","b'Camille Saint-Sa\xc3\xabns'",0.0,86.20363,5,132.66,7,"b'Karneval der Tiere - Deux poules et coque/Cock And Hen'",0
47,"b'The Grinning Corpse Who Went To Town'","b'The Bitter Tears'",0.0,206.21016,0,145.48,1,"b'Marriage Hole'",0
48,"b'Let There Be Blurt Volume 1: The Fish Needs a Bike'","b'Blurt'",0.0,194.0371,0,145.529,4,"b'Down the Argentine (ORIGINAL)'",0
49,"b'Normal Service Resumed'","b'U.K. Subs'",0.0,116.1922,4,103.971,1,"b'Fear of Girls (Live in Croatia_ 1993)'",1993
50,"b'No Silence'","b'ATB'",0.0,316.05506,5,64.532,4,"b'Wait For Your Heart'",2004
51,"b'Hard'","b'Jagged Edge'",0.0,298.89261,5,130.778,4,"b"I Don't Wanna"",2003
52,"b'Popjazz'","b'Warren Hill'",0.0,246.46485,5,124.017,4,"b'Low Rider'",2005
53,"b'The Nine'","b'Oscar Mulero'",0.0,393.61261,11,136.978,3,"b'Friday Thirteen'",2003
54,"b'The Very Best Of D.J. Jazzy Jeff & The Fresh Prince'","b'DJ Jazzy Jeff & The Fresh Prince'",0.0,296.12363,2,107.957,4,"b'I Think I Can Beat Mike Tyson'",0
55,"b'Para'","b'Para'",0.0,175.59465,0,85.998,4,"b'Abstinent'",2007
56,"b'En hand i himlen'","b'Jonathan Johansson'",0.0,248.89424,6,120.093,4,"b'En hand i himlen'",2008
57,"b'Klappe die 2te/4 Bonus Tracks'","b'Tic Tac Toe'",0.0,228.54485,7,70.462,3,"b'Mr. Wichtig'",1997
58,"b'Hymns Of Worship'","b'Fernando Ortega'",0.0,130.76853,6,55.619,1,"b'Pass Me Not (LP Version)'",2003
59,"b'The Doldrums'","b"Ariel Pink's Haunted Graffiti"",0.0,137.84771,3,134.083,1,"b'Crying'",2004
60,"b'Mega 3'","b'The Winans'",0.0,239.38567,3,113.799,4,"b"Don't Be Deceived"",0
61,"b'Gato Negro Drag\xc3\xb3n Rojo'","b'Amaral'",0.0,213.05424,11,87.851,4,"b'El Blues De La Generaci\xc3\xb3n Perdida'",2008
62,"b'Crownsdown'","b'themselves'",0.0,195.18649,6,116.915,4,"b'Oversleeping'",2009
63,"b'La Gente Arriba'","b'Karamelo Santo'",0.0,173.68771,1,144.074,5,"b'La Suerte Dub'",2006
64,"b'Wrong Galaxy/Triumph'","b'Shit Robot'",0.0,518.24281,9,81.342,3,"b'Wrong Galaxy'",2006
65,"b'Rafta Rafta'","b'Niraj Chag'",0.0,109.92281,9,114.993,4,"b'Eeshwar'",0
66,"b'No Return - Live!'","b'One Way System'",0.0,143.77751,4,181.666,4,"b'Forgotten Generation'",1983
67,"b'skate.'","b'ZTrip'",0.0,302.602,10,119.948,4,"b'Addison Faceplant'",0
68,"b'I Wrote the Last Chapter for You'","b'Edaline'",0.0,415.00689,2,97.66,4,"b'Crisis in Silence'",0
69,"b"What's Going On"","b'Everette Harp'",0.0,178.28526,10,92.236,4,"b"What's Happening Brother"",0
70,"b'React'","b'The Fixx'",0.0,275.56526,9,125.917,4,"b'Red Skies'",1982
71,"b'Inches'","b'Les Savy Fav'",0.0,260.23138,5,118.361,1,"b'Our Coastal Hymn'",2004
72,"b'There It Is'","b'911'",0.0,218.01751,0,129.699,4,"b"Don't Take Away The Music"",0
73,"b'Aliens In The Attic'","b'John Debney'",0.0,66.69016,9,120.306,4,"b'Nate And Family Arrive'",2009
74,"b'Bahmut'","b'Hazmat Modine'",0.0,84.87138,2,90.894,1,"b'Ugly Rug'",2006
75,"b'Newcomer'","b'Llorca'",0.0,413.6224,7,83.342,3,"b'Lights Behind Windows'",2001
76,"b'4-Da Green (Leaned & Chopped)'","b'Al-D'",0.0,397.06077,1,109.618,3,"b'Long Live 83rd'",0
77,"b'The Music Makes Me Sick'","b"It's A Musical"",0.0,178.99057,1,145.305,4,"b'What All People Know'",2008
78,"b'Valio La Pena'","b'Marc Anthony;Jennifer Lopez'",0.0,331.28444,8,89.488,4,"b'Escap\xc3\xa9monos'",0
79,"b'Knock-Knock Who?'","b'Kimya Dawson'",0.0,133.74649,0,111.381,1,"b'The Sound of Ataris'",2004
80,"b'Legends Of Monta: Part I'","b'Odd Logic'",0.0,252.21179,0,86.819,5,"b'Darkness Of Dreams'",0
81,"b'Morao Morao'","b'Mora\xc3\xadto'",0.0,254.74567,7,163.77,1,"b'El Zambo'",0
82,"b'Every Shade of Blue'","b'Roy Roberts'",0.0,189.93587,5,114.512,4,"b"Let's Wrap Up"",1997
83,"b'The Road To Hell And Back'","b'Chris Rea'",0.0,308.45342,2,168.932,1,"b'Josephine'",1985
84,"b'Distinto_ Diferente'","b'Afro-Cuban All Stars'",0.0,350.32771,5,191.364,3,"b'Warariansa'",1999
85,"b'Some Things I Know'","b'Buddy Miller / Julie Miller / Lee Ann Womack'",0.0,243.74812,11,74.233,4,"b"Don't Tell Me"",0
86,"b'Prive'","b'Luis Alberto Spinetta'",0.0,251.03628,7,136.846,4,"b'Alfil_ Ella No Cambia Nada'",0
87,"b'Grande Finale'","b'Bj\xc3\xb6rn Afzelius'",0.0,356.23138,9,57.19,3,"b'The Night They Drove Old Dixie Down (Live)'",0
88,"b'Con paso sensual'","b'Banda Peque\xc3\xb1os Musical'",0.0,182.49098,10,120.112,4,"b'Poco loco'",0
89,"b'Harmonia Pt.II'","b'Pitch Black'",0.0,366.39302,10,130.956,4,"b'Harmonia'",0
90,"b'Tribe'","b'Luka Bloom'",0.0,247.77098,10,87.944,4,"b'Lebanon'",2008
91,"b'A Centenary Celebration'","b'Adelaide Hall'",0.0,189.09995,0,59.083,3,"b'You Gave Me Everything But Love'",1993
92,"b'A New Dope'","b'7L & Esoteric'",0.0,186.77506,1,117.565,4,"b'Get Dumb'",2006
93,"b'Hardcore Roots'","b'Pressure'",0.0,93.57016,6,112.829,3,"b'Real Situation'",0
94,"b'Take'","b'Roe-Deer'",0.0,203.59791,2,153.446,4,"b'Violence (Breath control)'",0
95,"b'Day Of Colours'","b'Rizwan-Muazzam Qawwali'",0.0,652.64281,5,149.172,3,"b'Sweet Flute (Morey-Makhdoom-Sabir)'",2004
96,"b'Bootlegs & Remixes Vol 1'","b'Swayzak'",0.0,448.91383,11,127.932,4,"b'State of Grace (French mix)'",0
97,"b'We Are Shampoo'","b'Shampoo'",0.0,144.1171,8,158.095,4,"b"We Don't Care"",1994
98,"b'Live At The Gypsy Tea Room'","b'Sivion'",0.0,370.18077,6,131.289,7,"b'Deepspace 5 Medley (Neotropolis)'",0
99,"b'Bring It Back Alive'","b'The Outlaws'",0.0,1258.05669,4,194.963,4,"b'Green Grass And High Tides'",0
100,"b'A Lua Sabe Quem Eu Sou'","b'Sandra De S\xc3\xa1'",0.0,227.44771,9,124.372,4,"b'Telefone'",1996
101,"b'Castleton Ave'","b'Solomon Childs'",0.0,228.70159,7,72.227,4,"b'Wont Let Em'",0
102,"b'His Greatest'","b'Eldridge Holmes'",0.0,191.86893,6,86.184,3,"b'Love Problem'",0
103,"b"Murphy's Law"","b'Murphy Lee / Zee'",0.0,268.90404,1,92.043,4,"b'Murphy Lee'",2003
104,"b'Live Guard Sessions'","b'Sarah Vaughan'",0.0,173.11302,5,100.954,4,"b'Four Brothers'",0
105,"b'So Good'","b'Robi Zonca'",0.0,278.72608,0,96.003,4,"b'Feel Like Dancing'",0
106,"b'T.I.M.E.'","b'Leaders Of The New School'",0.0,263.88853,7,97.292,4,"b'The End Is Near (LP Version)'",1993
107,"b'Start From Zero'","b'Love or Perish'",0.0,200.30649,7,88.45,4,"b'Walls'",0
108,"b'Wonderful Educated Bear'","b'Heros Severum'",0.0,209.65832,6,226.22,4,"b'Bear in the Circus'",0
109,"b'Esperanza'","b'Esperanza Spalding / Leo Genovese'",0.0,345.5473,5,171.99,7,"b'Love In Time'",2008
110,"b'Sweet Dreams'","b'The Philadelphia Orchestra'",0.0,238.99383,0,121.428,5,"b'Notturno (from Lyric Suite)'",0
111,"b"What's in the Bag?"","b'Marshall Crenshaw'",0.0,244.76689,9,121.837,4,"b'From Now Until Then'",2003
112,"b'111 (Ciento Once)'","b'Tiziano Ferro'",0.0,259.70893,7,101.848,4,"b'Ciento Once'",0
113,"b'Next Start'","b'Robert Armani'",0.0,284.9171,7,160.027,4,"b'160 KM'",0
114,"b'Storm in the Garage'","b'Intruders'",0.0,171.07546,0,143.619,4,"b'Total Raunch'",0
115,"b'Smooth Jazz: Sax At Midnight'","b'Streetwize'",0.0,292.64934,1,185.93,7,"b'Little Things'",0
116,"b'Columbia Original Masters'","b'Louis Armstrong Hot Seven'",0.0,178.02404,5,203.703,1,"b'Weary Blues'",0
117,"b'No Punches Pulled'","b'Swiz'",0.0,150.77832,4,173.215,1,"b'Lie'",1988
118,"b'Nod to the Old School'","b'Armored Saint'",0.0,312.99873,8,159.914,4,"b'After Me_ The Flood'",0
119,"b'Mr. Sad Clown'","b'BoDeans'",0.0,216.08444,9,147.944,4,"b'Back Then'",2010
120,"b'Spirit in Stone'","b'Lifesavas'",0.0,279.7971,3,92.622,4,"b"Livin' Time/Life: Movement 1 + Livin' Lude"",2003
121,"b'Sticksman'","b'Skitz'",0.0,372.1922,1,143.973,4,"b'Rainy Day Science (feat. Taskforce & Juni)'",0
122,"b'Clatterbeats Two'","b'Clatterbox'",0.0,116.97587,10,116.014,4,"b'Groovor'",0
123,"b'Guerre De Rue (Single)'","b'Washington'",0.0,172.19873,3,231.943,4,"b'Guerre De Rue'",0
124,"b'25th Anniversary of House Music'","b'Marshall Jefferson vs. Jesse Saunders'",0.0,345.46893,7,122.001,4,"b'Move Your Body'",1986
125,"b'Road To Rio / Larger Than Life'","b'The Hollywood Fats Band'",0.0,300.61669,5,178.504,1,"b'Nasty Boogie Woogie'",0
126,"b'Breaking Benjamin_ The String Quartet Tribute to'","b'Vitamin String Quartet'",0.0,258.87302,0,153.967,4,"b'So Cold'",2006
127,"b'Buon compleanno Elvis'","b'Ligabue'",0.0,212.27057,7,159.151,4,"b'Il cielo \xc3\xa8 vuoto o il cielo \xc3\xa8 pieno'",1995
128,"b'Inventarse El Mundo'","b'Estirpe'",0.0,203.88526,4,160.185,4,"b'Ven A Respirar'",0
129,"b'I Eat Cannibals'","b'Toto Coelo'",0.0,246.20363,0,148.899,4,"b'I Eat Cannibals (Part 2)'",1996
130,"b'Country Gospel'","b'Hopeton Lewis'",0.0,270.49751,5,146.034,3,"b'Lord Send Your Angels'",0
131,"b'Secluded'","b'Spare Lead'",0.0,132.07465,9,116.942,1,"b'Rearranged'",0
132,"b'Survival'","b'Born From Pain'",0.0,132.67546,9,180.016,1,"b'Endgame'",2008
133,"b'Best Of Dwarf Records'","b'DJ Isaac'",0.0,599.24853,1,94.535,4,"b'Hardcore From The Underland'",0
134,"b'Here I Am'","b'Hydro'",0.0,222.09261,1,128.001,5,"b'Peepin Through Da Fog'",0
135,"b'30 Pegaditas de el Gringo de la Bachata: Lo Nuevo Y Lo Mejor'","b'El Gringo De La Bachata'",0.0,200.59383,1,119.884,4,"b'Algo Mas Real'",0
136,"b'La Hora Del Tiempo'","b'Monocordio'",0.0,304.32608,10,92.985,4,"b'Chamakee Cherokee'",0
137,"b'Thank You'","b'Stone Temple Pilots'",0.0,228.96281,7,134.982,4,"b'Down (LP Version)'",2003
138,"b'Deli'","b'Victor D\xc3\xa9m\xc3\xa9'",0.0,280.5024,9,104.701,4,"b'K\xc3\xa9eba Sekouma'",0
139,"b'The_Nineteen_Floors'","b'Arc_Lab'",0.0,167.00036,0,178.879,1,"b'Process_Blocks'",0
140,"b'Happy Children 2K'","b'P.Lion'",0.0,360.69832,0,112.982,4,"b'Happy Children'",1984
141,"b'Desensitized'","b'Pitchshifter'",0.0,270.00118,0,93.987,4,"b'Triad'",1993
142,"b'Auf Der Autobahn Zur H\xc3\xb6lle'","b'Schweisser'",0.0,269.322,6,86.336,1,"b'Kaffeefahrt'",1990
143,"b'Live From The 9:30 Club'","b'Mint Condition'",0.0,293.66812,5,97.748,4,"b'Call Me'",1999
144,"b'Second War In Heaven'","b'Seven Witches'",0.0,187.50649,10,135.04,1,"b'Second War In Heaven'",1999
145,"b'Vietnam'","b'Floh De Cologne'",0.0,89.5473,6,51.261,4,"b'Einf\xc3\xbchrung'",1968
146,"b'Too Much To Do'","b'Sparkadia'",0.0,193.41016,10,150.447,4,"b'Too Much To Do'",2008
147,"b"Le Meilleur Des Choeurs De L'Arm\xc3\xa9e Rouge (40 Titres Remasteris\xc3\xa9s)"","b"Les Choeurs De L'Arm\xc3\xa9e Rouge (Alexandrov)"",0.0,168.07138,8,108.932,4,"b'Soldats_ Gar\xc3\xa7ons Braves - Soliste : E. Tsekinovski'",0
148,"b'Dil Kya Kare'","b'Sukhwinder Singh;Jaspinder Narula'",0.0,352.62649,11,99.015,4,"b'Menu Lagan Lagi'",0
149,"b'Three'","b'Sugababes'",0.0,262.81751,4,95.989,3,"b'Buster'",2003
150,"b'Noitumaa'","b'Ajattara'",0.0,203.78077,7,100.068,3,"b'Lammas'",2009
151,"b'The Big Hurt'","b'Toni Fisher'",0.0,166.19057,10,81.594,4,"b'Blue_ Blue_ Blue'",0
152,"b'Food Instrumentals'","b'Chester P'",0.0,227.73506,11,169.625,4,"b'The Wiccaman theory'",0
153,"b'Waiting for the Time To Be Right'","b'The Brother Kite'",0.0,261.14567,2,130.507,4,"b'The Coat of Arms'",2006
154,"b'Close Companions'","b'D.C. Anderson'",0.0,184.00608,2,91.384,1,"b'This Crying'",0
155,"b'White Christmas'","b'Matt Belsante'",0.0,214.77832,1,123.3,4,"b'Home For The Holidays (White Christmas Album Version)'",0
156,"b'Ultra-Lounge / Organs In Orbit  Volume Eleven'","b'Shay Torrent'",0.0,114.65098,7,130.14,1,"b'Flying Fiddles (1996 Digital Remaster)'",0
157,"b'Worst Band Name Ever'","b'Up Up Down Down Left Right Left Right B A Start'",0.0,165.45914,11,177.049,3,"b'128 Cayuga St.'",2007
158,"b'Free Somehow'","b'Widespread Panic'",0.0,315.50649,9,91.981,3,"b'Tickle The Truth'",2008
159,"b'Totalski No Problemski'","b'Maanam'",0.0,284.78649,9,151.078,3,"b'Elektrospiro Contra Zanzara (Live 1984)'",0
160,"b'What It Means (Premiere Performance Plus Track)'","b'Jeremy Camp'",0.0,220.49914,6,115.986,4,"b'What It Means (Medium Key-Premiere Performance Plus w/o Background Vocals)'",0
161,"b'Immunity'","b'Rupert Hine'",0.0,301.81832,7,114.575,4,"b'I Hang On To My Vertigo'",1982
162,"b'Make Up The Breakdown'","b'Hot Hot Heat'",0.0,190.22322,9,143.621,4,"b'Naked In The City Again'",2002
163,"b"Tutto L'Amore Che Ti Manca"","b'Julio Iglesias'",0.0,248.21506,11,182.762,5,"b'Un Padre Come Me'",0
164,"b'Defected Accapellas Volume 10'","b'Julien Jabre'",0.0,400.27383,8,179.535,1,"b'Vicious Circle [Accapella] (Album)'",0
165,"b'No Looking Back'","b'Damita'",0.0,249.80853,2,160.04,4,"b'Pray (Album Version)'",0
166,"b'El hombre extra\xc3\xb1o'","b'S\xc3\xadntesis'",0.0,356.96281,5,161.578,4,"b'El d\xc3\xada que no importaba'",0
167,"b'Time To Move'","b'H-Blockx'",0.0,169.03791,9,122.671,4,"b'Go Freaky'",1994
168,"b'On The Sentimental Side'","b'Billie Holiday'",0.0,204.43383,7,143.309,4,"b'Georgia On My Mind'",1993
169,"b'Last Of The Sharpshooters'","b'Down By Law'",0.0,129.2273,9,190.886,1,"b'The Last Goodbye'",1997
170,"b'The Kilimanjaro Darkjazz Ensemble'","b'The Kilimanjaro Darkjazz Ensemble'",0.0,287.99955,7,180.071,5,"b'Guernican Perspectives'",2006
171,"b'Pilluminati Cunt Roll'","b'Texas Faggott'",0.0,265.53424,11,151.977,4,"b'Lazerlove'",2004
172,"b"Ridin' By"","b'Natalia'",0.0,307.98322,7,121.431,4,"b'You Are'",0
173,"b'The Anthology'","b'Alvin Lee'",0.0,224.96608,5,101.731,4,"b'Back in My Arms Again'",0
174,"b'Holly And The Italians'","b'Holly Beth Vincent'",0.0,141.5571,2,93.966,4,"b'Just Like Me'",0
175,"b'Inselwissen'","b'Captain Planet'",0.0,146.93832,6,111.478,1,"b'Hans Dampf'",2009
176,"b'Dr Love'","b'Bumblebeez'",0.0,254.53669,8,100.937,4,"b'Dr Love'",0
177,"b'Be With'","b'Koushik'",0.0,26.53995,7,136.835,4,"b'Take It Back (Interlude)'",2005
178,"b'Dlja tebja'","b'Quest Pistols'",0.0,217.57342,1,142.034,4,"b"Bud' so mnoj"",0
179,"b'Secret Words & Little Treasures'","b'Dark Distant Spaces'",0.0,274.02404,1,162.843,4,"b'Remote Control'",0
180,"b"Ain't No Saint"","b'John Martyn'",0.0,215.35302,2,143.023,1,"b'Go Down Easy'",1973
181,"b'TCHAIKOVSKY: Suite No. 4 / The Seasons'","b'Neeme Jarvi'",0.0,65.20118,7,91.485,1,"b'Suite No. 4 in G major_ Op. 61_ "Mozartiana": IV. Variation 5 \x14'",0
182,"b'Honolulu'","b'Die Aeronauten'",0.0,210.80771,11,160.055,4,"b'In Vern\xc3\xbcnftigen Grenzen'",1998
183,"b'A Song Of Home:  An American Musical Journey'","b'James Galway'",0.0,285.07383,2,98.809,4,"b'The West Texas Waltz'",0
184,"b"Something's Gonna Happen"","b'Ronnie Spector'",0.0,179.48689,11,160.012,4,"b"Something's Gonna Happen"",0
185,"b'The Last Communique From The Weathermen ?'","b'The Weathermen'",0.0,206.2624,5,106.062,4,"b'Timebomb Benny (Remastered)'",0
186,"b'Tous mes succ\xc3\xa8s'","b'Johnny Cash'",0.0,164.96281,4,93.226,1,"b'Next In Line'",1957
187,"b'Romantic Panpipes Suspicious Minds'","b'Panpipes'",0.0,198.00771,10,126.67,4,"b'Can You Feel The Love Tonight'",0
188,"b'Steal Vybe Presents. Track 2 The Future'","b'Steal Vybe'",0.0,359.8624,10,125.19,4,"b'The Luscious Queen'",0
189,"b'Underwater Sunlight'","b'Tangerine Dream'",0.0,262.29506,2,199.948,4,"b'Scuba Scuba'",1986
190,"b'Buck Dharma'","b'Wooden Wand And The Vanishing Voice'",0.0,160.96608,5,108.312,1,"b"Steven the Harvester Presides O'er the Din of the The-The Cups"",2005
191,"b'From Finish to Starting Line'","b'Counterfit'",0.0,283.58485,1,147.833,4,"b'Shatter Proof'",0
192,"b'Thanksgiving'","b'Boo Hewerdine'",0.0,178.6771,7,110.92,4,"b'Homesick Son'",1999
193,"b'Modus Vivendi Music Vol. 2'","b'Monta'",0.0,324.98893,1,119.981,4,"b'Disappointment (Solus Remix)'",0
194,"b"Dap-Dippin' With&"","b'Sharon Jones & The Dap-Kings'",0.0,196.362,10,113.351,4,"b'What Have You Done For Me Lately?'",2002
195,"b'Christie'","b'Christie'",0.0,207.12444,9,123.98,4,"b'Johnny One Time'",1970
196,"b"It's Not Over"","b'Leroy Sibbles'",0.0,226.76853,11,157.007,4,"b"Don't Give Up"",0
197,"b'Fiorella Mannoia - I Miti'","b'Fiorella Mannoia'",0.0,242.23302,1,70.531,4,"b'Quello Che Le Donne Non Dicono'",1992
198,"b'Twinkle Love Songs_ Volume Two'","b'The Twinkle Brothers'",0.0,204.12036,7,130.519,4,"b"I Won't Lie"",0
199,"b'Re-Orders of Skill'","b'Future Funk Squad'",0.0,300.53832,0,134.028,4,"b'Chris carter'",2009
200,"b'I\'m N Luv (Wit A Stripper) 2 - "Tha Remix" featuring R. Kelly_ Pimp C (f UGK)_ Too $hort_ MJG (of Eightball & MJG)_ Twista &  Paul Wall'","b'T-Pain featuring R. Kelly_ Pimp C (of UGK)_ Too $hort_ MJG (of Eightball & MJG)_ Twista &  Paul Wall'",0.0,363.41506,7,96.627,5,"b'I\'m N Luv (Wit A Stripper) 2 - "Tha Remix" featuring R. Kelly_ Pimp C (f UGK)_ Too $hort_ MJG (of Eightball & MJG)_ Twista &  Paul Wall'",0
201,"b'Catch The Wind'","b'We Five'",0.0,259.63057,0,66.374,4,"b'Milkcow Blues (Album Version)'",0
202,"b'Forever More'","b'Moloko'",0.0,421.79873,9,103.036,4,"b'Take My Hand'",2003
203,"b'18 CANDLES: THE EARLY YEARS'","b'Silverstein'",0.0,214.04689,7,150.13,3,"b'MY HERIONE (Acoustic Version)'",2006
204,"b'Helium'","b'Tin Hat Trio'",0.0,44.59057,0,86.826,1,"b'Scrap'",2000
205,"b'Magnifico!'","b'Alex Cortiz'",0.0,314.98404,7,89.902,4,"b'Room 505'",1998
206,"b'Desde mi barrio'","b'Andy & Lucas'",0.0,207.62077,0,96.002,5,"b'Quiero Ser Tu Sue\xc3\xb1o'",2005
207,"b'Southern Soul & Party Blues Vol. 1'","b'Gwen McCrae_ Frank-O'",0.0,275.87873,7,126.779,4,"b'Long Way Home'",0
208,"b'Peredition City'","b'Ulver'",0.0,288.02567,4,138.187,3,"b'Nowhere/Catastrophe'",2000
209,"b'First Choice Records - 12" Collection Vol. 2'","b'isis'",0.0,404.71465,2,140.028,4,"b'XTC'",0
210,"b'Velvet Noise'","b'RAUNCHY'",0.0,234.05669,7,136.121,1,"b'Out Of Sight'",2002
211,"b'Guilty Of Sloth'","b'Sofa King Killer'",0.0,352.10404,8,125.896,4,"b'so was red'",2000
212,"b'La vie va si vite (Live)'","b'Claire Elzi\xc3\xa8re'",0.0,235.54567,10,97.671,4,"b'Il fait d\xc3\xa9j\xc3\xa0 (Live)'",0
213,"b'Greatest Hits'","b'Junior Kelly'",0.0,202.29179,1,133.299,4,"b'Africa Bound'",2008
214,"b'Wide Wide World'","b"Erin O'Donnell"",0.0,247.69261,9,96.127,4,"b'You Were The One (Wide Wide World Album Version)'",0
215,"b'Born Under'","b'Martin Zellar'",0.0,242.05016,7,177.462,4,"b"Something's Gotta Happen (Album Version)"",1994
216,"b'Welcome To Norway'","b'Black Debbath'",0.0,265.7171,5,124.448,4,"b'The Four Big Ones (Essential Authors And Works)'",2001
