id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year
145,b243099,a361,Beat It,Fall Out Boy,2008,Beat It,Fall Out Boy-John Mayer,2008
148,b492806,a402,Rise & Shine,The Cardigans,1994,Rise & Shine,The Cardigans,1994
156,b280238,a434,Silver Rocket,Sonic Youth,1988,Silver Rocket,Sonic Youth,1988
157,b581247,a435,Kool Thing,Sonic Youth,1990,Kool Thing,Sonic Youth,1990
167,b216125,a442,The Astronaut,Something Corporate,2002,The Astronaut,Something for Kate,2000
168,b471100,a451,Illuminate,Orbital,2001,Illuminate,Orbital,2001
172,b758586,a472,Footloose,Kenny Loggins,1984,Footloose,Kenny Loggins,1984
182,b565497,a492,Interlude,Morrissey And Siouxsie,1997,Interlude,Morrissey,1994
194,b782532,a537,Sick & Tired,The Cardigans,1994,Sick & Tired,The Cardigans,1994
196,b26793,a538,Carnival,The Cardigans,1995,Carnival,The Cardigans,1995
203,b288874,a543,All I Really  Want To Do,The Byrds,0,All I Really Want to Do,The Byrds,1965
205,b74202,a544,Mr. Tambourine Man,The Barbarians,0,Mr. Tambourine Man,The Byrds,1965
209,b43367,a562,Burning Down The House,Talking Heads,1983,Burning Down the House,Talking Heads,1983
211,b447273,a565,And She Was,Talking Heads,1985,And She Was,Talking Heads,1985
215,b783871,a568,Youth Against Fascism,Sonic Youth,1992,Youth Against Fascism,Sonic Youth,1992
216,b335248,a569,Sugar Kane,Sonic Youth,1992,Sugar Kane,Sonic Youth,1993
221,b606621,a602,The Sound Of Silence,Simon & Garfunkel,1964,The Sound of Silence,Simon & Garfunkel,1965
225,b62963,a614,Danger Zone,Kenny Loggins,1986,Danger Zone,Kenny Loggins,1986
227,b187627,a629,Stand Back,Stevie Nicks,1983,Stand Back,Stevie Nicks,1983
228,b599794,a632,Valerie,Steve Winwood,1982,Valerie,Steve Winwood,1987
236,b475748,a684,Lovefool,The Cardigans,1996,Lovefool,The Cardigans,1996
242,b406803,a685,Been It,The Cardigans,1996,Been It,The Cardigans,1996
244,b213117,a686,Your New Cuckoo,The Cardigans,1996,Your New Cuckoo,The Cardigans,1997
246,b256327,a687,My Favourite Game,The Cardigans,1998,My Favourite Game,The Cardigans,1998
250,b57686,a689,Hanging Around,The Cardigans,1998,Hanging Around,The Cardigans,1999
255,b435502,a706,The Diamond Sea,Sonic Youth,1995,The Diamond Sea,Sonic Youth,1995
259,b71378,a711,Oh Kamikaze,Something For Kate,2006,Oh Kamikaze,Something for Kate,2006
263,b150026,a713,The Futurist,Something For Kate,2007,The Futurist,Something for Kate,2007
265,b762940,a731,Mandinka,Sin\xc3\xa9ad O'Connor,1987,Mandinka,Sinéad O’Connor,1987
267,b661495,a735,How Can I?,Steve Hackett,1978,How Can I?,Steve Hackett,1978
268,b788122,a741,Fakin' It,Simon & Garfunkel,1968,Fakin' It,Simon & Garfunkel,1967
270,b641448,a742,Mrs. Robinson,Simon & Garfunkel,1968,Mrs. Robinson,Simon & Garfunkel,1968
273,b249578,a743,The Boxer,Simon & Garfunkel,1969,The Boxer,Simon & Garfunkel,1969
275,b520623,a744,Bridge Over Troubled Water,Simon & Garfunkel,1970,Bridge Over Troubled Water,Simon & Garfunkel,1970
281,b249578,a746,The Boxer,Simon & Garfunkel,1969,The Boxer,Simon & Garfunkel,1992
283,b122302,a753,Hey Nineteen,Steely Dan,1980,Hey Nineteen,Steely Dan,1980
284,b352492,a763,We Built This City,Starship,1985,We Built This City,Starship,1985
308,b364469,a815,For What It's Worth,The Cardigans,2003,For What It's Worth,The Cardigans,2003
309,b567565,a845,The Big Heat,Stan Ridgway,1985,The Big Heat,Stan Ridgway,1985
311,b783243,a850,The Emperor's New Clothes,Sin\xc3\xa9ad O'Connor,1990,The Emperor's New Clothes,Sinéad O’Connor,1990
313,b264856,a851,Three Babies,Sin\xc3\xa9ad O'Connor,1990,Three Babies,Sinéad O’Connor,1990
328,b271845,a857,Clocks - The Angel Of Mons,Steve Hackett,1979,Clocks - The Angel of Mons,Steve Hackett,1979
329,b762654,a866,Nothing\x19s Gonna Stop Us Now,Starship,0,Nothing's Gonna Stop Us Now,Starship,1987
336,b131567,a870,Sometimes It's A Bitch,Stevie Nicks,1991,Sometimes It's a Bitch,Stevie Nicks,—
337,b322953,a871,Whole Lotta Trouble,Stevie Nicks,1989,Whole Lotta Trouble,Stevie Nicks,—
344,b258999,a904,Camouflage,Stan Ridgway,1985,Camouflage,Stan Ridgway,1986
345,b181697,a905,Walkin' Home Alone,Stan Ridgway,1985,Walkin’ Home Alone,Stan Ridgway,1986
346,b609413,a924,Don't Cry For Me Argentina,Sin\xc3\xa9ad O'Connor,1992,Don't Cry for Me Argentina,Sinéad O’Connor,1992
347,b312303,a925,You Made Me The Thief Of Your Heart,Sinead O'Connor,1994,You Made Me the Thief of Your Heart,Sinéad O’Connor,1994
348,b81305,a926,Fire On Babylon,Sin\xc3\xa9ad O'Connor,1994,Fire on Babylon,Sinéad O’Connor,1994
349,b207172,a947,Never Lose That Feeling,Swervedriver,1993,Never Lose That Feeling,Swervedriver,1993
351,b117996,a948,Duel,Swervedriver,1992,Duel,Swervedriver,1993
352,b31934,a982,Song For Whoever,The Beautiful South,1989,Song for Whoever,The Beautiful South,1989
355,b34799,a1003,Mansize Rooster,Supergrass,1995,Mansize Rooster,Supergrass,1995
357,b813078,a1004,Lose It,Supergrass,1995,Lose It,Supergrass,1995
358,b204186,a1005,Lenny,Supergrass,1995,Lenny,Supergrass,1995
367,b158154,a1020,Haunted,Shane MacGowan And The Popes,1995,Haunted,Shane MacGowan-Sinéad O’Connor,1995
369,b7266,a1055,The Hitcher,Swervedriver,1993,The Hitcher,Swervedriver,2008
370,b667935,a1080,Everyday Now,Texas,1989,Everyday Now,Texas,1989
372,b554062,a1089,What I Got,Sublime,0,What I Got,Sublime,1996
375,b707860,a1115,You Keep It All In,The Beautiful South,1989,You Keep It All In,The Beautiful South,1989
378,b561053,a1116,I'll Sail This Ship Alone,The Beautiful South,1989,I'll Sail This Ship Alone,The Beautiful South,1989
381,b758341,a1117,A Little Time,The Beautiful South,1990,A Little Time,The Beautiful South,1990
382,b668570,a1119,Let Love Speak Up Itself,The Beautiful South,1990,Let Love Speak Up Itself,The Beautiful South,1991
388,b631318,a1144,Alright,Supergrass,1995,Alright,Supergrass,1995
391,b524533,a1147,Sun Hits The Sky,Supergrass,1997,Sun Hits the Sky,Supergrass,1997
393,b631589,a1165,Tears From The Moon,Conjure One,2002,Tears From the Moon,Conjure One-Sinéad O’Connor,2002
395,b272352,a1218,I Don't Want A Lover,Texas,1989,I Don't Want a Lover,Texas,1989
397,b516182,a1223,What Evil Lurks,The Prodigy,1991,What Evil Lurks,The Prodigy,1991
399,b108997,a1261,Jumping Someone Else's Train,The Cure,1979,Jumping Someone Else’s Train,The Cure,1979
400,b625939,a1262,A Forest,The Cure,1980,A Forest,The Cure,1980
401,b501993,a1263,Primary,The Cure,1981,Primary,The Cure,1981
405,b456542,a1264,Charlotte Sometimes,The Cure,1981,Charlotte Sometimes,The Cure,1981
406,b44667,a1270,Old Red Eyes Is Back,The Beautiful South,1991,Old Red Eyes Is Back,The Beautiful South,1991
407,b213884,a1271,We Are Each Other,The Beautiful South,1992,We Are Each Other,The Beautiful South,1992
408,b538215,a1273,36D,The Beautiful South,1992,36D,The Beautiful South,1992
409,b542267,a1275,"Everybody's Talkin""",The Beautiful South,1994,Everybody's Talkin',The Beautiful South,1994
416,b37831,a1287,Gentlemen,The Afghan Whigs,1993,Gentlemen,The Afghan Whigs,1993
418,b479264,a1292,66,The Afghan Whigs,1998,66,The Afghan Whigs,1999
420,b561712,a1297,Moving,Supergrass,1999,Moving,Supergrass,1999
433,b753842,a1299,Grace,Supergrass,2002,Grace,Supergrass,2002
435,b256521,a1301,Rush Hour Soul,Supergrass,2002,Rush Hour Soul,Supergrass,2003
437,b745375,a1376,Tired Of Being Alone,Texas,1992,Tired of Being Alone,Texas,1992
438,b17644,a1378,You Owe It All To Me,Texas,1993,You Owe It All to Me,Texas,1993
439,b151821,a1396,So Lonely,The Police,1978,So Lonely,The Police,1978
448,b36963,a1397,Can't Stand Losing You,The Police,1978,Can't Stand Losing You,The Police,1978
455,b648956,a1398,Roxanne,The Police,1978,Roxanne,The Police,1978
459,b237989,a1431,The Walk,The Cure,1983,The Walk,The Cure,1983
464,b198625,a1433,Prettiest Eyes,The Beautiful South,1994,Prettiest Eyes,The Beautiful South,1994
465,b577482,a1434,One Last Love Song,The Beautiful South,1994,One Last Love Song,The Beautiful South,1994
466,b46379,a1435,Dream A Little Dream,The Beautiful South,1995,Dream a Little Dream,The Beautiful South,1995
468,b798457,a1440,St. Petersburg,Supergrass,2005,St. Petersburg,Supergrass,2005
469,b504060,a1443,Diamond Hoo Ha Man,Supergrass,2008,Diamond Hoo Ha Man,Supergrass,2008
473,b427267,a1474,Day 7,The Notwist,1997,Day 7,The Notwist,1997
474,b370082,a1475,Chemicals,The Notwist,1998,Chemicals,The Notwist,1998
476,b182515,a1479,Where In This World,The Notwist,2008,Where in This World,The Notwist,2008
490,b538082,a1528,Say What You Want,Texas,1997,Say What You Want,Texas,1997
492,b150426,a1529,Put Your Arms Around Me,Texas,1997,Put Your Arms Around Me,Texas,1997
493,b25980,a1530,Black Eyed Boy,Texas,1997,Black Eyed Boy,Texas,1997
504,b574566,a1535,No Good (Start The Dance),The Prodigy,1994,No Good (Start the Dance),The Prodigy,1994
505,b643655,a1537,Poison,The Prodigy,1994,Poison,The Prodigy,1995
510,b344257,a1541,The Bed's Too Big Without You,The Police,1979,The Bed's Too Big Without You,The Police,1980
512,b8669,a1542,Don't Stand So Close To Me,The Police,1980,Don't Stand So Close to Me,The Police,1980
516,b648433,a1544,Every Little Thing She Does Is Magic,The Police,1981,Every Little Thing She Does Is Magic,The Police,1981
518,b749762,a1545,Invisible Sun,The Police,1981,Invisible Sun,The Police,1981
522,b797352,a1556,The Caterpillar,The Cure,1984,The Caterpillar,The Cure,1984
524,b366545,a1558,In Between Days,The Cure,1985,In Between Days,The Cure,1985
525,b573661,a1560,Don't Marry Her,The Beautiful South,1996,Don't Marry Her,The Beautiful South,1996
527,b397894,a1563,Perfect 10,The Beautiful South,1998,Perfect 10,The Beautiful South,1998
528,b819587,a1564,Dumb,The Beautiful South,1998,Dumb,The Beautiful South,1998
529,b692077,a1588,A Pillar of Salt,The Thermals,2006,A Pillar of Salt,The Thermals,2007
530,b638482,a1589,Now We Can See,The Thermals,2009,Now We Can See,The Thermals,2009
531,b794783,a1598,The Modern Age,The Strokes,2001,The Modern Age,The Strokes,2001
533,b19287,a1605,Boneless,The Notwist,2008,Boneless,The Notwist,2008
535,b593184,a1606,Come In,The Notwist,2008,Come In,The Notwist,2009
554,b272352,a1658,I Don't Want A Lover,Texas,1989,I Don't Want a Lover,Texas,2001
555,b206171,a1659,Carnival Girl,Texas / Kardinal Offishall,2003,Carnival Girl,Texas-Kardinal Offishall,2003
556,b90645,a1660,Getaway,Texas,2005,Getaway,Texas,2005
561,b518390,a1661,Firestarter,The Prodigy,1996,Firestarter,The Prodigy,1996
579,b435212,a1666,Every Breath You Take,The Police,1983,Every Breath You Take,The Police,1983
581,b247971,a1667,Wrapped Around Your Finger,The Police,1983,Wrapped Around Your Finger,The Police,1983
586,b41978,a1668,Synchronicity II,The Police,1983,Synchronicity II,The Police,1983
590,b721979,a1671,Don't Stand So Close To Me '86,The Police,1986,Don't Stand So Close to Me '86,The Police,1986
592,b617880,a1682,Why Can't I Be You?,The Cure,1987,Why Can't I Be You?,The Cure,1987
594,b250536,a1684,Just Like Heaven,The Cure,1987,Just Like Heaven,The Cure,1987
602,b815360,a1742,Hard To Explain,The Strokes,2001,Hard to Explain,The Strokes,2001
603,b319416,a1743,Last Nite,The Strokes,2001,Last Nite,The Strokes,2001
606,b229602,a1744,Someday,The Strokes,2001,Someday,The Strokes,2001
613,b394407,a1745,Is This It,The Strokes,2001,Is This It,The Strokes,2003
616,b767121,a1746,12:51,The Strokes,2003,12:51,The Strokes,2003
617,b243766,a1758,The Life Of Riley,The Lightning Seeds,1992,The Life of Riley,The Lightning Seeds,1992
629,b68551,a1778,In My Heart,Texas,1991,In My Heart,Texas,—
637,b622026,a1782,Voodoo People (Pendulum Mix),The Prodigy,2006,Voodoo People (Pendulum remix),The Prodigy,2005
638,b24690,a1783,Invaders Must Die,The Prodigy,2008,Invaders Must Die,The Prodigy,2008
640,b452106,a1785,Warrior's Dance,The Prodigy,2009,Warrior’s Dance,The Prodigy,2009
641,b462291,a1798,Fascination Street,The Cure,1989,Fascination Street,The Cure,1989
644,b597143,a1799,Lullaby,The Cure,1989,Lullaby,The Cure,1989
655,b421250,a1800,Lovesong,The Cure,1989,Lovesong,The Cure,1989
659,b36323,a1801,Pictures Of You,The Cure,1989,Pictures of You,The Cure,1990
665,b777900,a1804,The Root Of All Evil,The Beautiful South,2001,The Root of All Evil,The Beautiful South,2001
666,b670931,a1806,Let Go With The Flow,The Beautiful South,2003,Let Go With the Flow,The Beautiful South,2003
667,b82061,a1825,Tristessa,The Smashing Pumpkins,1990,Tristessa,The Smashing Pumpkins,1990
669,b279724,a1858,Reptilia,The Strokes,2003,Reptilia,The Strokes,2003
671,b597625,a1860,The End Has No End,The Strokes,2003,The End Has No End,The Strokes,2004
672,b79354,a1862,Juicebox,The Strokes,2005,Juicebox,The Strokes,2005
676,b150702,a1892,High,The Cure,1992,High,The Cure,1992
678,b154135,a1894,A Letter To Elise,The Cure,1992,A Letter to Elise,The Cure,1992
680,b635526,a1896,Mint Car,The Cure,1996,Mint Car,The Cure,1996
681,b242577,a1897,This Old Skin,The Beautiful South,2004,This Old Skin,The Beautiful South,2004
686,b209210,a1927,China,Tori Amos,1992,China,Tori Amos,1992
695,b205659,a1928,Winter,Tori Amos,1992,Winter,Tori Amos,1992
697,b304773,a1929,Crucify,Tori Amos,1992,Crucify,Tori Amos,1992
715,b488956,a1954,Rocket,The Smashing Pumpkins,1993,Rocket,The Smashing Pumpkins,1994
717,b530699,a1955,Bullet With Butterfly Wings,The Smashing Pumpkins,1994,Bullet With Butterfly Wings,The Smashing Pumpkins,1995
719,b769912,a1956,1979,The Smashing Pumpkins,1995,1979,The Smashing Pumpkins,1996
720,b382105,a1970,The Ballroom Blitz,The Sweet,1973,The Ballroom Blitz,The Sweet,1973
721,b27754,a1972,You Only Live Once,The Strokes,2005,You Only Live Once,The Strokes,2006
724,b229430,a1992,Wrong Number,The Cure,1997,Wrong Number,The Cure,1997
728,b545782,a1993,Cut Here,The Cure,2001,Cut Here,The Cure,2001
733,b395889,a2017,Unbearable,The Wonder Stuff,1988,Unbearable,The Wonder Stuff,1987
734,b583525,a2020,Die Welt kann mich nicht mehr verstehen,Tocotronic,1996,Die Welt kann mich nicht mehr verstehen,Tocotronic,1996
736,b34005,a2024,Jackpot,Tocotronic,1999,Jackpot,Tocotronic,1999
738,b449373,a2025,Let's Shake Hands,The White Stripes,1998,Let's Shake Hands,The White Stripes,1998
739,b471599,a2032,We Don't Need Another Hero (Thunderdome),Tina Turner,1985,We Don't Need Another Hero (Thunderdome),Tina Turner,1985
740,b437404,a2040,Cornflake Girl,Tori Amos,1994,Cornflake Girl,Tori Amos,1994
743,b308252,a2050,Analyse,Thom Yorke,2006,Analyse,Thom Yorke,2006
755,b719899,a2095,You Keep Me Hangin' On,Vanilla Fudge,1986,You Keep Me Hanging On,Vanilla Fudge,1967
756,b206718,a2097,A Thousand Miles,Vanessa Carlton,2002,A Thousand Miles,Vanessa Carlton,2002
760,b470490,a2100,The Rocker,Thin Lizzy,1973,The Rocker,Thin Lizzy,1973
770,b278727,a2121,For Your Love,The Yardbirds,1965,For Your Love,The Yardbirds,1965
772,b239944,a2122,Heart Full Of Soul,The Yardbirds,1965,Heart Full of Soul,The Yardbirds,1965
773,b663146,a2130,It's Your Money I'm After_ Baby,The Wonder Stuff,0,It's Yer Money I'm After Baby,The Wonder Stuff,1988
774,b814696,a2145,Lafayette Blues,The White Stripes,1998,Lafayette Blues,The White Stripes,1998
781,b710899,a2158,What You Get Is What You See,Tina Turner,1986,What You Get Is What You See,Tina Turner,1987
784,b267875,a2166,Perfect,The Smashing Pumpkins,1998,Perfect,The Smashing Pumpkins,1998
786,b226354,a2167,Stand Inside Your Love,The Smashing Pumpkins,2000,Stand Inside Your Love,The Smashing Pumpkins,2000
787,b611327,a2178,Sleep When I'm Dead,The Cure,2008,Sleep When I’m Dead,The Cure,2008
788,b250536,a2180,Just Like Heaven,The Cure,1987,Just Like Heaven,The Cure-Dinosaur Jr.,2014
792,b800217,a2181,It's Gonna Rain,Violent Femmes,1984,It’s Gonna Rain,Violent Femmes,1984
793,b471841,a2184,American Music,Violent Femmes,1991,American Music,Violent Femmes,1991
799,b696907,a2205,Ghosts,Laura Marling,2008,Ghosts,Laura Marling,2008
805,b81179,a2221,Big Yellow Taxi,Counting Crows / Vanessa Carlton,2002,Big Yellow Taxi,Counting Crows-Vanessa Carlton,2002
812,b554613,a2252,Shapes Of Things,The Yardbirds,1966,Shapes of Things,The Yardbirds,1966
813,b389519,a2256,Caught In My Shadow,The Wonder Stuff,1991,Caught in My Shadow,The Wonder Stuff,1991
814,b666036,a2257,Dizzy,Vic Reeves & The Wonderstuff,1991,Dizzy,Vic Reeves-The Wonder Stuff,1991
817,b794623,a2258,Sleep Alone,The Wonder Stuff,1991,Sleep Alone,The Wonder Stuff,1991
818,b395889,a2259,Unbearable,The Wonder Stuff,1988,Unbearable,The Wonder Stuff,1994
819,b317325,a2274,Seven Nation Army,The White Stripes,2003,Seven Nation Army,The White Stripes,2003
834,b7133,a2282,Untitled,The Smashing Pumpkins,2001,Untitled,The Smashing Pumpkins,2001
851,b810147,a2293,I Held Her In My Arms,Violent Femmes,1986,I Held Her in My Arms,Violent Femmes,1993
852,b203296,a2303,Im Arsch,Jan Delay / Udo Lindenberg,2007,Im Arsch,Jan Delay-Udo Lindenberg,2007
853,b800729,a2316,The River Of Water,Yo La Tengo,1985,The River of Water,Yo La Tengo,1985
854,b752864,a2336,Cross Your Fingers,Laura Marling,2008,Cross Your Fingers,Laura Marling,2008
859,b129514,a2366,The Hardest Button To Button,The White Stripes,2003,The Hardest Button to Button,The White Stripes,2003
862,b518822,a2369,Blue Orchid,The White Stripes,2005,Blue Orchid,The White Stripes,2005
865,b221324,a2394,I Wish It Could Be Christmas Everyday,Wizzard,1992,I Wish It Could Be Christmas Every Day,Wizzard,1973
867,b725545,a2416,Big Day Coming,Yo La Tengo,1993,Big Day Coming,Yo La Tengo,1993
868,b575459,a2417,Tom Courtenay,Yo La Tengo,1995,Tom Courtenay,Yo La Tengo,1995
869,b62846,a2419,Sweet Dreams,Yes,1970,Sweet Dreams,Yes,1970
872,b457576,a2435,Chariots Of Fire,Vangelis,1981,Chariots of Fire,Vangelis,1981
874,b454242,a2436,Spiral,Vangelis,1977,Spiral,Vangelis,1991
875,b401643,a2440,Don't Let's Start,They Might Be Giants,1985,Don't Let's Start,They Might Be Giants,—
876,b246641,a2444,My Doorbell,The White Stripes,2005,My Doorbell,The White Stripes,2005
877,b458159,a2446,Icky Thump,The White Stripes,2007,Icky Thump,The White Stripes,2007
883,b604965,a2478,Shinobi Vs. Dragon Ninja,Lostprophets,2000,Shinobi vs. Dragon Ninja,Lostprophets,2001
884,b102981,a2494,Are You Receiving Me?,XTC,1978,Are You Receiving Me?,XTC,1978
886,b268740,a2529,Blue-Green Arrow,Yo La Tengo,2005,Blue-Green Arrow,Yo La Tengo,1996
888,b449373,a2544,Let's Shake Hands,The White Stripes,1998,Let's Shake Hands,The White Stripes,2009
889,b68618,a2549,Open Arms,Tina Turner,2004,Open Arms,Tina Turner,2004
890,b394941,a2563,See You Again,Miley Cyrus,2007,See You Again,Miley Cyrus,2007
893,b701713,a2578,Burn Burn,Lostprophets,2003,Burn Burn,Lostprophets,2003
894,b21362,a2579,Last Train Home,Lostprophets,2003,Last Train Home,Lostprophets,2004
895,b236189,a2589,Initials B.B.,Mick Harvey,1995,Initials B.B.,Mick Harvey,1995
896,b307296,a2605,Wait Till Your Boat Goes Down,XTC,1980,Wait Till Your Boat Goes Down,XTC,1980
898,b256118,a2634,Anthem - 2002 FIFA World Cup? Official Anthem,Vangelis,0,Anthem: 2002 FIFA World Cup™ Official Anthem,Vangelis,2002
901,b262419,a2649,Vampires Will Never Hurt You,My Chemical Romance,2002,Vampires Will Never Hurt You,My Chemical Romance,2002
902,b811400,a2657,7 Things,Miley Cyrus,2008,7 Things,Miley Cyrus,2008
904,b677768,a2659,The Climb,Miley Cyrus,2009,The Climb,Miley Cyrus,2009
907,b168457,a2667,In Dulci Jubilo,Mike Oldfield,1975,In Dulci Jubilo,Mike Oldfield,1975
908,b430023,a2669,Portsmouth,Mike Oldfield,1976,Portsmouth,Mike Oldfield,1976
909,b392859,a2670,William Tell Overture,Mike Oldfield,1977,William Tell Overture,Mike Oldfield,1977
910,b316330,a2673,Last Summer,Lostprophets,2004,Last Summer,Lostprophets,2004
912,b131146,a2681,Harley Davidson,Mick Harvey,1995,Harley Davidson,Mick Harvey,1996
913,b506244,a2714,Rock With You,Michael Jackson,1979,Rock With You,Michael Jackson,1979
915,b182968,a2715,Billie Jean,Michael Jackson,1982,Billie Jean,Michael Jackson,1982
918,b740206,a2735,Headfirst For Halos,My Chemical Romance,2002,Headfirst for Halos,My Chemical Romance,2004
924,b650627,a2801,Thriller,Michael Jackson,1982,Thriller,Michael Jackson,1983
927,b91027,a2860,Arrival,Mike Oldfield,1980,Arrival,Mike Oldfield,1980
928,b510777,a2909,Dance Hall Days,Wang Chung,1983,Dance Hall Days,Wang Chung,1982
932,b725670,a2913,Diamante,Zucchero,1989,Diamante,Zucchero-Randy Crawford,1991
935,b249144,a2918,"Wanna Be Startin' Somethin""",Michael Jackson,1982,Wanna Be Startin' Somethin',Michael Jackson,1983
937,b149016,a2919,Bad,Michael Jackson,1987,Bad,Michael Jackson,1987
944,b131487,a2955,Shadow on the Wall,Mike Oldfield,1983,Shadow on the Wall,Mike Oldfield-Roger Chapman,1983
946,b649506,a2962,I Saw The Light,Todd Rundgren,1972,I Saw the Light,Todd Rundgren,1972
951,b43028,a2974,Crazy Train,Ozzy Osbourne,1980,Crazy Train,Ozzy Osbourne,1980
954,b718827,a2975,Ceremony,New Order,1981,Ceremony,New Order,1981
960,b763257,a3003,Miss Independent,Kelly Clarkson,2003,Miss Independent,Kelly Clarkson,2003
962,b208523,a3005,Low,Kelly Clarkson,2003,Low,Kelly Clarkson,2003
963,b763257,a3006,Miss Independent,Kelly Clarkson,2003,Miss Independent,Kelly Clarkson,2003
965,b41050,a3008,Breakaway,Kelly Clarkson,2004,Breakaway,Kelly Clarkson,2004
968,b78844,a3013,Hypnotize Me,Wang Chung,1986,Hypnotize Me,Wang Chung,1987
969,b293605,a3019,Blue,Zucchero,1998,Blue,Zucchero,1998
970,b288454,a3020,Baila (Sexy Thing),Zucchero,2001,Baila (Sexy Thing),Zucchero,2001
971,b231910,a3022,The Way You Make Me Feel,Michael Jackson,1987,The Way You Make Me Feel,Michael Jackson,1987
974,b434413,a3023,Another Part Of Me,Michael Jackson,1987,Another Part of Me,Michael Jackson,1988
976,b483865,a3024,Dirty Diana,Michael Jackson,1987,Dirty Diana,Michael Jackson,1988
979,b133280,a3055,The Loving,XTC,1989,The Loving,XTC,1989
983,b718910,a3062,Careless Whisper,George Michael,1984,Careless Whisper,George Michael,1984
984,b639311,a3069,Reggae Got Soul,Toots & The Maytals,1976,Reggae Got Soul,Toots & The Maytals,1976
990,b767728,a3080,Underneath Your Clothes,Shakira,2001,Underneath Your Clothes,Shakira,2002
992,b767728,a3081,Underneath Your Clothes,Shakira,2001,Underneath Your Clothes,Shakira,2002
994,b519531,a3082,Objection (Tango),Shakira,2001,Objection (Tango),Shakira,2002
996,b111834,a3097,Over The Mountain,Ozzy Osbourne,1981,Over The Mountain,Ozzy Osbourne,1981
997,b601262,a3098,Flying High Again,Ozzy Osbourne,1981,Flying High Again,Ozzy Osbourne,1981
1000,b555567,a3106,Blue Monday,New Order,1983,Blue Monday,New Order,1983
1008,b401597,a3128,Since U Been Gone,Kelly Clarkson,2004,Since U Been Gone,Kelly Clarkson,2004
1018,b780504,a3129,Behind These Hazel Eyes,Kelly Clarkson,2004,Behind These Hazel Eyes,Kelly Clarkson,2005
1022,b594389,a3131,Walk Away,Kelly Clarkson,2004,Walk Away,Kelly Clarkson,2006
1030,b512476,a3132,Never Again,Kelly Clarkson,2007,Never Again,Kelly Clarkson,2007
1038,b799877,a3133,Don't Waste Your Time,Kelly Clarkson,2007,Don't Waste Your Time,Kelly Clarkson,2007
1040,b3949,a3138,Il Grande Baboomba,Zucchero / Mousse T.,2004,Il grande Baboomba,Zucchero-Mousse T.,2004
1049,b171506,a3173,Everyday Is Like Sunday,Morrissey,1988,Everyday Is Like Sunday,Morrissey,1988
1051,b147895,a3181,Everlasting Arm,Mercury Rev,1995,Everlasting Arm,Mercury Rev,1994
1053,b29535,a3183,Daydreaming,Massive Attack,1990,Daydreaming,Massive Attack,1990
1054,b421050,a3184,Unfinished Sympathy,Massive Attack,1991,Unfinished Sympathy,Massive Attack,1991
1055,b231510,a3185,Safe From Harm,Massive Attack,1991,Safe From Harm,Massive Attack,1991
1056,b65641,a3187,Sly,Massive Attack,1994,Sly,Massive Attack,1994
1063,b584882,a3201,What You Waiting For?,Gwen Stefani,2004,What You Waiting For?,Gwen Stefani,2004
