id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year
36,b163815,a14,Baby It's You For Me,Joe Simon,0,Baby It's You,JoJo,2004
37,b619161,a17,Beautiful Girl,Secret Dakota Ring,0,Beautiful Girls,Sean Kingston,2007
38,b636097,a17,Beautiful Girl,Springbok Nude Girls,1997,Beautiful Girls,Sean Kingston,2007
39,b538959,a17,Beautiful Girls,Sean Kingston,2007,Beautiful Girls,Sean Kingston,2007
40,b213357,a31,Shine,Kemopetrol,2001,Shine!,Kyuss-Wool,1996
41,b500349,a31,Shine,Kyuss,1995,Shine!,Kyuss-Wool,1996
42,b813435,a31,Shine,Krystal Meyers,0,Shine!,Kyuss-Wool,1996
43,b715402,a31,Shine,Kyoto Jazz Massive,2003,Shine!,Kyuss-Wool,1996
44,b219934,a31,Shine,Kids In The Kitchen,0,Shine!,Kyuss-Wool,1996
45,b4932,a32,I Love You,Keith Jarrett_ Gary Peacock_ Jack DeJohnette,2005,KL I Love You,Kyoto Protocol,2013
46,b704807,a32,I Love You,King Biscuit Time,2000,KL I Love You,Kyoto Protocol,2013
47,b612608,a32,I Love You,Kenny Rankin,1977,KL I Love You,Kyoto Protocol,2013
48,b559208,a43,Take You Away,K.Maro,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012
49,b35457,a43,Take Me Away,Kim Waters,2008,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012
50,b284701,a50,Someday,Five Way Friday,0,Someday,FiveAm-Chelsea Watts,—
51,b59002,a50,Someday,Future Of Forestry,2009,Someday,FiveAm-Chelsea Watts,—
52,b348823,a54,What Is Life,George Harrison,1970,What Is Life,George Harrison,1970
53,b230816,a60,Too Late,Junior Kelly,2010,Too Little Too Late,JoJo,2006
54,b761398,a60,Too Little_ Too Late,JoJo,0,Too Little Too Late,JoJo,2006
55,b564859,a60,A Little Too Late,Julian Marley / Stephen Marley,2009,Too Little Too Late,JoJo,2006
56,b466819,a60,Too Little_ Too Late,JoJo,2006,Too Little Too Late,JoJo,2006
57,b631024,a60,Too Late,JFA,1983,Too Little Too Late,JoJo,2006
58,b633404,a60,Too Much_ Too Little_ Too Late,Jellyfish,2006,Too Little Too Late,JoJo,2006
59,b425353,a60,Too Late,Jimmie Lee Robinson,0,Too Little Too Late,JoJo,2006
60,b180254,a61,Anything,JoJo,2006,Anything,JoJo,2007
61,b345592,a61,Anything,Joe Lynn Turner,0,Anything,JoJo,2007
62,b47163,a61,Anything,JoJo,2006,Anything,JoJo,2007
63,b108292,a64,Disaster,Michael Nyman,0,Disaster,Mario Jefferson-JoJo,2013
64,b769617,a68,Big Girls Don't Cry (Personal),Fergie,0,Big Girls Don't Cry (Personal) [Remix],Fergie-Sean Kingston,2007
65,b81865,a68,Big Girls Don't Cry (Personal),Fergie,0,Big Girls Don't Cry (Personal) [Remix],Fergie-Sean Kingston,2007
66,b475988,a68,Big Girls Don't Cry (Personal),Fergie,0,Big Girls Don't Cry (Personal) [Remix],Fergie-Sean Kingston,2007
67,b550204,a68,Big Girls Don't Cry (Personal),Fergie,0,Big Girls Don't Cry (Personal) [Remix],Fergie-Sean Kingston,2007
68,b410609,a69,Love Love Love,Spider Murphy Gang,0,Me Love,Sean Kingston,2007
69,b214650,a69,Me Love,Sean Kingston,2007,Me Love,Sean Kingston,2007
70,b149243,a69,Make Love,Sal Ban,0,Me Love,Sean Kingston,2007
71,b428351,a69,More Love,Smokey Robinson & The Miracles,1967,Me Love,Sean Kingston,2007
72,b200168,a69,My Love,Shinehead,1999,Me Love,Sean Kingston,2007
73,b675473,a69,Me Love,Sean Kingston,2007,Me Love,Sean Kingston,2007
74,b823948,a69,My Love,Streetwize,0,Me Love,Sean Kingston,2007
75,b152682,a69,More Love,Saba,0,Me Love,Sean Kingston,2007
76,b716356,a69,My Love,Stacy Lattisaw,1980,Me Love,Sean Kingston,2007
77,b23297,a69,We Love,Screamin' Jay Hawkins,1996,Me Love,Sean Kingston,2007
78,b170989,a69,My Love,Stryper,2009,Me Love,Sean Kingston,2007
79,b104959,a69,Make Love,Shellshag,0,Me Love,Sean Kingston,2007
80,b352498,a69,My Love,Selena Y Los Dinos,0,Me Love,Sean Kingston,2007
81,b599602,a69,Me Love,Sean Kingston,2007,Me Love,Sean Kingston,2007
82,b259371,a69,My Love,Social Ambitions,0,Me Love,Sean Kingston,2007
83,b5651,a70,Fire Burning,Sean Kingston,2009,Fire Burning,Sean Kingston,2009
84,b467344,a70,Fire Burning,Sean Kingston,2009,Fire Burning,Sean Kingston,2009
85,b445590,a70,Fire Burning,Sean Kingston,2009,Fire Burning,Sean Kingston,2009
86,b250352,a70,Fire Burn,Sea Weed,0,Fire Burning,Sean Kingston,2009
87,b611556,a70,Fire Burning,Sean Kingston,2009,Fire Burning,Sean Kingston,2009
88,b803512,a71,Feel It,Three 6 Mafia vs. Ti\xc3\xabsto with Sean Kingston and Flo Rida,0,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,2009
89,b542076,a71,Feel It,The Tamperer feat. Maya,2009,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,2009
90,b543274,a71,Feel It,The Headhunter,0,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,2009
91,b578286,a71,Feel It,The Lotus Eaters,0,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,2009
92,b113258,a71,Feel It Like It,The D4,2005,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,2009
93,b369141,a71,Feel It,The Crusaders,1977,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,2009
94,b600724,a71,Feel It,The Producers,0,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,2009
95,b289921,a71,Feel It,The Tamperer ft. Maya,2009,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,2009
96,b260438,a71,Feel It,Todd Rundgren,1989,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,2009
97,b434461,a85,The Child,Alex Gopher,1999,This Child,André Wall,2013
98,b509965,a87,Hey Joe,The Creation,1967,Hey Joe,The Jimi Hendrix Experience,1966
99,b474335,a87,Hey Joe,The Creation,1967,Hey Joe,The Jimi Hendrix Experience,1966
100,b44228,a87,Hey Joe,The Litter,0,Hey Joe,The Jimi Hendrix Experience,1966
101,b430758,a124,Long Goodbye,Tina Dico,2005,Saying Goodbye,The Greenhornes,2010
102,b593796,a128,You Say ... I Say,The Threads,0,You Say,The Fades,2003
103,b73220,a129,Life Support Machine,These Animal Men,1996,Life Support,The Fades,2003
104,b319709,a129,Life Support Systems,Talvin Singh,0,Life Support,The Fades,2003
105,b316091,a137,Music,Joss Stone featuring Lauryn Hill,2007,Music.,JoJo,2016
106,b656288,a137,Music,John Miles,0,Music.,JoJo,2016
107,b694265,a137,Music,Junior Kelly,2000,Music.,JoJo,2016
108,b375376,a138,Letting Go (live),Spock's Beard,0,Letting Go (Dutty Love),Sean Kingston-Nicki Minaj,2010
109,b143418,a139,For My Good,Byron Cage,0,For My Hood,Bow Wow-Sean Kingston,2010
110,b821109,a142,Beat It,Se\xc3\xb1or Coconut,2003,Beat It,Sean Kingston-Chris Brown-Wiz Khalifa,2013
111,b191516,a142,Beat It,Se\xc3\xb1or Coconut,2003,Beat It,Sean Kingston-Chris Brown-Wiz Khalifa,2013
112,b276523,a142,Beat It Up,Skull Duggrey,0,Beat It,Sean Kingston-Chris Brown-Wiz Khalifa,2013
113,b31558,a142,Beat It,Se\xc3\xb1or Coconut,2003,Beat It,Sean Kingston-Chris Brown-Wiz Khalifa,2013
114,b164384,a157,Do What You Want,Two Man Advantage,0,What You Want,The John Butler Trio,2004
115,b721573,a157,What You Want,The Roots feat. Jaguar,0,What You Want,The John Butler Trio,2004
116,b625219,a157,What You Want Me To Do,Tanto Metro & Devonte,2006,What You Want,The John Butler Trio,2004
117,b341709,a157,What Do You Want?,The Skunks,0,What You Want,The John Butler Trio,2004
118,b196007,a157,Whatchu Want,The Mossie,0,What You Want,The John Butler Trio,2004
119,b727402,a157,Get What You Want,The Foreign Cinema,0,What You Want,The John Butler Trio,2004
120,b400070,a157,Do What You Want,The Agony Scene,2008,What You Want,The John Butler Trio,2004
121,b334573,a157,What I Want,The Honeydogs,0,What You Want,The John Butler Trio,2004
122,b301834,a157,Say What You Want,The Lost,0,What You Want,The John Butler Trio,2004
123,b335029,a157,What Do You Want,The Twinkle Brothers,0,What You Want,The John Butler Trio,2004
124,b761373,a157,What You Want Is What You Get,The Barracudas,0,What You Want,The John Butler Trio,2004
125,b29331,a157,Tell Me What You Want,The Pipettes,2006,What You Want,The John Butler Trio,2004
126,b538082,a157,Say What You Want,Texas,1997,What You Want,The John Butler Trio,2004
127,b410245,a157,What I Want,The Donkeys,0,What You Want,The John Butler Trio,2004
128,b574219,a157,Whatever You Want,Taylor Dayne,1998,What You Want,The John Butler Trio,2004
129,b82736,a157,See What You Want,The Futureheads,2008,What You Want,The John Butler Trio,2004
130,b582275,a157,What You Wanted,The Verve Pipe,1993,What You Want,The John Butler Trio,2004
131,b119262,a157,What You Want,The Starting Line,2007,What You Want,The John Butler Trio,2004
132,b349760,a157,What You Still Want,Tracy + The Plastics,2004,What You Want,The John Butler Trio,2004
133,b692489,a157,What More Do You Want,The Almighty,1991,What You Want,The John Butler Trio,2004
134,b91757,a157,What Cha Want,Tha Dogg Pound featuring Busta Rhymes,0,What You Want,The John Butler Trio,2004
135,b190257,a157,What You Got,The Buff Medways,2007,What You Want,The John Butler Trio,2004
136,b583603,a157,What Do You Want,The Yardbirds,1966,What You Want,The John Butler Trio,2004
137,b190472,a157,What Do You Want,The Yardbirds,1966,What You Want,The John Butler Trio,2004
138,b650407,a157,Is That What You Want,The Meteors,0,What You Want,The John Butler Trio,2004
139,b572889,a157,Do What You Want,The Timetravellers,0,What You Want,The John Butler Trio,2004
140,b188742,a160,Purple Haze,Toad,0,Purple Haze,The Jimi Hendrix Experience,1967
141,b327133,a160,Purple Haze,The Rippingtons / Russ Freeman,2003,Purple Haze,The Jimi Hendrix Experience,1967
142,b445147,a160,Purple Haze,The Diplomats feat. Cam'Ron,0,Purple Haze,The Jimi Hendrix Experience,1967
143,b556053,a160,Purple Haze,The Speed Freak,0,Purple Haze,The Jimi Hendrix Experience,1967
144,b544150,a160,Purple haze,The Haunted,1995,Purple Haze,The Jimi Hendrix Experience,1967
145,b388760,a160,Purple Haze,The Cure,1993,Purple Haze,The Jimi Hendrix Experience,1967
146,b527647,a161,The Wind Cries Mary,The Jimi Hendrix Experience,1967,The Wind Cries Mary,The Jimi Hendrix Experience,1967
147,b524911,a174,Shout,Tears For Fears,1984,Shout,The Isley Brothers,1959
148,b115877,a174,Shout,Tears For Fears,1984,Shout,The Isley Brothers,1959
149,b575931,a174,Shout,Tears For Fears,1984,Shout,The Isley Brothers,1959
150,b354749,a174,Shout,Tears For Fears,1984,Shout,The Isley Brothers,1959
151,b43579,a174,Shout,The Shangri-Las,1964,Shout,The Isley Brothers,1959
152,b19082,a174,Shout,Tears For Fears,1984,Shout,The Isley Brothers,1959
153,b183170,a174,Shout,The Sentinals,0,Shout,The Isley Brothers,1959
154,b612420,a174,Shout,Tears For Fears,1984,Shout,The Isley Brothers,1959
155,b201916,a174,Shouts Out,Tru,1993,Shout,The Isley Brothers,1959
156,b226767,a174,Shout,The Trammps,1996,Shout,The Isley Brothers,1959
157,b759400,a174,Shout Me Out,TV On The Radio,2008,Shout,The Isley Brothers,1959
158,b751485,a174,Shout,True Believers,0,Shout,The Isley Brothers,1959
159,b768669,a174,Shout It Out,The Glitter Band,1974,Shout,The Isley Brothers,1959
160,b744956,a174,Shout,Tears For Fears,1984,Shout,The Isley Brothers,1959
161,b367271,a174,Shout,The Kingsmen,1965,Shout,The Isley Brothers,1959
162,b352180,a174,Shout,Tears For Fears,1984,Shout,The Isley Brothers,1959
163,b733391,a175,Take Some Time,The Pietasters,1999,Take Some Time Out for Love,The Isley Brothers,1966
164,b288759,a175,Take Some Time Out,The Salsoul Orchestra,1977,Take Some Time Out for Love,The Isley Brothers,1966
165,b813154,a176,Put Yourself In My Place,The Hollies,0,Put Yourself in My Place,The Isley Brothers,1967
166,b420185,a176,Put Yourself In My Place,The Elgins,1966,Put Yourself in My Place,The Isley Brothers,1967
167,b446835,a176,Put Yourself In My Place,The Elgins,1966,Put Yourself in My Place,The Isley Brothers,1967
168,b579782,a176,Put Yourself In My Place,The Elgins,1966,Put Yourself in My Place,The Isley Brothers,1967
169,b56050,a176,Put Yourself In My Place - Live,The Elgins,0,Put Yourself in My Place,The Isley Brothers,1967
170,b663616,a179,America,Tommy Flanagan,0,America,The Indelicates,2007
171,b484124,a179,Americana,Throwdown,2007,America,The Indelicates,2007
172,b722272,a179,America,The Vapors,1980,America,The Indelicates,2007
173,b779820,a179,My America,The Blow Monkeys,1999,America,The Indelicates,2007
174,b485684,a179,Americant,The Scattered Pages,2004,America,The Indelicates,2007
175,b125282,a179,America,The Grassmasters,0,America,The Indelicates,2007
176,b11362,a179,America,Trini Lopez,1963,America,The Indelicates,2007
177,b243669,a179,America,The Canadian Brass,0,America,The Indelicates,2007
178,b299131,a179,America,The Nice,1968,America,The Indelicates,2007
179,b463722,a179,America,The Infested,0,America,The Indelicates,2007
180,b792706,a179,Americano,The Brian Setzer Orchestra,2000,America,The Indelicates,2007
181,b22893,a179,America,Trini Lopez,1963,America,The Indelicates,2007
182,b582983,a179,America,Traffic Sound,1997,America,The Indelicates,2007
183,b545034,a180,Sixteen,The Heavy,2009,Sixteen,The Indelicates,2007
184,b539126,a180,Sweet Sixteen,Think About Life,2009,Sixteen,The Indelicates,2007
185,b192270,a180,Sweet Sixteen,The Outlaw Blues Band,1968,Sixteen,The Indelicates,2007
186,b776905,a180,Sweet Sixteen,Think About Life,2009,Sixteen,The Indelicates,2007
187,b396576,a195,Chime,Orbital,1989,Chime,Orbital,1989
188,b20265,a197,Your Body Is A Wonderland,John Mayer,0,Your Body is a Wonderland,John Mayer,2001
189,b190244,a197,Your Body Is a Wonderland,John Mayer Tribute,0,Your Body is a Wonderland,John Mayer,2001
190,b75170,a214,Down With This,Showtek,2005,Down to This,Soul Coughing,1995
191,b378769,a214,Down To This,Soul Coughing,1993,Down to This,Soul Coughing,1995
192,b410063,a215,Sugar Free Jazz,Soul Coughing,0,Sugar Free Jazz,Soul Coughing,1995
193,b458412,a220,Death Valley Blues,Snooks Eaglin,0,Death Valley ’69,Sonic Youth,1984
194,b662669,a228,All Along The Watchtower,Tr\xc3\xa4d Gr\xc3\xa4s Och Stenar,1970,All Along the Watchtower,The Jimi Hendrix Experience,1968
195,b18865,a228,All Along The Watchtower,Taj Mahal & The Hula Blues Band,2001,All Along the Watchtower,The Jimi Hendrix Experience,1968
196,b20051,a229,Voodoo Chile,Tony Sarno,0,Voodoo Chile,The Jimi Hendrix Experience,1970
197,b701995,a229,Voodoo Child,T\xc3\xa9rez Montcalm,2006,Voodoo Chile,The Jimi Hendrix Experience,1970
198,b647369,a230,Angel,The Wolfgang Press,1991,Angel,The Jimi Hendrix Experience,1971
199,b83441,a230,Angela,The Blood Arm,2006,Angel,The Jimi Hendrix Experience,1971
200,b75670,a230,Angel,Tokyo Blade,1989,Angel,The Jimi Hendrix Experience,1971
201,b780622,a230,Angela,Tic Tac,0,Angel,The Jimi Hendrix Experience,1971
202,b102624,a230,Angel,The Jeff Healey Band,1995,Angel,The Jimi Hendrix Experience,1971
203,b714968,a230,Angel,Think About Mutation,1999,Angel,The Jimi Hendrix Experience,1971
204,b235650,a230,Angel,The Satintones,2005,Angel,The Jimi Hendrix Experience,1971
205,b80381,a230,Angela,Tiziana Ghiglioni,1993,Angel,The Jimi Hendrix Experience,1971
206,b48154,a230,Angels,Tiger Lillies,0,Angel,The Jimi Hendrix Experience,1971
207,b801964,a230,Angels,The Saints,1984,Angel,The Jimi Hendrix Experience,1971
208,b155157,a230,Angels,The Steeles,0,Angel,The Jimi Hendrix Experience,1971
209,b458736,a230,Angels,Twiggy Frostbite,2009,Angel,The Jimi Hendrix Experience,1971
210,b524116,a230,Angela,Toto,1978,Angel,The Jimi Hendrix Experience,1971
211,b533506,a232,Fire,The Pointer Sisters,1978,Fire,The Jimi Hendrix Experience,2011
212,b120077,a232,Fire,The Buff Medways,2002,Fire,The Jimi Hendrix Experience,2011
213,b656804,a232,Fire,Tellison,2007,Fire,The Jimi Hendrix Experience,2011
214,b22267,a232,Fire,The Headless Horsemen,2007,Fire,The Jimi Hendrix Experience,2011
215,b395169,a232,Fire Fire,T.O.K.,2004,Fire,The Jimi Hendrix Experience,2011
216,b306173,a232,Fire,The Young Punx,0,Fire,The Jimi Hendrix Experience,2011
217,b235587,a232,Fire,Too $hort featuring Erick Sermon,2001,Fire,The Jimi Hendrix Experience,2011
218,b596946,a232,Fire,The Bug,0,Fire,The Jimi Hendrix Experience,2011
219,b207990,a232,Fire Fire,The Wailers,0,Fire,The Jimi Hendrix Experience,2011
220,b673773,a232,Fire,Tesla Boy,2009,Fire,The Jimi Hendrix Experience,2011
221,b214251,a233,Rolling Stone,The Cadets,0,Like a Rolling Stone,The Jimi Hendrix Experience,2011
222,b154032,a233,Love Is Like A Rolling Stone,The Pointer Sisters,1978,Like a Rolling Stone,The Jimi Hendrix Experience,2011
223,b33117,a233,Like A Rolling Stone,The Alarm Clocks,0,Like a Rolling Stone,The Jimi Hendrix Experience,2011
224,b771007,a233,Like A Rolling Stone,The Creation,1967,Like a Rolling Stone,The Jimi Hendrix Experience,2011
225,b43528,a233,Like A Rollin' Stone,The Paragons,0,Like a Rolling Stone,The Jimi Hendrix Experience,2011
226,b148054,a241,See You Around,Suicide,1999,Need You Around,Smoking Popes,1996
227,b88930,a251,It's My Thing,Tina Britt,2006,It's Your Thing,The Isley Brothers,1969
228,b111457,a251,It's Your Thing,The Isley Brothers,1969,It's Your Thing,The Isley Brothers,1969
229,b735204,a251,It's Your Turn,The Who / Andy Fairweather-Low,1982,It's Your Thing,The Isley Brothers,1969
230,b280627,a251,Do Your Thing,The Chosen Few,0,It's Your Thing,The Isley Brothers,1969
231,b481874,a251,Do Your Thing,The Clean,1994,It's Your Thing,The Isley Brothers,1969
232,b680605,a251,It's Your Thing,The Supremes / Four Tops,2009,It's Your Thing,The Isley Brothers,1969
233,b640899,a252,Work To Do,The Main Ingredient,1973,Work To Do,The Isley Brothers,1972
234,b791237,a271,Are We Here? (1994),Orbital,2007,Are We Here?,Orbital,1994
235,b510910,a271,Are We Here ?,Orbital,1994,Are We Here?,Orbital,1994
236,b479325,a271,Are We Here ?,Orbital,1994,Are We Here?,Orbital,1994
237,b547651,a274,Burner,Jane Jensen,2000,Bunsen Burner,John Otway,2002
238,b93379,a274,Burner,James Cotton,0,Bunsen Burner,John Otway,2002
239,b540472,a275,No Such Thing,John Mayer,0,No Such Thing,John Mayer,2002
240,b92154,a275,No Such Thing,John Mayer Tribute,0,No Such Thing,John Mayer,2002
241,b387584,a275,No Such Thing,John Mayer,0,No Such Thing,John Mayer,2002
242,b749806,a275,No Such Thing,John Mayer,0,No Such Thing,John Mayer,2002
243,b20265,a276,Your Body Is A Wonderland,John Mayer,0,Your Body Is a Wonderland,John Mayer,2002
244,b190244,a276,Your Body Is a Wonderland,John Mayer Tribute,0,Your Body Is a Wonderland,John Mayer,2002
245,b123271,a277,Why Georgia,John Mayer,0,Why Georgia,John Mayer,2003
246,b718822,a277,Why Georgia,John Mayer,0,Why Georgia,John Mayer,2003
247,b137792,a277,Why Georgia,John Mayer,0,Why Georgia,John Mayer,2003
248,b777809,a277,Why Georgia,John Mayer,0,Why Georgia,John Mayer,2003
249,b630732,a277,Why Georgia,John Mayer Tribute,0,Why Georgia,John Mayer,2003
250,b420567,a277,Why Georgia,John Mayer,0,Why Georgia,John Mayer,2003
251,b339205,a278,Bigger Than My Body,John Mayer,0,Bigger Than My Body,John Mayer,2003
252,b301809,a279,Daughters,John Mayer,0,Daughters,John Mayer,2004
253,b584183,a279,Daughters,John Mayer,0,Daughters,John Mayer,2004
254,b733955,a279,Daughters,John Mayer,0,Daughters,John Mayer,2004
255,b488896,a313,Psycho Killer,The Flying Pickets,1984,Psycho Killer,Talking Heads,1977
256,b167492,a314,Soundtrack To Mary,Soul Coughing,1996,Soundtrack to Mary,Soul Coughing,1996
257,b686752,a315,Super Bon Bon,Soul Coughing,1996,Super Bon Bon,Soul Coughing,1996
258,b223108,a325,Halloween,Siouxsie And The Banshees,1981,Halloween II,Sonic Youth,1986
259,b718874,a325,Halloween,Siouxsie And The Banshees,1981,Halloween II,Sonic Youth,1986
260,b156298,a349,Tears,Thomas Coastline & CrossRyders,0,Tears,The Isley Brothers,—
261,b58152,a349,Tears,The Mist Of Avalon,0,Tears,The Isley Brothers,—
262,b820163,a349,Tears,The Stone Roses,1994,Tears,The Isley Brothers,—
263,b158258,a349,Tears,Thomas Coastline & CrossRyders,0,Tears,The Isley Brothers,—
264,b425136,a349,Tears,The Phenomenal Handclap Band,2009,Tears,The Isley Brothers,—
265,b76811,a349,Tears,Thomas Coastline & CrossRyders,0,Tears,The Isley Brothers,—
266,b397332,a349,Tears,The Chameleons UK,1993,Tears,The Isley Brothers,—
267,b86423,a349,Tears,Tinie Tempah featuring Cleo Sol,2009,Tears,The Isley Brothers,—
268,b579226,a349,Tears,This Mortal Coil,1986,Tears,The Isley Brothers,—
269,b621319,a349,Tears,Teenage Fanclub,1995,Tears,The Isley Brothers,—
270,b351042,a349,Tears,Thompson Twins,1983,Tears,The Isley Brothers,—
271,b90449,a356,The Fox,Odetta,1957,The Box,Orbital,1996
272,b503743,a359,Nothing Left To Do,Outlandish,2005,Nothing Left,Orbital,1999
273,b729142,a359,Nothing Left 1,Orbital,1999,Nothing Left,Orbital,1999
274,b772889,a359,Nothing Left Out,Orbital,1999,Nothing Left,Orbital,1999
275,b13856,a360,Say,Joe McBride,0,Say,John Mayer,2007
276,b47741,a360,Say,Junkie,0,Say,John Mayer,2007
277,b657398,a361,Beat It,Fall Out Boy / John Mayer,2008,Beat It,Fall Out Boy-John Mayer,2008
278,b243099,a361,Beat It,Fall Out Boy,2008,Beat It,Fall Out Boy-John Mayer,2008
279,b688877,a402,Rise & Shine,The Little Ones,2008,Rise & Shine,The Cardigans,1994
280,b705613,a402,Rise & Shine,The Cardigans,1994,Rise & Shine,The Cardigans,1994
281,b492806,a402,Rise & Shine,The Cardigans,1994,Rise & Shine,The Cardigans,1994
282,b513516,a402,Rise & Shine,The Cardigans,1994,Rise & Shine,The Cardigans,1994
283,b238273,a402,Rise and Shine,The Felice Brothers,2009,Rise & Shine,The Cardigans,1994
284,b414246,a402,Rise And Shine,The Stoner,2007,Rise & Shine,The Cardigans,1994
285,b694497,a414,She Don't Care About Time,Title Tracks,2010,Turn! Turn! Turn! / She Don't Care About Time,The Byrds,1965
286,b116724,a414,She Don't Care About Time,The Byrds,1965,Turn! Turn! Turn! / She Don't Care About Time,The Byrds,1965
287,b16036,a414,She Don't Care About Time,The Byrds,1965,Turn! Turn! Turn! / She Don't Care About Time,The Byrds,1965
288,b151884,a417,Jump Jive An' Wail,The Brian Setzer Orchestra,1998,Jump Jive an’ Wail,The Brian Setzer Orchestra,1998
289,b467923,a418,This Town,The Go-Go's,0,Rock This Town,The Brian Setzer Orchestra,1999
290,b343706,a418,Rock This Town,The Stray Cats,1981,Rock This Town,The Brian Setzer Orchestra,1999
291,b216021,a418,This Town,The Candy Snatchers,0,Rock This Town,The Brian Setzer Orchestra,1999
292,b155031,a418,This Town,The Fairer Sex,0,Rock This Town,The Brian Setzer Orchestra,1999
293,b614282,a418,Rock This Town,The Pure,0,Rock This Town,The Brian Setzer Orchestra,1999
294,b156974,a418,This Town,The Quails,0,Rock This Town,The Brian Setzer Orchestra,1999
295,b136260,a418,In This Town,The Threads,0,Rock This Town,The Brian Setzer Orchestra,1999
296,b35529,a427,Good Thing,The Woodentops,1986,The Good Thing,Talking Heads,1978
297,b764624,a427,The Good Thing,Teenage Fanclub & Jad Fair,0,The Good Thing,Talking Heads,1978
298,b264544,a427,Some Good Thing,The Wailin' Jennys,2006,The Good Thing,Talking Heads,1978
299,b86680,a427,The Thing,The London Theatre Orchestra,0,The Good Thing,Talking Heads,1978
300,b276572,a427,The Good Song,Ton\xc3\xa9x,2005,The Good Thing,Talking Heads,1978
301,b252082,a427,Real Good Thing,Timebox,1998,The Good Thing,Talking Heads,1978
302,b255575,a427,The Good Things,The Prime Movers,0,The Good Thing,Talking Heads,1978
